benchmark,source_row,hull,speed_case,omega_e_sqrt_l_over_g,coefficient,reference_value,mode_column,generalized_row,candidate_name,candidate_order,candidate_description,candidate_is_current_default,station_index,x_m,x_over_l,trapz_weight_m,current_density_value_per_m,candidate_density_value_per_m,candidate_density_delta_vs_current_per_m,candidate_density_ratio_to_current,current_station_integral_value,candidate_station_integral_value,candidate_station_integral_delta_vs_current,current_gradient_norm,candidate_gradient_norm,candidate_gradient_norm_ratio_to_current,current_gradient_peak_panel_index,candidate_gradient_peak_panel_index,current_gradient_peak_abs,candidate_gradient_peak_abs,candidate_gradient_peak_abs_ratio_to_current,current_gradient_peak_phase_deg,candidate_gradient_peak_phase_deg,candidate_gradient_peak_phase_delta_vs_current_deg,gate_role
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,1.0,heave,heave_force,current_default,0,Current matched-BIE forward-speed pressure-gradient force matrix.,True,0,0.075,0.024999999999999998,0.0375,0.0,0.0,0.0,,0.0,0.0,0.0,343.8921096270196,343.8921096270196,1.0,3,3,154.7139462028872,154.7139462028872,1.0,90.0,90.0,0.0,diagnostic_startup_pressure_gradient_station_candidate_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,1.0,heave,heave_force,current_default,0,Current matched-BIE forward-speed pressure-gradient force matrix.,True,1,0.15,0.049999999999999996,0.07499999999999998,0.0,0.0,0.0,,0.0,0.0,0.0,91.40314212729837,91.40314212729837,1.0,3,3,64.3702155946491,64.3702155946491,1.0,-90.0,-90.0,0.0,diagnostic_startup_pressure_gradient_station_candidate_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,1.0,heave,heave_force,current_default,0,Current matched-BIE forward-speed pressure-gradient force matrix.,True,2,0.22499999999999998,0.075,0.075,0.0,0.0,0.0,,0.0,0.0,0.0,98.73190943804502,98.73190943804502,1.0,4,4,60.20394428466544,60.20394428466544,1.0,-90.0,-90.0,0.0,diagnostic_startup_pressure_gradient_station_candidate_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,1.0,heave,heave_force,current_default,0,Current matched-BIE forward-speed pressure-gradient force matrix.,True,3,0.3,0.09999999999999999,0.07500000000000001,0.0,0.0,0.0,,0.0,0.0,0.0,44.39349864114724,44.39349864114724,1.0,3,3,29.816925191700566,29.816925191700566,1.0,90.0,90.0,0.0,diagnostic_startup_pressure_gradient_station_candidate_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,1.0,heave,heave_force,current_default,0,Current matched-BIE forward-speed pressure-gradient force matrix.,True,4,0.375,0.125,0.07499999999999998,0.0,0.0,0.0,,0.0,0.0,0.0,9.774251203790818,9.774251203790818,1.0,7,7,4.592341383472235,4.592341383472235,1.0,-90.0,-90.0,0.0,diagnostic_startup_pressure_gradient_station_candidate_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,1.0,heave,heave_force,current_default,0,Current matched-BIE forward-speed pressure-gradient force matrix.,True,5,0.44999999999999996,0.15,0.07500000000000001,0.0,0.0,0.0,,0.0,0.0,0.0,12.508168057644658,12.508168057644658,1.0,7,7,6.091702190594699,6.091702190594699,1.0,-90.0,-90.0,0.0,diagnostic_startup_pressure_gradient_station_candidate_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,1.0,heave,heave_force,current_default,0,Current matched-BIE forward-speed pressure-gradient force matrix.,True,6,0.525,0.17500000000000002,0.07500000000000001,0.0,0.0,0.0,,0.0,0.0,0.0,14.428680275004458,14.428680275004458,1.0,7,7,7.147216395148824,7.147216395148824,1.0,-90.0,-90.0,0.0,diagnostic_startup_pressure_gradient_station_candidate_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,1.0,heave,heave_force,current_default,0,Current matched-BIE forward-speed pressure-gradient force matrix.,True,7,0.6,0.19999999999999998,0.07499999999999996,0.0,0.0,0.0,,0.0,0.0,0.0,15.162251412204478,15.162251412204478,1.0,7,7,7.982850580595521,7.982850580595521,1.0,-90.0,-90.0,0.0,diagnostic_startup_pressure_gradient_station_candidate_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,1.0,heave,heave_force,current_default,0,Current matched-BIE forward-speed pressure-gradient force matrix.,True,8,0.6749999999999999,0.22499999999999998,0.07500000000000001,0.0,0.0,0.0,,0.0,0.0,0.0,14.61639295846525,14.61639295846525,1.0,7,7,8.388805264013332,8.388805264013332,1.0,-90.0,-90.0,0.0,diagnostic_startup_pressure_gradient_station_candidate_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,1.0,heave,heave_force,current_default,0,Current matched-BIE forward-speed pressure-gradient force matrix.,True,9,0.75,0.25,0.07500000000000001,0.0,0.0,0.0,,0.0,0.0,0.0,12.348724693330512,12.348724693330512,1.0,0,0,7.909323582309149,7.909323582309149,1.0,-90.0,-90.0,0.0,diagnostic_startup_pressure_gradient_station_candidate_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,1.0,heave,heave_force,current_default,0,Current matched-BIE forward-speed pressure-gradient force matrix.,True,10,0.825,0.27499999999999997,0.07499999999999996,0.0,0.0,0.0,,0.0,0.0,0.0,8.750330853892315,8.750330853892315,1.0,0,0,6.0444088313536355,6.0444088313536355,1.0,-90.0,-90.0,0.0,diagnostic_startup_pressure_gradient_station_candidate_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,1.0,heave,heave_force,current_default,0,Current matched-BIE forward-speed pressure-gradient force matrix.,True,11,0.8999999999999999,0.3,0.07500000000000001,0.0,0.0,0.0,,0.0,0.0,0.0,8.741953574529672,8.741953574529672,1.0,3,3,3.623306210086618,3.623306210086618,1.0,90.0,90.0,0.0,diagnostic_startup_pressure_gradient_station_candidate_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,1.0,heave,heave_force,current_default,0,Current matched-BIE forward-speed pressure-gradient force matrix.,True,12,0.975,0.325,0.07500000000000007,0.0,0.0,0.0,,0.0,0.0,0.0,14.88338040470135,14.88338040470135,1.0,4,4,6.120531894764902,6.120531894764902,1.0,90.0,90.0,0.0,diagnostic_startup_pressure_gradient_station_candidate_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,1.0,heave,heave_force,current_default,0,Current matched-BIE forward-speed pressure-gradient force matrix.,True,13,1.05,0.35000000000000003,0.07500000000000001,0.0,0.0,0.0,,0.0,0.0,0.0,20.833293177714758,20.833293177714758,1.0,6,6,7.991503833533848,7.991503833533848,1.0,90.0,90.0,0.0,diagnostic_startup_pressure_gradient_station_candidate_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,1.0,heave,heave_force,current_default,0,Current matched-BIE forward-speed pressure-gradient force matrix.,True,14,1.125,0.375,0.07499999999999996,0.0,0.0,0.0,,0.0,0.0,0.0,23.518067587414464,23.518067587414464,1.0,1,1,8.706625128527289,8.706625128527289,1.0,90.0,90.0,0.0,diagnostic_startup_pressure_gradient_station_candidate_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,1.0,heave,heave_force,current_default,0,Current matched-BIE forward-speed pressure-gradient force matrix.,True,15,1.2,0.39999999999999997,0.07499999999999996,0.0,0.0,0.0,,0.0,0.0,0.0,22.81367502515831,22.81367502515831,1.0,0,0,9.100604382931458,9.100604382931458,1.0,90.0,90.0,0.0,diagnostic_startup_pressure_gradient_station_candidate_not_hard_gate
