case,frequency_index,radiation_residual,total_residual
fn167,0,1.3299084428364238e-16,1.7650992628797089e-15
fn167,1,2.1240090453803696e-16,6.858138974097936e-16
fn167,2,1.0236627813072177e-16,1.223735538403911e-15
fn167,3,2.0768411998889494e-16,7.538426029843372e-17
fn167,4,2.0793270644501353e-16,1.7416689121888542e-16
fn167,5,3.1354597173851836e-16,9.381455872988027e-16
fn167,6,2.702811673256589e-16,7.134383081293602e-16
fn167,7,5.708163086737135e-16,6.010267139985707e-16
fn226,0,1.5524501796080227e-16,1.9337304717549113e-15
fn226,1,1.5739087050414296e-16,6.378378297764779e-16
fn226,2,3.4687968701558377e-16,2.0592264418565108e-15
fn226,3,2.7556841202925884e-16,2.539773205137356e-16
fn226,4,5.317144889206192e-16,8.99508875131084e-16
fn226,5,2.2330646466827356e-16,1.4949804766540262e-15
fn226,6,5.756844806820952e-16,1.2065700816153258e-15
fn226,7,7.87459650390347e-16,1.0531236491037844e-15
fn282,0,1.2308356093282708e-16,1.28541582605613e-15
fn282,1,3.3069268255973355e-16,5.883379176015055e-16
fn282,2,1.5530379374840274e-16,9.23505627711937e-16
fn282,3,5.1998149285153185e-16,1.3514247564172899e-15
fn282,4,1.0451936302333564e-15,3.5922466146337695e-15
fn282,5,5.562881171376177e-16,1.2402775079551153e-15
fn282,6,6.475788753806706e-16,1.7819786198134696e-15
fn282,7,5.240018207615049e-16,6.979238207729602e-16
