omega_e_rad_s,F3_real,F3_imag,M5_real,M5_imag
7.516249999999999,-2442.9362789678694,-4179.935632933994,638.6191159978373,-1967.447427874175
8.707904702227681,-2885.3606929831535,-4038.655614783378,755.0345711677692,-1950.3705469124543
10.088488847906737,-3380.9431157877266,-3843.07435050171,885.992785009955,-1926.3436220503063
11.687956025552452,-3921.6484215777573,-3575.5909870206187,1029.8132831768753,-1892.7202156927353
13.54100877889088,-4488.569885822775,-3215.3785603336164,1182.201653280373,-1845.945455271808
15.687851524178978,-5045.986972747673,-2740.061222207797,1334.7828294162825,-1781.320418749351
18.175062837884298,-5533.932297990357,-2130.009367228653,1473.2342829891095,-1692.784113231903
21.05660604015252,-5860.72238525416,-1377.0779024827325,1575.3320316904396,-1572.8246168877415
24.394999999999996,-5899.675260047371,-499.8426369924394,1609.8651360909641,-1412.7715113795832
43.910999999999994,-952.411466641962,1784.949517707279,468.6355924051836,-287.8870600603802
