time_s,vertical_force_n,pitch_moment_nm,bem_vertical_force_n,bem_pitch_moment_nm,front_vertical_force_n,front_pitch_moment_nm,active_plane_count,max_potential_bvp_relative_residual,max_pressure_bvp_relative_residual
0.0,389.10313042638,-16.98938040054903,337.9816676584765,-54.31677143066389,51.121462767903516,37.32739103011486,11,1.4390146441590357e-15,1.7331504799749672e-15
0.0014305431266172946,394.84457178521205,-13.616342864068208,340.66231184059825,-52.91565672908604,54.18225994461378,39.29931386501783,10,1.435159813827794e-15,1.0477069127047758e-15
0.002861086253234589,395.7460802655452,-13.039974577726618,338.43978121288154,-54.32588286308879,57.306299052663604,41.285908285362176,10,9.873223393200108e-16,1.7537845682587e-15
0.004291629379851884,401.71036502822176,-9.985822129161527,341.21882675810957,-53.27041605413899,60.491538270112194,43.284593924977464,10,9.344942144053523e-16,9.537522286369134e-16
0.005722172506469178,398.9899981560004,-10.207055504303533,335.2540220916335,-55.499906994687535,63.73597606436691,45.292851490384,10,1.4937412249789921e-15,1.0534671444406052e-15
0.007152715633086473,404.6800475473894,-7.2558779216540685,337.6423955384206,-54.56410077507326,67.03765200896878,47.30822285341919,10,1.1037725698805772e-15,1.8432939018293504e-15
0.008583258759703769,401.81711028442635,-7.384665007836027,331.4224628082099,-56.71297603121636,70.39464747621642,49.32831102338033,10,1.1087402627613412e-15,1.851606183824148e-15
0.010013801886321063,406.92288712604426,-4.557475516508205,333.11780091387,-55.90825552304082,73.80508621217427,51.35078000653262,10,9.119104253087584e-16,1.1277681695140886e-15
0.011444345012938357,406.27682366076147,-4.245665327692912,329.00968886021076,-57.61901988833833,77.2671348005507,53.37335456064542,10,1.1192031765220952e-15,1.112026750910512e-15
0.012874888139555651,411.2469489353228,-1.4594095433081549,330.4679459134732,-56.853229395326196,80.77900302184956,55.39381985201804,10,1.0037552539709099e-15,1.4780158686264384e-15
0.014305431266172945,412.01710212359194,-0.9136979600304116,327.6781580095095,-58.32371898225898,84.33894411408245,57.41002102222857,10,9.353228811960698e-16,1.1914067517717516e-15
0.01573597439279024,417.1137402260546,1.86226412123915,329.16848528485184,-57.55759855036513,87.94525494120276,59.41986267160428,10,9.18205141329657e-16,1.3204756601666764e-15
0.017166517519407537,418.6250334948832,2.495982050824523,327.028757419617,-58.92532621533272,91.59627607526618,61.42130826615724,10,1.6700618372339772e-15,1.0581496840710864e-15
0.01859706064602483,423.9090584574867,5.255957721506029,328.61866665932473,-58.156421752965116,95.29039179816198,63.412379474471145,10,8.890324080780236e-16,9.691582307685535e-16
