reuse_step,step_factor,source_formal_exact_objective,source_root_relative_mismatch,source_condition_number,source_curvature_energy,source_maximum_turning_angle_deg,candidate_formal_exact_objective,formal_exact_relative_decrease,maximum_displacement_ratio,condition_number,condition_number_ratio,root_relative_mismatch,curvature_energy,curvature_energy_ratio,maximum_turning_angle_deg,accepted,rejection_reason
1,1.0,0.0032306989804003704,4.4746425766422603e-07,253359.91110428653,22.513151832001835,5.172007205171502,0.003147425455165353,0.025775699234194073,0.23316888190819401,253348.62125397817,0.9999554394763593,1.4482021641250016e-12,22.665215373778615,1.0067544314945998,5.173237015774512,False,displacement_limit
1,0.75,0.0032306989804003704,4.4746425766422603e-07,253359.91110428653,22.513151832001835,5.172007205171502,0.0031661008673647324,0.01999508881128647,0.17485318015664109,253351.29263068223,0.9999659832782277,3.363055608272003e-12,22.625752768974795,1.0050015625450055,5.1746536221478525,True,
1,0.5,0.0032306989804003704,4.4746425766422603e-07,253359.91110428653,22.513151832001835,5.172007205171502,0.00318569801305924,0.013929173721890191,0.11656163721936763,253357.7619591385,0.9999915174222368,7.072441426401751e-07,22.587288517484378,1.0032930389327877,5.1749375667264506,True,
1,0.25,0.0032306989804003704,4.4746425766422603e-07,253359.91110428653,22.513151832001835,5.172007205171502,0.0032074724111261577,0.007189332529932681,0.05828285127665268,253358.74618004062,0.9999954020971952,1.1176950099543144e-07,22.549769221465912,1.001626488806957,5.174072988366915,True,
1,0.125,0.0032306989804003704,4.4746425766422603e-07,253359.91110428653,22.513151832001835,5.172007205171502,0.003218902404701682,0.0036514004462361196,0.029148610892065743,253359.23029960284,0.9999973128950009,2.7884157585013222e-08,22.53135004031973,1.000808336764825,5.173205245852411,True,
2,1.0,0.0031661008673647324,3.363055608272003e-12,253351.29263068223,22.625752768974795,5.1746536221478525,0.0031005357254059807,0.020708481727344356,0.23325862720624269,253340.2618124949,0.9999564603832378,6.443596354624807e-13,22.797122334410986,1.0075740934317632,5.170962113834185,False,displacement_limit
2,0.75,0.0031661008673647324,3.363055608272003e-12,253351.29263068223,22.625752768974795,5.1746536221478525,0.0031144836654394535,0.016303081957158835,0.17490765060880717,253345.63886220197,0.9999776840748609,7.333612557304871e-13,22.752794468525316,1.0056149159255698,5.173855576640583,True,
2,0.5,0.0031661008673647324,3.363055608272003e-12,253351.29263068223,22.625752768974795,5.1746536221478525,0.0031304080712015493,0.0112734235763283,0.11658445624460173,253346.66302934234,0.9999817265533093,4.482804390975002e-07,22.70949239934165,1.0037010759916762,5.175460391698479,True,
2,0.25,0.0031661008673647324,3.363055608272003e-12,253351.29263068223,22.625752768974795,5.1746536221478525,0.003147629365307186,0.005834148320397972,0.058290266746408505,253348.3061674521,0.9999882121650175,1.1186335584373275e-07,22.667160118576636,1.0018300982082071,5.175752876054792,True,
2,0.125,0.0031661008673647324,3.363055608272003e-12,253351.29263068223,22.625752768974795,5.1746536221478525,0.0031566913690854884,0.002971951518106832,0.02915442967141021,253349.63806871817,0.9999934692973267,2.7914584333802147e-08,22.646343096562443,1.0009100394492014,5.175399873987432,True,
3,1.0,0.0031144836654394535,7.333612557304871e-13,253345.63886220197,22.752794468525316,5.173855576640583,0.0030661292493606245,0.015525660518115499,0.23332198463987727,253333.32583268176,0.9999513982969057,1.8080870921903703e-12,22.943888106999474,1.0083986887297955,5.164920758342883,False,displacement_limit
3,0.75,0.0031144836654394535,7.333612557304871e-13,253345.63886220197,22.752794468525316,5.173855576640583,0.0030764653006718472,0.012206955903954573,0.17495694673355613,253334.5010074733,0.9999560369194485,3.4254847160382872e-12,22.894585649078834,1.0062318138877255,5.169371269830578,True,
3,0.5,0.0031144836654394535,7.333612557304871e-13,253345.63886220197,22.752794468525316,5.173855576640583,0.003087926557089419,0.008526969861724234,0.11661851706596145,253337.19799897666,0.9999666824214413,4.4828027402841174e-07,22.846339669323108,1.0041113719427825,5.172374393502318,True,
3,0.25,0.0031144836654394535,7.333612557304871e-13,253345.63886220197,22.752794468525316,5.173855576640583,0.003100721719142001,0.004418692719491478,0.05830793296076574,253339.89120801917,0.9999773129933927,1.118432233659324e-07,22.799091468801024,1.002034783039057,5.173898024827149,True,
3,0.125,0.0031144836654394535,7.333612557304871e-13,253345.63886220197,22.752794468525316,5.173855576640583,0.003107147060329534,0.0023556409016786918,0.029163468540461302,253344.71119246405,0.9999963383236353,2.793344609558622e-08,22.775826301028562,1.0010122639016983,5.174095364444867,True,
4,1.0,0.0030764653006718472,3.4254847160382872e-12,253334.5010074733,22.894585649078834,5.169371269830578,0.003044358111597161,0.0104363891468806,0.23336787650006627,253323.21925223587,0.9999554669609052,4.7541346713133e-12,23.10583823448167,1.0092271853546881,5.154935394558667,False,displacement_limit
4,0.75,0.0030764653006718472,3.4254847160382872e-12,253334.5010074733,22.894585649078834,5.169371269830578,0.003050449006502813,0.00845655374801494,0.17499321041916058,253325.9401430925,0.9999662072700451,6.891373638281858e-13,23.05144738244425,1.0068514772780666,5.161009982021837,True,
4,0.5,0.0030764653006718472,3.4254847160382872e-12,253334.5010074733,22.894585649078834,5.169371269830578,0.0030574020336523646,0.006196483677329155,0.1166439305831294,253331.78358244573,0.9999892733717012,4.4850715637436664e-07,22.998147109195234,1.0045234039918327,5.165477025665145,True,
