benchmark,case_code,fn_b,speed_m_s,wave_omega_rad_s,source_encounter_omega_rad_s,wave_number_rad_m,wavelength_m,wave_amplitude_m,lambda_over_l,reference_heave_rao_m_per_m,reference_pitch_rao_rad_per_wave_slope,heave_digitization_uncertainty_abs,pitch_digitization_uncertainty_abs,source_kind,frequency_index,omega0_rad_s,omega_e_rad_s,wavenumber_rad_m,heave_response_real_m_per_m,heave_response_imag_m_per_m,pitch_response_real_rad_per_m,pitch_response_imag_rad_per_m,heave_rao_m_per_m,pitch_rao_rad_per_m,pitch_rao_rad_per_wave_slope,point_vertical_rao_m_per_m,heave_phase_lead_deg,pitch_phase_lead_deg,point_phase_lead_deg,fridsma_heave_phase_lag_deg,fridsma_pitch_phase_lead_deg,cg_accel_rao_mps2_per_m,point_accel_rao_mps2_per_m,cg_accel_g,point_accel_g,dynamic_condition_number,equation_relative_residual,heave_finite_length_factor,pitch_finite_length_factor,provider_route,matrix_contract,configuration,speed_mps,running_trim_deg,keel_wetted_length_m,mean_wetted_length_over_b,measured_sinkage_mm_diagnostic,running_state_source,calm_force_residual_norm,candidate_provider_route,wave_steepness_ka,linear_gate_eligible,linear_gate_reason,heave_relative_error,pitch_relative_error
begovic_2014_mono_efd_republished_2020,C1,1.67,3.4,5.65,16.734,3.26,1.928,0.02,1.014,0.09615384615,0.1192307692,0.01538461538,0.01538461538,red_triangle_EFD_graph_digitization,0,5.653231330621184,16.733537370253234,3.2589135410682504,0.00934847926697519,-0.009290545291782889,0.0490783585965899,0.017742287689607696,0.013179844324715456,0.052186914595483365,0.01601359285474534,0.06944380657821736,45.178086657329686,109.87539927463138,99.99550638153039,-45.178086657329686,109.87539927463138,3.6905049862729116,19.445048676492295,0.007526535537156749,0.0396568627951284,6.094483653319388,3.300143244675437e-16,0.014731729883003567,0.3172736463958445,faltinsen_ch9_reduced_order_planing,heave_pitch_2x2_v1,FnB=1.67,3.4,3.972,1.49,2.805984949095208,-3.648,begovic2014_measured_trim_plus_begovic2012_measured_keel_wetted_length,0.46738011898198045,faltinsen_ch9_reduced_order_planing,0.0652,False,retained diagnostic: kA>0.055,0.8629296190174764,0.8656924469900565
begovic_2014_mono_efd_republished_2020,C2,1.67,3.4,5.03,13.7884,2.576,2.44,0.02,1.284,0.25,0.2769230769,0.01538461538,0.01538461538,red_triangle_EFD_graph_digitization,1,5.02522323101959,13.780481445941964,2.575075945565404,-0.009651407481651771,0.026111948783856028,-0.03327187186513004,0.03420586032471173,0.0278385261044403,0.047718532437233646,0.018530922367323108,0.08361802213984232,-159.71485505642124,-135.79300501116882,-143.55149826952598,159.71485505642124,-135.79300501116882,5.286582566446964,15.879201952963962,0.01078162790850487,0.03238455936117627,6.642976568900992,3.5845216160996536e-16,0.2618596978924897,0.516204283391992,faltinsen_ch9_reduced_order_planing,heave_pitch_2x2_v1,FnB=1.67,3.4,3.972,1.49,2.805984949095208,-3.648,begovic2014_measured_trim_plus_begovic2012_measured_keel_wetted_length,0.46738011898198045,faltinsen_ch9_reduced_order_planing,0.05152,True,kA<=0.055,0.8886458955822388,0.9330827803346456
begovic_2014_mono_efd_republished_2020,C3,1.67,3.4,4.4,11.1048,1.972,3.186,0.02,1.677,0.6,0.625,0.01538461538,0.01538461538,red_triangle_EFD_graph_digitization,2,4.397718092036876,11.102937817212831,1.9721234485811634,-0.10247646043833802,0.226948370508176,-0.3542948038007035,0.05167212666245193,0.24901202344522763,0.35804303746058164,0.18155204113524145,0.6025785929646232,-155.69887975009453,-98.29779965805652,-118.67155264207943,155.69887975009453,-98.29779965805652,30.697014008004672,74.28301353981585,0.06260448574794587,0.15149518651081836,8.231460767856952,1.8805038723689014e-16,0.5094849512762327,0.6902462146652886,faltinsen_ch9_reduced_order_planing,heave_pitch_2x2_v1,FnB=1.67,3.4,3.972,1.49,2.805984949095208,-3.648,begovic2014_measured_trim_plus_begovic2012_measured_keel_wetted_length,0.46738011898198045,faltinsen_ch9_reduced_order_planing,0.03944,True,kA<=0.055,0.5849799609246206,0.7095167341836136
begovic_2014_mono_efd_republished_2020,C4,1.67,3.4,4.08,9.86,1.7,3.695,0.032,1.945,0.8076923077,0.8115384615,0.01538461538,0.01538461538,red_triangle_EFD_graph_digitization,3,4.08359864090329,9.865149397171379,1.7004561047847324,-0.33887804963336393,0.509328117775365,-0.8030990604006093,-0.05594225236136948,0.6117625880028206,0.8050451145219158,0.47342893018919163,1.377835762792534,-146.36245769216154,-86.01532869272876,-108.71218500883481,146.36245769216154,-86.01532869272876,59.53745243468705,134.0925921244681,0.19427617768656835,0.43755644873458105,10.444336145764957,2.7221648057781705e-16,0.6184123702378646,0.7622182339878789,faltinsen_ch9_reduced_order_planing,heave_pitch_2x2_v1,FnB=1.67,3.4,3.972,1.49,2.805984949095208,-3.648,begovic2014_measured_trim_plus_begovic2012_measured_keel_wetted_length,0.46738011898198045,faltinsen_ch9_reduced_order_planing,0.0544,True,kA<=0.055,0.24257965295610234,0.4166278585069974
begovic_2014_mono_efd_republished_2020,C5,1.67,3.4,3.77,8.6966,1.449,4.337,0.032,2.283,0.9576923077,0.9884615385,0.01538461538,0.01538461538,red_triangle_EFD_graph_digitization,4,3.7692553583355703,8.694971301247858,1.4487399832094965,-1.4219996822415777,0.7137139280316792,-1.5568176848952324,-1.108443138074284,1.5910596052196022,1.9111063534891297,1.3191506934566133,3.3526298720527747,-116.65247002833026,-54.54940388401782,-79.34744698825406,116.65247002833026,-54.54940388401782,120.28812505903298,253.46728683396617,0.3925112043245202,0.8270870459011914,15.306004170163186,4.1977057893846243e-16,0.7128849738893964,0.8229534397805027,faltinsen_ch9_reduced_order_planing,heave_pitch_2x2_v1,FnB=1.67,3.4,3.972,1.49,2.805984949095208,-3.648,begovic2014_measured_trim_plus_begovic2012_measured_keel_wetted_length,0.46738011898198045,faltinsen_ch9_reduced_order_planing,0.046368000000000006,True,kA<=0.055,0.6613473789308187,0.33454933963180533
begovic_2014_mono_efd_republished_2020,C6,1.67,3.4,3.46,7.5978,1.217,5.161,0.035,2.717,1.057692308,1.092307692,0.01538461538,0.01538461538,red_triangle_EFD_graph_digitization,5,3.4552807643325787,7.594561920002138,1.2174356340204586,-1.681514687270349,-1.269398249409242,0.43843947098020614,-2.263194591307206,2.106861067823208,2.305271985652798,1.8935473229413118,4.155492340345078,-52.950349861181905,10.963867320922247,-16.124298652605916,52.950349861181905,10.963867320922247,121.51820694179412,239.67787239090353,0.43369930026694076,0.8554119432917077,12.367804377228934,3.9431424057175994e-16,0.7915045136901039,0.8724703805309088,faltinsen_ch9_reduced_order_planing,heave_pitch_2x2_v1,FnB=1.67,3.4,3.972,1.49,2.805984949095208,-3.648,begovic2014_measured_trim_plus_begovic2012_measured_keel_wetted_length,0.46738011898198045,faltinsen_ch9_reduced_order_planing,0.04259500000000001,True,kA<=0.055,0.9919413726351953,0.7335292398007864
begovic_2014_mono_efd_republished_2020,C7,1.67,3.4,3.14,6.5604,1.006,6.245,0.035,3.287,0.9653846154,1.057692308,0.01538461538,0.01538461538,red_triangle_EFD_graph_digitization,6,3.1411165469230062,6.561905985579626,1.0061145407813588,-0.6137004256049658,-1.365532334113357,0.9993551562881628,-1.0925141420970117,1.4970994515718683,1.4806410365384677,1.4716426177367308,2.7436895279224633,-24.200204608859167,42.45008338988262,12.386246884899691,24.200204608859167,42.45008338988262,64.46302166135106,118.1394577927259,0.23006895913969477,0.42164052176282496,6.034443244317364,1.689434890283885e-16,0.8545439627093517,0.9115737964144389,faltinsen_ch9_reduced_order_planing,heave_pitch_2x2_v1,FnB=1.67,3.4,3.972,1.49,2.805984949095208,-3.648,begovic2014_measured_trim_plus_begovic2012_measured_keel_wetted_length,0.46738011898198045,faltinsen_ch9_reduced_order_planing,0.035210000000000005,True,kA<=0.055,0.5507803083764249,0.3913712018190556
begovic_2014_mono_efd_republished_2020,C8,1.67,3.4,2.83,5.601,0.815,7.71,0.045,4.058,1.030769231,1.146153846,0.01538461538,0.01538461538,red_triangle_EFD_graph_digitization,7,2.8269822583560744,5.597777335452131,0.8149397285576636,-0.3116362338929838,-1.1669246126611996,0.8766975458283828,-0.5901561429004551,1.207820431152534,1.056826788014314,1.296815888316991,2.01860909527774,-14.952333670943972,56.0532081551998,21.597904100762207,14.952333670943972,56.0532081551998,37.84718739575532,63.25334026255137,0.17367025771379516,0.2902520546582994,4.094197312143612,2.798876735991089e-16,0.9030556441193438,0.9413314498283882,faltinsen_ch9_reduced_order_planing,heave_pitch_2x2_v1,FnB=1.67,3.4,3.972,1.49,2.805984949095208,-3.648,begovic2014_measured_trim_plus_begovic2012_measured_keel_wetted_length,0.46738011898198045,faltinsen_ch9_reduced_order_planing,0.036675,True,kA<=0.055,0.1717660896617644,0.1314501040526028
begovic_2014_mono_efd_republished_2020,C1,2.26,4.6,5.65,20.646,3.26,1.928,0.02,1.014,0.1298076923,0.1254807692,0.01730769231,0.01730769231,red_triangle_EFD_graph_digitization,0,5.653231330621184,20.644233619535136,3.2589135410682504,0.0182275002710549,0.000672815548253995,0.03571200445001549,0.0547244969475989,0.018239913565948684,0.06534613858527287,0.020051510345945794,0.09037255175508281,92.11394854397008,146.87241622709496,137.38446634495307,-92.11394854397008,146.87241622709496,7.773566286057391,38.51537009582038,0.015853663149102686,0.07854949467110661,6.421097048809841,2.0309196496277302e-16,0.014731729883003567,0.3172736463958445,faltinsen_ch9_reduced_order_planing,heave_pitch_2x2_v1,FnB=2.26,4.6,4.174,1.3,2.3921433109895345,9.705,begovic2014_measured_trim_plus_begovic2012_measured_keel_wetted_length,0.4059993729921398,faltinsen_ch9_reduced_order_planing,0.0652,False,retained diagnostic: kA>0.055,0.8594851102984389,0.8402025228743514
begovic_2014_mono_efd_republished_2020,C2,2.26,4.6,5.03,16.8796,2.576,2.44,0.02,1.284,0.2639423077,0.2769230769,0.01730769231,0.01730769231,red_triangle_EFD_graph_digitization,1,5.02522323101959,16.870572580620447,2.575075945565404,0.03477766421745636,0.044880586503323217,-0.025074405213629854,0.1340643786101053,0.05677810293858384,0.13638908830596005,0.05296507411396497,0.20621164080561707,142.22813655928246,-169.40621913570718,178.71813081181506,-142.22813655928246,-169.40621913570718,16.15996899161359,58.69117756070713,0.032957164763937924,0.11969669063483888,7.002728139100338,1.9596881448629614e-16,0.2618596978924897,0.516204283391992,faltinsen_ch9_reduced_order_planing,heave_pitch_2x2_v1,FnB=2.26,4.6,4.174,1.3,2.3921433109895345,9.705,begovic2014_measured_trim_plus_begovic2012_measured_keel_wetted_length,0.4059993729921398,faltinsen_ch9_reduced_order_planing,0.05152,True,kA<=0.055,0.7848844187453323,0.808737232350299
