component,sigma,damping_center_from_cg_m,damping_center_from_transom_m,damping_center_from_transom_over_beam,response_calibration_used
bem,1.4,0.07911500916601215,0.5465750091660121,1.718789337000038,False
front,1.4,0.5209996745327146,0.9884596745327145,3.108363756392184,False
longitudinal_bin_aft_post_chine,1.4,-0.33783368722622487,0.12962631277377512,0.4076299143829406,False
longitudinal_bin_forward_post_chine,1.4,0.12367231868349665,0.5911323186834967,1.8589066625267192,False
longitudinal_bin_middle_post_chine,1.4,-0.10879179493479879,0.3586682050652012,1.1278874373119534,False
longitudinal_bin_pre_chine,1.4,0.3387760282427306,0.8062360282427306,2.5353334221469512,False
post_chine_bem,1.4,-0.03233124431586294,0.43512875568413706,1.368329420390368,False
pre_chine_bem,1.4,0.3387760282427306,0.8062360282427306,2.5353334221469512,False
raw_bem,1.4,0.07911500916601215,0.5465750091660121,1.718789337000038,False
resolved_station_bem,1.4,0.08814136219473692,0.5556013621947369,1.7471740949520027,False
total,1.4,0.1770602275096428,0.6445202275096428,2.0267931682693168,False
transom,1.4,nan,nan,nan,False
transom_extrapolation,1.4,-0.4350849877420552,0.03237501225794481,0.1018082146476252,False
