coefficient,computed_frequency_count,frequencies_with_exp_markers,relative_error_point_count,median_relative_error,used_for_acceptance
A33,5,5,5,0.0500926762258,False
A35,5,4,0,,False
A53,5,5,0,,False
A55,5,4,4,1.3404646195,False
B33,5,4,4,0.0253456555217,False
B35,5,3,3,0.525426404801,False
B53,5,5,5,0.552537560324,False
B55,5,5,5,0.128846498928,False
