level,case,omega,component,real,imag
0,fn167,16.734,A33,0.22720906090884743,0.0
0,fn167,16.734,A35,0.009791572955776899,0.0
0,fn167,16.734,A53,0.018305349608774415,0.0
0,fn167,16.734,A55,0.014127702815764287,0.0
0,fn167,16.734,B33,0.16759985529483784,0.0
0,fn167,16.734,B35,-0.18320432025460182,0.0
0,fn167,16.734,B53,0.20063873854134956,0.0
0,fn167,16.734,B55,0.005900877441232128,0.0
0,fn167,16.734,F3,0.10939683514134217,-0.3396502789591734
0,fn167,16.734,F5,0.13878957204638429,0.01041074472948966
0,fn167,5.601,A33,0.328244734091988,0.0
0,fn167,5.601,A35,0.05480513019302087,0.0
0,fn167,5.601,A53,-0.012704564614712088,0.0
0,fn167,5.601,A55,0.035673295585305166,0.0
0,fn167,5.601,B33,0.21057656938753744,0.0
0,fn167,5.601,B35,-0.20619918132057238,0.0
0,fn167,5.601,B53,0.23855655237120238,0.0
0,fn167,5.601,B55,0.02844898497969764,0.0
0,fn167,5.601,F3,-0.029916867863903004,-0.7046051949673663
0,fn167,5.601,F5,0.04110985067695107,-0.06336128820517856
1,fn167,16.734,A33,0.2098819411447001,0.0
1,fn167,16.734,A35,0.008824541247319576,0.0
1,fn167,16.734,A53,0.017186568950810308,0.0
1,fn167,16.734,A55,0.013287556817154544,0.0
1,fn167,16.734,B33,0.24001034039316607,0.0
1,fn167,16.734,B35,-0.1585086714297162,0.0
1,fn167,16.734,B53,0.18371853978892336,0.0
1,fn167,16.734,B55,0.005677569900934892,0.0
1,fn167,16.734,F3,0.08850124055701494,-0.33474889197764224
1,fn167,16.734,F5,0.1375759639575772,0.009542300353172883
1,fn167,5.601,A33,0.32599762365362484,0.0
1,fn167,5.601,A35,0.0576743939711627,0.0
1,fn167,5.601,A53,-0.016368855091707858,0.0
1,fn167,5.601,A55,0.03444993338628653,0.0
1,fn167,5.601,B33,0.22712016472369803,0.0
1,fn167,5.601,B35,-0.20260165478007974,0.0
1,fn167,5.601,B53,0.2358120029910974,0.0
1,fn167,5.601,B55,0.032034279011957115,0.0
1,fn167,5.601,F3,-0.03735981436429527,-0.7037760275674687
1,fn167,5.601,F5,0.04104750824856868,-0.06355482719043139
2,fn167,16.734,A33,0.20186947177490835,0.0
2,fn167,16.734,A35,0.008796192216142609,0.0
2,fn167,16.734,A53,0.01628247573884816,0.0
2,fn167,16.734,A55,0.012794254664925791,0.0
2,fn167,16.734,B33,0.2928954312460155,0.0
2,fn167,16.734,B35,-0.14369897304487744,0.0
2,fn167,16.734,B53,0.17380841208723857,0.0
2,fn167,16.734,B55,0.005638637434135769,0.0
2,fn167,16.734,F3,0.07520774319372495,-0.33550783678813134
2,fn167,16.734,F5,0.1369105217944033,0.008808819025910661
2,fn167,5.601,A33,0.32528484564144067,0.0
2,fn167,5.601,A35,0.058623764763763075,0.0
2,fn167,5.601,A53,-0.018098845345335846,0.0
2,fn167,5.601,A55,0.03404558131505571,0.0
2,fn167,5.601,B33,0.2329569589589864,0.0
2,fn167,5.601,B35,-0.20247020417265596,0.0
2,fn167,5.601,B53,0.23488908274888204,0.0
2,fn167,5.601,B55,0.033687441504260195,0.0
2,fn167,5.601,F3,-0.041255438934270826,-0.7040067356265881
2,fn167,5.601,F5,0.04080817378063875,-0.06332331086722616
