case,frequency_index,omega,wavenumber,variant,old_dynamic_condition,new_dynamic_condition,q3_real,q3_imag,q5_real,q5_imag,heave_rao_m_per_m,pitch_rao_rad_per_wave_slope,linear_gate_eligible,reference_heave_rao_m_per_m,reference_pitch_rao_rad_per_wave_slope,case_code
fn167,0,16.734,3.2590219527589674,baseline,15.58440884929382,18.042050309443205,-0.0283509678087968,0.1824994759219122,-0.4226928767660061,-0.0872690092274971,0.1846884839059221,0.13243471148775762,False,0.09615384615,0.1192307692,C1
fn167,1,13.7884,2.576885664439888,baseline,16.109835067067802,18.926948776476376,-0.0343028628503388,0.3596981443926791,-0.7202324521986103,0.0295361667409806,0.3613301004334759,0.2797321725295478,True,0.25,0.2769230769,C2
fn167,2,11.1048,1.9725359002056604,baseline,18.45605102877616,22.94509092045934,0.1227098020985613,0.7334888860035376,-1.3642154592525808,0.5547794026041353,0.7436824869672396,0.7466056023347847,True,0.6,0.625,C3
fn167,3,9.86,1.6993368978428782,baseline,20.708010054545586,31.3856196018916,0.5552736498271746,1.0671140812768396,-1.912496631053998,1.521261521443957,1.2029386055205415,1.4380568266223628,True,0.8076923077,0.8115384615,C4
fn167,4,8.6966,1.4490864561878758,baseline,21.955076606575787,81.5452399153735,1.8595919274357424,0.850974563503013,-1.2976527264822062,4.014453815063231,2.04505252849733,2.9114715907102378,True,0.9576923077,0.9884615385,C5
fn167,5,7.5978,1.2181075901891778,baseline,12.2539035778728,36.953147501476096,1.8016569533916176,-1.1248573139454163,2.3326920635182704,3.651669749772927,2.1239754599431846,3.5572759559413494,True,1.057692308,1.092307692,C6
fn167,6,6.5604,1.0058109838842562,baseline,4.339894683872986,17.989878814300038,0.6736622332600842,-1.376086019643192,2.544969188311223,1.5899269875067188,1.532133655389897,2.9834524346782634,True,0.9653846154,1.057692308,C7
fn167,7,5.601,0.8155674217941496,baseline,2.642851550071961,15.514013949357572,0.2474537213979921,-1.1917861454473395,2.0603700286185505,0.887799080131347,1.2172048146117163,2.7508508932352793,True,1.030769231,1.146153846,C8
fn226,0,20.646,3.259236620385745,baseline,18.436847863427232,20.087379993232567,0.0207407687031558,0.1270803868904269,-0.262268184951481,0.0792127379262648,0.12876181195765454,0.08405939192718156,False,0.1298076923,0.1254807692,C1
fn226,1,16.8796,2.5766950424428487,baseline,18.94906790327263,20.89113309841763,0.0698792602486926,0.2289641053674616,-0.393691039932862,0.2213926274445472,0.23939020982409986,0.17529109926211892,True,0.2639423077,0.2769230769,C2
fn226,2,13.4712,1.9724233726607707,baseline,18.915940460673657,23.561967457263528,0.2523447741655128,0.3853181073962863,-0.5621915332690897,0.6203016551133519,0.460595189875122,0.42443117416954895,True,0.4716346154,0.4759615385,C3
fn226,3,11.9,1.699474065203633,baseline,17.80673085254939,27.15267489948181,0.4839596168905886,0.4345012703225723,-0.5437213904318925,1.0484862603773857,0.6503908553268676,0.6949695455598557,True,0.6879807692,0.7528846154,C4
fn226,4,10.4354,1.4490688740302793,baseline,14.64677484951052,32.57632648213873,0.8175649218462128,0.3002134373304546,-0.1737553977090535,1.5764020714818556,0.8709423111705911,1.0944607886047064,True,0.9151442308,0.9951923077,C5
fn226,5,9.0582,1.217886762397776,baseline,9.13568989042519,25.028183661589985,0.9910766015651334,-0.1011877057405991,0.5891669207833097,1.7182716448981572,0.9962287799310661,1.4914960213130344,True,1.120673077,1.233173077,C6
fn226,6,7.7676,1.0058477978268834,baseline,4.212523297221723,13.342497978976654,0.8592552315887273,-0.4433368038636969,1.1288910101662692,1.3454152482990676,0.9668852437971506,1.7460743393016183,True,1.125,1.189903846,C7
