frequency_index,status,heave_amplitude_relative_error,pitch_amplitude_relative_error,heave_phase_circular_error_deg,pitch_phase_circular_error_deg,point_acceleration_kinematic_relative_residual
0,PASS,1.226436863242773e-15,1.2861680027387706e-14,5.684341886080802e-14,5.684341886080802e-14,0.0
1,PASS,6.160271171493826e-14,8.619779991982514e-14,2.3590018827235326e-12,5.5706550483591855e-12,0.0
2,PASS,1.2862047660734742e-13,1.6236688091245044e-13,1.1937117960769683e-12,6.423306331271306e-12,0.0
3,PASS,1.9045853182161408e-13,2.5847109881122104e-13,1.4381384971784428e-11,6.0254023992456496e-12,0.0
4,PASS,1.8350015455850283e-12,2.3615043194696955e-12,5.292122295941226e-11,5.8548721426632255e-12,0.0
5,PASS,1.9463772020520077e-12,2.3435805565024655e-12,1.3932321962784044e-10,1.5188561519607902e-10,0.0
6,PASS,1.3379397780523925e-12,2.7835222828937207e-12,3.290097083663568e-10,2.731326276261825e-10,0.0
7,PASS,1.1286919620702831e-11,2.3152228936980912e-11,1.3288001809996786e-09,1.0150245088880183e-09,0.0
