reuse_step,step_factor,source_curvature_energy,source_maximum_turning_angle_deg,normalized_objective,normalized_relative_decrease,maximum_root_relative_mismatch,maximum_condition_number,maximum_condition_number_ratio,maximum_displacement_ratio,curvature_energy,curvature_energy_ratio,maximum_turning_angle_deg,dipole_coefficient,accepted,rejection_reason,outer_shape_dipole_coefficient
1,1.0,22.07539306163549,7.272744989881465,0.9767568969452491,0.023243103054750858,5.444095818549943e-07,1376090.8914295197,1.0000631407725362,0.25001472712598705,22.23812051527503,1.0073714408248675,7.306663801960274,7.74514232705575,False,displacement_limit,
1,0.5,22.07539306163549,7.272744989881465,0.9869560085583883,0.013043991441611724,1.3549920462175732e-07,1376047.242414522,1.0000314191970923,0.12500738332039732,22.15642743670829,1.003670801006648,7.29089544983658,7.744220167098864,True,,7.743189135072088
1,0.25,22.07539306163549,7.272744989881465,0.9931273607851526,0.006872639214847376,3.378849560503872e-08,1376025.3000463073,1.0000154727550297,0.0625036965841516,22.115828997543886,1.0018317198609101,7.2821273776177184,7.743758495063263,True,,
2,1.0,22.15642743670829,7.29089544983658,0.9822510958769896,0.017748904123010445,5.490752954948936e-07,1376134.9692451581,1.0000637535636057,0.25002745905359847,22.320612772252478,1.0074102802003253,7.320323915992852,7.74618484954928,False,displacement_limit,
2,0.5,22.15642743670829,7.29089544983658,0.9896798726101701,0.010320127389829903,1.3679799227010817e-07,1376090.9223773815,1.0000317438575042,0.1250137492395065,22.238186215869298,1.0036900704950993,7.3068607431956165,7.745263297070658,True,,7.744220167098864
2,0.25,22.15642743670829,7.29089544983658,0.9944848325222749,0.005515167477725069,3.4113798648093726e-08,1376069.8261525445,1.000016412825107,0.06250687953247665,22.197224461573548,1.0018413178289594,7.299199893115409,7.744802033051285,True,,
3,1.0,22.238186215869298,7.3068607431956165,0.987931446141218,0.012068553858782027,5.538992330403305e-07,1376177.4204666973,1.0000628586963218,0.2500401980618043,22.40384982025852,1.0074495106202055,7.3316358882919275,7.747227952374272,False,displacement_limit,
3,0.5,22.238186215869298,7.3068607431956165,0.9925072161418474,0.007492783858152552,1.378133671825862e-07,1376135.0048334177,1.0000320354181311,0.12502011869890206,22.320679509217275,1.0037095333471535,7.32055535150611,7.7463072329091105,True,,7.745263297070658
3,0.25,22.238186215869298,7.3068607431956165,0.9958954393665134,0.004104560633486631,3.43423602355276e-08,1376112.6606308164,1.0000157979717113,0.06251006425080231,22.279349364403835,1.0018510119546153,7.314043412212627,7.745846310083064,True,,
4,1.0,22.320679509217275,7.32055535150611,0.9937468896542277,0.00625311034577225,5.59298967770831e-07,1376220.28160487,1.0000619681323861,0.2500529441561151,22.487842160044533,1.00748913807746,7.3405281977752255,7.748270328827173,False,displacement_limit,
4,0.5,22.320679509217275,7.32055535150611,0.995402615435199,0.004597384564800966,1.3917747959273523e-07,1376177.4533833002,1.0000308460248812,0.12502649170111954,22.403917620481383,1.0037291925288268,7.331900197366044,7.747350432681357,True,,7.7463072329091105
4,0.25,22.320679509217275,7.32055535150611,0.997338420447024,0.002661579552975968,3.4701463601948715e-08,1376155.9250576703,1.0000152019742972,0.06251325074053582,22.362213912592967,1.0018608037160581,7.326575515092499,7.746889890668829,True,,
