reuse_step,step_factor,source_formal_exact_objective,source_root_relative_mismatch,source_condition_number,source_curvature_energy,source_maximum_turning_angle_deg,candidate_formal_exact_objective,formal_exact_relative_decrease,maximum_displacement_ratio,condition_number,condition_number_ratio,root_relative_mismatch,curvature_energy,curvature_energy_ratio,maximum_turning_angle_deg,accepted,rejection_reason
1,1.0,0.024212893313413267,5.00445989062781e-07,253560.28247095033,22.750813702714403,6.305229805961171,0.02296743889051479,0.05143765376476217,0.19015794153522378,253576.14311158934,1.0000625517548902,5.037091611481774e-07,22.687678198995826,0.9972249122803443,6.2667845754805125,True,
2,1.0,0.02296743889051479,5.037091611481774e-07,253576.14311158934,22.687678198995826,6.2667845754805125,0.021779764623378498,0.05171121920898127,0.1901483955250996,253592.2676632646,1.0000635885989801,5.0684790938348e-07,22.625544680748625,0.9972613540397469,6.227677194389698,True,
3,1.0,0.021779764623378498,5.0684790938348e-07,253592.2676632646,22.625544680748625,6.227677194389698,0.02064989012996119,0.05187725914193279,0.19013884788485313,253611.44721005074,1.0000756314337298,5.101905918228854e-07,22.564413412039595,0.9972981305170061,6.187924906255206,True,
4,1.0,0.02064989012996119,5.101905918228854e-07,253611.44721005074,22.564413412039595,6.187924906255206,0.01957916590322272,0.05185132802159285,0.19012930075013046,253626.43224191046,1.0000590865752494,5.130639231239776e-07,22.504285108174688,0.9973352596069338,6.1475454504109175,True,
5,1.0,0.01957916590322272,5.130639231239776e-07,253626.43224191046,22.504285108174688,6.1475454504109175,0.018567413741285357,0.05167493686596884,0.19011975623532043,253641.4910200995,1.000059373851755,5.162669230320831e-07,22.445160767757578,0.9973727518944544,6.106557034024308,True,
6,1.0,0.018567413741285357,5.162669230320831e-07,253641.4910200995,22.445160767757578,6.106557034024308,0.01761490751582118,0.051299886927506935,0.19011021642847134,253657.56809273618,1.000063385026527,5.196625776679909e-07,22.387041479402484,0.9974106093978804,6.064978303613545,True,
7,1.0,0.01761490751582118,5.196625776679909e-07,253657.56809273618,22.387041479402484,6.064978303613545,0.016722120365393996,0.05068361270845783,0.19010068338909242,253674.09071096018,1.0000651374936227,5.230033901624931e-07,22.329928213729257,0.9974488247709831,6.022828315729586,True,
8,1.0,0.016722120365393996,5.230033901624931e-07,253674.09071096018,22.329928213729257,6.022828315729586,0.015889104616617702,0.04981519870531484,0.19009115914393157,253693.8561685081,1.000077916737545,5.264999211581445e-07,22.27382161501784,0.9974873811427248,5.9801265073651075,True,
9,1.0,0.015889104616617702,5.264999211581445e-07,253693.8561685081,22.27382161501784,5.9801265073651075,0.015117216617348063,0.048579704010656255,0.1900816456828573,253709.21418651455,1.0000605376032294,5.325287562653249e-07,22.218721806034477,0.9975262525696886,5.9368926657171235,True,
10,1.0,0.015117216617348063,5.325287562653249e-07,253709.21418651455,22.218721806034477,5.9368926657171235,0.014406294381129201,0.04702732349571736,0.1900721449575748,253724.64262124163,1.0000608114875786,5.359095043524342e-07,22.16462821865167,0.9975654050734767,5.893146897635004,True,
11,1.0,0.014406294381129201,5.359095043524342e-07,253724.64262124163,22.16462821865167,5.893146897635004,0.013756646249474898,0.0450947422333169,0.1900626588766956,253740.95132565702,1.0000642771795711,5.394354387619152e-07,22.11153945965502,0.9976047981282187,5.848909598907144,True,
12,1.0,0.013756646249474898,5.394354387619152e-07,253740.95132565702,22.11153945965502,5.848909598907144,0.013168716736505307,0.042737852112176906,0.1900531893039798,253757.85551849555,1.000066619884375,5.429172362366935e-07,22.0594532161236,0.9976443863790463,5.804201423162719,True,
