count,mode,absolute_error
64,green,0.011786557580946601
64,normal,2.843010133329957
128,green,0.00270699499211724
128,normal,0.02696427647887245
256,green,0.0006585658346272075
256,normal,0.004735965252679497
512,green,0.00016335449125034346
512,normal,0.0011036379331534896
