count,field,source,lag,mode,reference,quad_error_estimate,value,absolute_error
64,0,0,1,green,0.16003645474950187,1.7767615684227896e-15,0.16001013694605956,2.6317803442310606e-05
64,0,0,1,normal,-0.07419108338809269,8.236864899934547e-16,-0.07418588946913814,5.1939189545519016e-06
64,0,0,128,green,0.11255781015447308,4.413151552637613e-12,0.10972141722390931,0.002836392930563772
64,0,0,128,normal,-0.008862744463849898,6.479907837522378e-12,-0.008633793493073236,0.00022895097077666252
64,0,0,512,green,0.025292682624523992,4.77916337367478e-12,0.014151062064222246,0.011141620560301746
64,0,0,512,normal,0.0021896717911026563,5.962661845785903e-11,0.0012478605899152299,0.0009418112011874264
64,0,95,1,green,-6.628961719197152e-05,2.860170860096467e-12,0.0009910338637815403,0.0010573234809735119
64,0,95,1,normal,-0.008863380766527013,8.4321497804808e-11,0.09317879490411787,0.10204217567064489
64,0,95,128,green,0.2788746442849512,6.576372323177735e-11,0.28194978816788546,0.0030751438829342836
64,0,95,128,normal,-0.19563053251361257,7.811324687346556e-11,-0.3525992049508581,0.15696867243724555
64,0,95,512,green,0.13402254392996246,5.893004263199032e-11,0.12504133753440805,0.008981206395554414
64,0,95,512,normal,-1.7014359067217675,1.0091442267137667e-10,-4.544446040051724,2.843010133329957
64,0,48,1,green,0.0027291515884456715,1.1689592409281843e-11,0.0027081400144467025,2.101157399896905e-05
64,0,48,1,normal,-4.921451564701363e-05,2.431346913441695e-13,-4.926789573480289e-05,5.3380087789259864e-08
64,0,48,128,green,0.16325912888408955,1.467273679400978e-11,0.16055587824250242,0.002703250641587135
64,0,48,128,normal,-0.03341589279216481,3.718808685139994e-11,-0.03342289420638412,7.001414219311164e-06
64,0,48,512,green,0.02687800149735632,5.022858848681769e-11,0.015128799330669011,0.01174920216668731
64,0,48,512,normal,0.00029261156554020486,4.552664718875908e-11,0.0002511853160804033,4.142624945980156e-05
64,24,48,1,green,0.002754982714289664,4.866668672871485e-12,0.002733937122457656,2.10455918320078e-05
64,24,48,1,normal,-0.0012799862883347605,1.1687296655227318e-14,-0.0012800400886932646,5.38003585041566e-08
64,24,48,128,green,0.1407945134654531,6.870458849284627e-15,0.13808679988674125,0.0027077135787118567
64,24,48,128,normal,-0.01696809784343158,2.3292869824698088e-14,-0.01697515607075353,7.058227321950217e-06
64,24,48,512,green,0.027072035903959162,9.140063554104183e-11,0.015296302176660517,0.011775733727298645
64,24,48,512,normal,0.0003067777181970928,8.633725418621951e-11,0.00026482348724184797,4.195423095524481e-05
64,48,48,1,green,0.002773623099468288,1.3789713057261159e-15,0.0027525637264770274,2.105937299126063e-05
64,48,48,1,normal,-0.001540797210686321,4.990859195912725e-14,-0.0015408511894504967,5.3978764175685937e-08
64,48,48,128,green,0.13356161209467693,1.7783183505711806e-15,0.13085208988291944,0.0027095222117574924
64,48,48,128,normal,-0.012040625695794338,5.927053200240287e-15,-0.012047708064989088,7.082369194749694e-06
64,48,48,512,green,0.02715541137745148,9.2806899138368e-12,0.01536885379650488,0.011786557580946601
64,48,48,512,normal,0.0003138749957947119,6.878916353298777e-11,0.00027169215989233757,4.218283590237432e-05
64,95,95,1,green,0.16003645474950012,1.7767615684227703e-15,0.16001013694605795,2.6317803442171828e-05
