x_m,local_time_s,free_panels,newly_exposed,edge_extrapolated,exposure_ratio,equation_residual,history_norm,free_phi_norm,free_eta_norm
2.999997,0.0,128,0,0,0.0,7.35292423746655e-16,1.3658460994425454e-06,0.0,0.0
2.9906220187500003,0.008642103177064533,128,0,0,0.0,4.802755838382199e-16,0.004302247507267671,3.569746218604202e-05,0.000842417180342825
2.9812470375,0.017284206354129476,128,0,0,0.0,4.552710001413676e-16,0.009687159348634952,0.00021507342520462618,0.0033955253414823267
2.97187205625,0.02592630953119442,128,0,0,0.0,4.576249950094111e-16,0.01633637005896166,0.000689648187965844,0.007845406897389148
2.9624970750000004,0.03456841270825895,126,0,0,0.0,4.604717686423749e-16,0.02412224188191901,0.001470806336831706,0.012699901239047334
2.9531220937500002,0.043210515885323895,126,0,0,0.0,4.76913972270134e-16,0.03297433080886214,0.002852606798109949,0.019972633787036093
2.9437471125,0.05185261906238884,126,0,0,0.0,4.754831042028847e-16,0.042855937662019714,0.004919449624219232,0.028954125797704833
2.9343721312500004,0.060494722239453375,124,0,0,0.0,4.958999208688622e-16,0.05375202427311191,0.007293427801537125,0.036793240037134745
2.9249971500000003,0.06913682541651832,124,0,0,0.0,4.642457692486236e-16,0.06566157496345101,0.0108818870123661,0.048176186544616986
2.91562216875,0.07777892859358326,124,0,0,0.0,4.567650325018834e-16,0.07859426126212833,0.015491681697827527,0.06105208217798533
2.9062471875000004,0.08642103177064779,124,0,0,0.0,5.020291627476382e-16,0.09256754738745324,0.02125012607676136,0.0755239327841468
2.8968722062500003,0.09506313494771274,122,0,0,0.0,4.874506842067059e-16,0.10760563250449774,0.026512235899926424,0.08545446072049288
2.887497225,0.10370523812477768,122,0,0,0.0,4.767356517808541e-16,0.12373679069181369,0.03439152218926404,0.10152439126333251
2.87812224375,0.11234734130184262,122,0,0,0.0,4.568384367973752e-16,0.1409936408465133,0.043670615032273305,0.11880087150903165
2.8687472625000003,0.12098944447890715,122,0,0,0.0,4.848830652683862e-16,0.15941196704260663,0.05445402293792565,0.13744804007205172
2.85937228125,0.1296315476559721,120,0,0,0.0,4.217069731815435e-16,0.1790305160035778,0.06289542547349425,0.14799157634923793
2.8499973,0.13827365083303703,120,0,0,0.0,4.1569256732777583e-16,0.1998894782285353,0.0761529829169747,0.1674522785401009
2.8406223187500004,0.14691575401010157,120,0,0,0.0,4.088451944580675e-16,0.22203152628561013,0.09107219596941968,0.18775266399446863
2.8312473375000002,0.15555785718716653,120,0,0,0.0,4.686661511757442e-16,0.24550080932502316,0.10772304505312508,0.20900962139494902
