panel_count,shape_mode,value,source_signed_root_defect,finite_difference_step
80,0,-0.19563922392533104,1.096338672799921e-08,0.00014297037691730905
80,1,-0.6239894256053929,1.096338672799921e-08,4.437634904208028e-05
80,2,-0.5112554050324734,1.096338672799921e-08,5.94211280643857e-05
80,3,-0.6441447382902235,1.096338672799921e-08,4.089756724761595e-05
80,4,-0.511742554500378,1.096338672799921e-08,4.7594057100831616e-05
80,5,-0.4593560068150767,1.096338672799921e-08,4.489386189599189e-05
80,6,-0.3790701884212471,1.096338672799921e-08,4.6866150289920674e-05
80,7,-0.30984946845432043,1.096338672799921e-08,4.5986579910657665e-05
80,8,-0.23954640623568682,1.096338672799921e-08,4.679437059483656e-05
80,9,-0.17066261033292507,1.096338672799921e-08,4.640922422479712e-05
80,10,-0.10563575067682814,1.096338672799921e-08,4.681494679063539e-05
80,11,-0.04069572028691253,1.096338672799921e-08,4.662033638436688e-05
80,12,0.019585983167045195,1.096338672799921e-08,4.6858815436066046e-05
80,13,0.07961799565465054,1.096338672799921e-08,4.675628204482197e-05
80,14,0.13515941629644973,1.096338672799921e-08,4.691805665208281e-05
80,15,0.1901384449027048,1.096338672799921e-08,4.686914157177382e-05
80,16,0.24105241016597562,1.096338672799921e-08,4.699517173397292e-05
80,17,0.29107620766226444,1.096338672799921e-08,4.6984296731784505e-05
80,18,0.3374263592359255,1.096338672799921e-08,4.710591232306376e-05
80,19,0.38237857095024874,1.096338672799921e-08,4.716995157495793e-05
80,20,0.42315124234379403,1.096338672799921e-08,4.741128543121295e-05
80,21,0.46187670043290185,1.096338672799921e-08,4.761343616262444e-05
80,22,0.5018602890916665,1.096338672799921e-08,4.749119788450176e-05
80,23,0.5505325227028852,1.096338672799921e-08,4.660484146251605e-05
80,24,0.6060830828433441,1.096338672799921e-08,4.537699991752896e-05
80,25,0.6623409909636636,1.096338672799921e-08,4.435135692876636e-05
80,26,0.6731791879063683,1.096338672799921e-08,4.6350935732576746e-05
80,27,0.6031921652808209,1.096338672799921e-08,5.390750490279843e-05
80,28,0.7705572880383011,1.096338672799921e-08,4.4020165327539204e-05
80,29,0.8742148633199043,1.096338672799921e-08,4.092133833678746e-05
80,30,0.9554437257164358,1.096338672799921e-08,3.947008483156422e-05
80,31,1.041024626733935,1.096338672799921e-08,3.813788465619382e-05
80,32,1.132881368758475,1.096338672799921e-08,3.685290610780458e-05
80,33,1.2317086396028694,1.096338672799921e-08,3.5608463140459166e-05
80,34,1.3383198865835932,1.096338672799921e-08,3.4402418828184937e-05
80,35,1.453593105039498,1.096338672799921e-08,3.323398279248155e-05
80,36,1.5790429672995376,1.096338672799921e-08,3.210405578772361e-05
80,37,1.717486107994907,1.096338672799921e-08,3.09894407098815e-05
80,38,1.8609729097979486,1.096338672799921e-08,3.040665713694431e-05
80,39,1.7745092362590087,1.096338672799921e-08,2.3581071921357186e-05
