coarse_case,fine_case,interval_index,lower_x_m,upper_x_m,channel,coarse_contribution,fine_contribution,fine_minus_coarse,a53_nondimensional_change
sub8,sub16,0,0.0,0.2332,cumulative_sine_vertical_force_n,-0.21007275330768396,-0.10619700626619188,0.10387574704149208,
sub8,sub16,0,0.0,0.2332,cumulative_sine_pitch_moment_nm,0.05386916190048053,0.018330319634667823,-0.035538842265812706,0.005022449147911273
sub8,sub16,0,0.0,0.2332,cumulative_cosine_vertical_force_n,4.945724712576304,5.027125125899008,0.08140041332270442,
sub8,sub16,0,0.0,0.2332,cumulative_cosine_pitch_moment_nm,-1.7121610183330644,-1.7423901246749183,-0.03022910634185383,
sub8,sub16,1,0.2332,0.4664,cumulative_sine_vertical_force_n,-1.2166666482349255,-0.9208628861244192,0.2958037621105063,
sub8,sub16,1,0.2332,0.4664,cumulative_sine_pitch_moment_nm,0.13085485683071893,0.10350613974632805,-0.027348717084390878,0.003864997621183041
sub8,sub16,1,0.2332,0.4664,cumulative_cosine_vertical_force_n,6.668113588885976,6.5783604269915585,-0.08975316189441784,
sub8,sub16,1,0.2332,0.4664,cumulative_cosine_pitch_moment_nm,-0.7373355729653879,-0.7328896356860279,0.004445937279359935,
sub8,sub16,2,0.4664,0.6996,cumulative_sine_vertical_force_n,0.14219515986720288,-0.8752782317475867,-1.0174733916147896,
sub8,sub16,2,0.4664,0.6996,cumulative_sine_pitch_moment_nm,0.12398059033341682,-0.046780715881213755,-0.1707613062146306,0.02413246808883561
sub8,sub16,2,0.4664,0.6996,cumulative_cosine_vertical_force_n,8.97503577419733,9.15175173748148,0.17671596328414907,
sub8,sub16,2,0.4664,0.6996,cumulative_cosine_pitch_moment_nm,1.0664448043584867,1.1149688648827678,0.048524060524281154,
sub8,sub16,3,0.6996,1.0985454545454545,cumulative_sine_vertical_force_n,12.241246364509067,12.295687940208971,0.054441575699904377,
sub8,sub16,3,0.6996,1.0985454545454545,cumulative_sine_pitch_moment_nm,5.230583148573895,5.296981824685292,0.06639867611139749,-0.009383647665386288
sub8,sub16,3,0.6996,1.0985454545454545,cumulative_cosine_vertical_force_n,9.364276118860904,10.490298094119634,1.1260219752587304,
sub8,sub16,3,0.6996,1.0985454545454545,cumulative_cosine_pitch_moment_nm,3.49170186090136,3.8931670506410185,0.4014651897396586,
sub16,sub32,0,0.0,0.2332,cumulative_sine_vertical_force_n,-0.10619700626619188,0.03470372270997421,0.1409007289761661,
sub16,sub32,0,0.0,0.2332,cumulative_sine_pitch_moment_nm,0.018330319634667823,-0.03190256431307646,-0.050232883947744285,0.007099052447838784
sub16,sub32,0,0.0,0.2332,cumulative_cosine_vertical_force_n,5.027125125899008,5.148788200951024,0.12166307505201601,
sub16,sub32,0,0.0,0.2332,cumulative_cosine_pitch_moment_nm,-1.7423901246749183,-1.784850477392674,-0.042460352717755834,
sub16,sub32,1,0.2332,0.4664,cumulative_sine_vertical_force_n,-0.9208628861244192,-0.6977471130436559,0.22311577308076336,
sub16,sub32,1,0.2332,0.4664,cumulative_sine_pitch_moment_nm,0.10350613974632805,0.08121095242232024,-0.022295187324007815,0.003150818581552478
sub16,sub32,1,0.2332,0.4664,cumulative_cosine_vertical_force_n,6.5783604269915585,6.603753917343685,0.025393490352126236,
sub16,sub32,1,0.2332,0.4664,cumulative_cosine_pitch_moment_nm,-0.7328896356860279,-0.7405290688780124,-0.007639433191984457,
sub16,sub32,2,0.4664,0.6996,cumulative_sine_vertical_force_n,-0.8752782317475867,-1.7368411739488885,-0.8615629422013018,
sub16,sub32,2,0.4664,0.6996,cumulative_sine_pitch_moment_nm,-0.046780715881213755,-0.1941840775068832,-0.14740336162566947,0.020831457661418307
sub16,sub32,2,0.4664,0.6996,cumulative_cosine_vertical_force_n,9.15175173748148,9.588754745826932,0.437003008345453,
sub16,sub32,2,0.4664,0.6996,cumulative_cosine_pitch_moment_nm,1.1149688648827678,1.2020850331330022,0.08711616825023438,
sub16,sub32,3,0.6996,1.0985454545454545,cumulative_sine_vertical_force_n,12.295687940208971,13.12501504000803,0.8293270997990589,
sub16,sub32,3,0.6996,1.0985454545454545,cumulative_sine_pitch_moment_nm,5.296981824685292,5.694064988453219,0.39708316376792663,-0.0561169095661459
sub16,sub32,3,0.6996,1.0985454545454545,cumulative_cosine_vertical_force_n,10.490298094119634,11.941345538844484,1.4510474447248498,
sub16,sub32,3,0.6996,1.0985454545454545,cumulative_cosine_pitch_moment_nm,3.8931670506410185,4.375859365790928,0.48269231514990985,
