outer_panel_index,xi_mid,eta_mid,panel_length,arc_mid,normalized_arc_mid,s_nu,k_contribution,k_fraction,cumulative_k_fraction,s_nu_left,s_nu_right,k_contribution_linear_exact,s_nu_weak_projected_left,s_nu_weak_projected_right,k_contribution_weak_projected
0,4.325455259915577,0.4033469489173197,0.01645383775278553,0.008226918876392765,0.0005226770202334403,0.030306672833222414,1.5112758134230714e-05,0.00674931945396081,0.00674931945396081,0.09761771891714943,-0.0370043732507046,3.996231427308924e-05,0.03423299145562032,0.08976508167235363,6.747496661865769e-05
1,4.334849501076942,0.3881942258288963,0.0193075423629058,0.026107608934238427,0.0016586826062336161,0.08895289903450809,0.0001527732119985687,0.06822812901706679,0.0749774484710276,0.257110557866397,-0.07920475979738129,0.0003347596590326533,0.08976508167235363,0.09343728930922611,0.00016202698295060924
2,4.3482594228459845,0.3722077385775605,0.02251879822589335,0.047020779228638,0.0029873493522346514,0.07188525391174538,0.00011636565856325764,0.05196860798923484,0.12694605646026244,0.2543460815003624,-0.11057557367687254,0.0003662639204837751,0.09343728930922611,0.058678030684395234,0.00013253329440351554
3,4.3660290367199215,0.35566825484455294,0.0261110969434968,0.07133572681333308,0.004532139636622764,0.04562396287201276,5.435144908884789e-05,0.024273219317619592,0.15121927577788202,0.22244223644021055,-0.13119431069618503,0.0003264700028806553,0.058678030684395234,0.0431692255226516,6.823507176931292e-05
4,4.388506293857734,0.33885343949666413,0.03010292805094055,0.09944273931055175,0.006317849421833603,0.039814364434365146,4.771866831928021e-05,0.021311036247905625,0.17253031202578764,0.20348490271647535,-0.1238561738477455,0.00031651819975844097,0.0431692255226516,0.03633951346112528,4.7691977827708515e-05
5,4.4160306348595455,0.321991971234903,0.03451180220458339,0.13175010443831373,0.008370418262037906,0.030484217485053478,3.207138693220019e-05,0.014323000064873446,0.1868533120906611,0.17908163611136363,-0.11811320114125667,0.00028609197330821157,0.03633951346112528,0.0277449772940024,3.564589430088286e-05
6,4.448911722891351,0.30522882753228914,0.03935173216955451,0.16868187162538267,0.010716787092862726,0.02543340573486974,2.5454987776205923e-05,0.011368132982234522,0.19822144507289563,0.15751556839273206,-0.10664875692299214,0.00025429446214336363,0.0277449772940024,0.022240760874104995,2.4680155225235498e-05
7,4.487486585020413,0.288684563932306,0.04463314723473428,0.21067431132752706,0.013384673282774075,0.01974644664008296,1.740345295016699e-05,0.007772337949126642,0.2059937830220223,0.13627155002430769,-0.09677865674414088,0.00021941456092111004,0.022240760874104995,0.01842164388892019,1.8503709419677603e-05
8,4.532109384376168,0.27245749532211583,0.05036279294389399,0.2581722814168412,0.0164023397805754,0.01789284478160158,1.6123844292765043e-05,0.007200867968058275,0.21319465099008056,0.12020927459986508,-0.08442358503666259,0.00019186735880836797,0.01842164388892019,0.016020959158435388,1.4960443918830153e-05
9,4.583150327711536,0.2566257991189669,0.05654297804570277,0.31162516691163955,0.01979833715615067,0.01457779692497807,1.2016070577465152e-05,0.005366346644889246,0.2185609976349698,0.10433321315141164,-0.07517761930145528,0.0001638534690945359,0.016020959158435388,0.013177286232641427,1.208935555073216e-05
