component,sigma,omega_rad_s,coefficient,value_dimensional,value_nondimensional,harmonic_fit_residual_nrmse,restoring_subtraction,response_calibration_used
raw_bem,1.4,7.774541989381373,A33,-100.89539120441067,-3.1375450379374406,0.009645985136406585,zero_diagnostic_only,False
raw_bem,1.4,7.774541989381373,A53,11.209420400230135,1.096161835505344,0.03703984011204401,zero_diagnostic_only,False
raw_bem,1.4,7.774541989381373,B33,595.8710299519115,3.3367535690289962,0.009645985136406585,zero_diagnostic_only,False
raw_bem,1.4,7.774541989381373,B53,-46.245122437951544,-0.8143492033979214,0.03703984011204401,zero_diagnostic_only,False
pre_chine_bem,1.4,7.774541989381373,A33,-20.868620600008875,-0.6489517135575028,0.029914832042140176,zero_diagnostic_only,False
pre_chine_bem,1.4,7.774541989381373,A53,-9.708146825492056,-0.9493532817600695,0.036245197927023944,zero_diagnostic_only,False
pre_chine_bem,1.4,7.774541989381373,B33,103.07867991142761,0.5772191225893482,0.029914832042140176,zero_diagnostic_only,False
pre_chine_bem,1.4,7.774541989381373,B53,37.53868101404899,0.6610339289600888,0.036245197927023944,zero_diagnostic_only,False
post_chine_bem,1.4,7.774541989381373,A33,-80.02677060440182,-2.4885933243799387,0.008815801416735046,zero_diagnostic_only,False
post_chine_bem,1.4,7.774541989381373,A53,20.901086932861737,2.043903520284787,0.01319772469068477,zero_diagnostic_only,False
post_chine_bem,1.4,7.774541989381373,B33,492.7923500404835,2.7595344464396456,0.008815801416735046,zero_diagnostic_only,False
post_chine_bem,1.4,7.774541989381373,B53,-83.50332206498318,-1.4704440213330154,0.01319772469068477,zero_diagnostic_only,False
bem,1.4,7.774541989381373,A33,-100.89539120441067,-3.1375450379374406,0.009645985136406585,zero_diagnostic_only,False
bem,1.4,7.774541989381373,A53,11.209420400230135,1.096161835505344,0.03703984011204401,zero_diagnostic_only,False
bem,1.4,7.774541989381373,B33,595.8710299519115,3.3367535690289962,0.009645985136406585,zero_diagnostic_only,False
bem,1.4,7.774541989381373,B53,-46.245122437951544,-0.8143492033979214,0.03703984011204401,zero_diagnostic_only,False
front,1.4,7.774541989381373,A33,0.06886407478503342,0.0021414668554700957,0.1607375661987112,zero_diagnostic_only,False
front,1.4,7.774541989381373,A53,-0.8524255626830192,-0.08335813414608932,0.15094861803958434,zero_diagnostic_only,False
front,1.4,7.774541989381373,B33,31.80997052275756,0.17812920470573038,0.1607375661987112,zero_diagnostic_only,False
front,1.4,7.774541989381373,B53,19.354554914482858,0.3408222434242213,0.15094861803958434,zero_diagnostic_only,False
transom,1.4,7.774541989381373,A33,-0.0,-0.0,0.0,zero_diagnostic_only,False
transom,1.4,7.774541989381373,A53,-0.0,-0.0,0.0,zero_diagnostic_only,False
transom,1.4,7.774541989381373,B33,0.0,0.0,0.0,zero_diagnostic_only,False
transom,1.4,7.774541989381373,B53,0.0,0.0,0.0,zero_diagnostic_only,False
total,1.4,7.774541989381373,A33,-100.82652712962566,-3.135403571081971,0.009198942628030766,zero_diagnostic_only,False
total,1.4,7.774541989381373,A53,10.356994837547115,1.0128037013592546,0.04006518721476324,zero_diagnostic_only,False
total,1.4,7.774541989381373,B33,627.6810004746693,3.514882773734728,0.009198942628030766,zero_diagnostic_only,False
total,1.4,7.774541989381373,B53,-26.890567523468697,-0.4735269599737003,0.04006518721476324,zero_diagnostic_only,False
