node,y_over_Vt,material_dphi_dt_over_V2,similarity_material_dphi_dt_over_V2,auxiliary_psi_over_V2,difference_over_V2,cp_from_auxiliary,cp_from_finite_difference,cp_from_similarity_derivative
79,0.29281748879719305,6.441416830129359,-3.0711765048370205,-21.95523433640344,-28.3966511665328,44.87129645686481,-11.922005876200789,7.103180793731971
80,0.5856349775943861,6.531719178850342,-3.12974981258701,-22.30189362841517,-28.83361280726551,45.49519702568109,-12.172028588849939,7.150909394024767
81,0.8784524663915791,6.664690949072738,-3.21340054299658,-22.8153344088946,-29.48002535796734,46.43900074923946,-12.521049966695218,7.2351330174434185
82,1.1712699551887722,6.8393291928833255,-3.325745166176494,-23.50074604246069,-30.340075235344017,47.708909644403114,-12.971240826284916,7.358907891834722
83,1.4640874439859652,7.058778617119482,-3.472117455932283,-24.3807382025978,-31.439516819717284,49.34532904625817,-13.533704593176397,7.528087552927133
84,1.7569049327831583,7.328630557338678,-3.661595978110472,-25.49511451088668,-32.82374506822536,51.41979677178032,-14.227693364670394,7.752759706227906
85,2.0497224215803516,7.656597658946107,-3.90901036218351,-26.906701942365228,-34.563299601311336,54.044509279408885,-15.08208992321379,8.049126119045447
86,2.3425399103775444,8.051812144164186,-4.239157050186055,-28.713948642461194,-36.76576078662538,57.39288975801568,-16.138631815235083,8.4433065734654
87,2.635357399174737,8.52198034621869,-4.695921339654244,-31.07583914478891,-39.5978194910076,61.738728925858105,-17.456910056157103,8.978893315588763
88,2.9281748879719305,9.062583531746368,-5.363917953962144,-34.26348658842024,-43.32607012016661,67.53162118243056,-19.120519057902666,9.732483913514356
89,3.2209923767691238,9.615425015713539,-6.427139454457468,-38.77706145654136,-48.3924864722549,75.54580898832313,-21.239163956186673,10.84596498415534
90,3.5138098655663166,9.892126840355667,-8.358775892722798,-45.64586214062063,-55.537988980976294,87.15186369900165,-23.924114262950948,12.577691203205983
91,3.80662735436351,8.47682804389041,-12.682524856379395,-57.32980807329802,-65.80663611718843,104.36608356054808,-27.24718867382878,15.071517126710832
92,4.099444843160703,-1.7775576118907037,-24.68704465260116,-80.81280858588754,-79.03525097399684,124.60394667854048,-33.46655526945319,12.352418811967716
