case,component,sum,count
fn167,A33,8,8
fn167,A35,8,8
fn167,A53,0,8
fn167,A55,8,8
fn167,B33,0,8
fn167,B35,6,8
fn167,B53,8,8
fn167,B55,2,8
fn167,F3,7,8
fn167,F5,8,8
fn226,A33,8,8
fn226,A35,4,8
fn226,A53,8,8
fn226,A55,8,8
fn226,B33,6,8
fn226,B35,6,8
fn226,B53,6,8
fn226,B55,5,8
fn226,F3,8,8
fn226,F5,7,8
fn282,A33,8,8
fn282,A35,8,8
fn282,A53,1,8
fn282,A55,8,8
fn282,B33,0,8
fn282,B35,8,8
fn282,B53,8,8
fn282,B55,5,8
fn282,F3,8,8
fn282,F5,2,8
