level_mid,case,omega,component,real_mid,imag_mid,level_fine,real_fine,imag_fine,absolute_change,tolerance,passed
1,fn167,16.734,A33,0.20812754050546417,0.0,2,0.20240484264899508,0.0,0.005722697856469089,0.010120242132449754,True
1,fn167,16.734,A35,0.00951039937684958,0.0,2,0.008566256350526389,0.0,0.0009441430263231916,0.001,True
1,fn167,16.734,A53,0.017639016967105087,0.0,2,0.016156652415980993,0.0,0.0014823645511240942,0.001,False
1,fn167,16.734,A55,0.013047017395069124,0.0,2,0.012866442324612284,0.0,0.00018057507045684054,0.001,True
1,fn167,16.734,B33,0.2419919457209159,0.0,2,0.2927168923837425,0.0,0.05072494666282659,0.014635844619187125,False
1,fn167,16.734,B35,-0.1549091291659119,0.0,2,-0.14486883285334556,0.0,0.010040296312566338,0.0072434416426672785,False
1,fn167,16.734,B53,0.18179866992562013,0.0,2,0.1742717407548717,0.0,0.007526929170748431,0.008713587037743586,True
1,fn167,16.734,B55,0.0052302092014461544,0.0,2,0.005738206284695384,0.0,0.0005079970832492292,0.001,True
1,fn167,16.734,F3,0.09645046672440152,-0.3382255609503408,2,0.07219270751222483,-0.3348846966605807,0.024486736332115344,0.017128889855693715,False
1,fn167,16.734,F5,0.13538635916536318,0.010477986968602186,2,0.13763612933876446,0.008663228036095528,0.0028904698262114275,0.00689542522607607,True
1,fn167,13.7884,A33,0.21402038099074058,0.0,2,0.21058736730013622,0.0,0.003433013690604364,0.010529368365006812,True
1,fn167,13.7884,A35,0.012451171334573985,0.0,2,0.012161357961879421,0.0,0.0002898133726945643,0.001,True
1,fn167,13.7884,A53,0.014760668273251615,0.0,2,0.012816848126971415,0.0,0.0019438201462802004,0.001,False
1,fn167,13.7884,A55,0.013919544284868482,0.0,2,0.013680292437105689,0.0,0.00023925184776279335,0.001,True
1,fn167,13.7884,B33,0.37086818992137055,0.0,2,0.4196787946919201,0.0,0.04881060477054955,0.020983939734596006,False
1,fn167,13.7884,B35,-0.11717253934274628,0.0,2,-0.10963211322902951,0.0,0.007540426113716775,0.005481605661451476,False
1,fn167,13.7884,B53,0.16444183173803573,0.0,2,0.1569546084680902,0.0,0.0074872232699455255,0.00784773042340451,True
1,fn167,13.7884,B55,0.0006778964312469317,0.0,2,0.0013874456110773553,0.0,0.0007095491798304236,0.001,True
1,fn167,13.7884,F3,0.08762593239238528,-0.4928901493268219,2,0.06491266003902625,-0.4935097371500372,0.022721721547201045,0.02488802493646498,True
1,fn167,13.7884,F5,0.12865868777678316,-0.019980400031937167,2,0.1309247664349144,-0.019984343891451015,0.0022660820900545033,0.006622059435479394,True
1,fn167,11.104800000000001,A33,0.23647344830257946,0.0,2,0.23557332228304753,0.0,0.0009001260195319327,0.011778666114152377,True
1,fn167,11.104800000000001,A35,0.021847576763370426,0.0,2,0.022113475311127655,0.0,0.000265898547757229,0.0011056737655563828,True
1,fn167,11.104800000000001,A53,0.008101020524832981,0.0,2,0.0055419017212504805,0.0,0.002559118803582501,0.001,False
1,fn167,11.104800000000001,A55,0.014720859060029361,0.0,2,0.014430156388513795,0.0,0.0002907026715155657,0.001,True
1,fn167,11.104800000000001,B33,0.4215300024221775,0.0,2,0.46188074838881693,0.0,0.040350745966639456,0.023094037419440848,False
1,fn167,11.104800000000001,B35,-0.10619725667251681,0.0,2,-0.10214388362127713,0.0,0.004053373051239678,0.005107194181063857,True
1,fn167,11.104800000000001,B53,0.16490665086811482,0.0,2,0.15896429088321523,0.0,0.005942359984899587,0.007948214544160762,True
1,fn167,11.104800000000001,B55,0.002124466160359775,0.0,2,0.003239935171574607,0.0,0.001115469011214832,0.001,False
1,fn167,11.104800000000001,F3,0.053784510246975156,-0.6037727029025771,2,0.034637539738405436,-0.6076162581723418,0.019528937420345588,0.03043013622851891,True
1,fn167,11.104800000000001,F5,0.10681492559883675,-0.04386326129405791,2,0.10890572150732171,-0.04258781491180174,0.0024491204553773595,0.005846832081561818,True
1,fn167,9.86,A33,0.2525905882304967,0.0,2,0.252913703587898,0.0,0.0003231153574013157,0.0126456851793949,True
1,fn167,9.86,A35,0.028533993265620235,0.0,2,0.029019138360603457,0.0,0.000485145094983222,0.001450956918030173,True
1,fn167,9.86,A53,0.003688620572058371,0.0,2,0.0007937385996256624,0.0,0.0028948819724327083,0.001,False
1,fn167,9.86,A55,0.015583812852408386,0.0,2,0.015279344137587773,0.0,0.00030446871482061287,0.001,True
1,fn167,9.86,B33,0.4101760575407816,0.0,2,0.44505840436318655,0.0,0.03488234682240493,0.02225292021815933,False
1,fn167,9.86,B35,-0.11429935691345121,0.0,2,-0.11194353092461623,0.0,0.002355825988834978,0.005597176546230812,True
1,fn167,9.86,B53,0.17323794364229284,0.0,2,0.1684935304652578,0.0,0.004744413177035028,0.00842467652326289,True
