eta,xi,pressure_coefficient,potential,normal_derivative,segment
-0.9882767249521865,0.0470194880403666,7.965733968920063,-3.498713236141424,-0.9702957262759965,body
-0.9648301748565598,0.14105846412109954,7.987522446007321,-3.521731452335224,-0.9702957262759965,body
-0.9413836247609331,0.23509744020183249,7.998958517579056,-3.536343829562256,-0.9702957262759965,body
-0.9179370746653062,0.3291364162825657,8.011877728876293,-3.546174603308346,-0.9702957262759965,body
-0.8944905245696794,0.4231753923632986,8.027300983473781,-3.5521175293800473,-0.9702957262759965,body
-0.8710439744740526,0.5172143684440316,8.045577062997433,-3.554605527012333,-0.9702957262759965,body
-0.8475974243784257,0.6112533445247648,8.066901530523635,-3.553887876767063,-0.9702957262759965,body
-0.824150874282799,0.7052923206054977,8.091421211521464,-3.5501207195928046,-0.9702957262759965,body
-0.8007043241871722,0.7993312966862306,8.119267342632652,-3.5434058156352997,-0.9702957262759965,body
-0.7772577740915453,0.8933702727669639,8.150570133324589,-3.5338097872347456,-0.9702957262759965,body
-0.7538112239959185,0.9874092488476969,8.185466999049165,-3.521374604398112,-0.9702957262759965,body
-0.7303646739002917,1.0814482249284296,8.224108174710857,-3.5061236609936515,-0.9702957262759965,body
-0.7069181238046649,1.175487201009163,8.266661115750129,-3.488065434595243,-0.9702957262759965,body
-0.683471573709038,1.269526177089896,8.31331435367267,-3.4671957275988836,-0.9702957262759965,body
-0.6600250236134113,1.363565153170629,8.364281195516968,-3.4434990216685186,-0.9702957262759965,body
-0.6365784735177844,1.457604129251362,8.419803539093818,-3.4169492421130014,-0.9702957262759965,body
-0.6131319234221577,1.551643105332095,8.48015602354503,-3.387510101848722,-0.9702957262759965,body
-0.5896853733265309,1.645682081412828,8.545650715789227,-3.3551351220842216,-0.9702957262759965,body
-0.566238823230904,1.739721057493561,8.616642535785697,-3.3197673828806025,-0.9702957262759965,body
-0.5427922731352772,1.833760033574294,8.693535643585218,-3.281339028080186,-0.9702957262759965,body
-0.5193457230396504,1.9277990096550268,8.776791048052091,-3.2397705285846845,-0.9702957262759965,body
-0.4958991729440236,2.0218379857357602,8.866935753065132,-3.194969691425431,-0.9702957262759965,body
-0.47245262284839684,2.115876961816493,8.964573835904721,-3.146830386804928,-0.9702957262759965,body
-0.44900607275277005,2.209915937897226,9.070399960870663,-3.0952309492870542,-0.9702957262759965,body
-0.42555952265714325,2.303954913977959,9.185215978866376,-3.0400321907486187,-0.9702957262759965,body
-0.4021129725615164,2.397993890058692,9.309951464897933,-2.9810749395823466,-0.9702957262759965,body
-0.37866642246588955,2.492032866139425,9.44568932121081,-2.9181769904402106,-0.9702957262759965,body
-0.3552198723702628,2.586071842220158,9.593697954344611,-2.8511293080413704,-0.9702957262759965,body
-0.33177332227463596,2.680110818300891,9.755472064184998,-2.7796912721595257,-0.9702957262759965,body
-0.3083267721790091,2.7741497943816245,9.932784827486845,-2.703584671168628,-0.9702957262759965,body
-0.2848802220833824,2.868188770462357,10.127755313709176,-2.6224860365291116,-0.9702957262759965,body
-0.2614336719877555,2.9622277465430904,10.342936478896213,-2.5360167413316033,-0.9702957262759965,body
-0.23798712189212867,3.056266722623824,10.581431250886816,-2.443730031419279,-0.9702957262759965,body
-0.214540571796502,3.150305698704556,10.847047337658712,-2.345093765538955,-0.9702957262759965,body
-0.19109402170087514,3.2443446747852893,11.144505842418825,-2.2394670212501038,-0.9702957262759965,body
-0.1676474716052483,3.3383836508660227,11.479724949381632,-2.126067714787813,-0.9702957262759965,body
-0.1442009215096215,3.4324226269467557,11.860207890852315,-2.003926686875139,-0.9702957262759965,body
-0.1207543714139947,3.5264616030274887,12.295572404723421,-1.871820744860778,-0.9702957262759965,body
-0.0973078213183679,3.6205005791082217,12.798258587410869,-1.728171753607306,-0.9702957262759965,body
-0.07386127122274105,3.7145395551889546,13.384411200735162,-1.5708885292460986,-0.9702957262759965,body
-0.05041472112711426,3.8085785312696876,14.074731476257966,-1.3971073196517816,-0.9702957262759965,body
-0.026968171031487465,3.9026175073504206,14.894274302729825,-1.2027412053774362,-0.9702957262759965,body
-0.00352162093586067,3.9966564834311535,15.866842588326367,-0.9816426460862318,-0.9702957262759965,body
0.01992492915976618,4.0906954595118865,16.98518354632361,-0.7239167752494113,-0.9702957262759965,body
0.043371479255392975,4.18473443559262,18.0688816302205,-0.4122379571155331,-0.9702957262759965,body
0.06681802935101977,4.2787734116733525,18.08957414175576,-0.013894387208244333,-0.9702957262759965,body
0.09026457944664656,4.372812387754086,13.29734677236494,0.5249706672244504,-0.9702957262759965,body
0.11371112954227336,4.466851363834818,3.9257547671820845,1.227578834700087,-0.9702957262759965,body
0.1273918028890771,4.521721547652111,0.882874631189793,1.6858700375465454,-0.9702957262759965,shallow_jet_body
0.1313065994870575,4.537422939205962,0.5561664625744527,1.822840190512121,-0.9702957262759965,shallow_jet_body
0.13522139608503791,4.553124330759813,0.3413494522343541,1.960351959267866,-0.9702957262759965,shallow_jet_body
0.13913619268301833,4.5688257223136635,0.2029108424783317,2.0982159426053197,-0.9702957262759965,shallow_jet_body
0.14305098928099874,4.584527113867514,0.1150749388280019,2.236305393373647,-0.9702957262759965,shallow_jet_body
0.14696578587897924,4.600228505421366,0.06042994454571726,2.3745369644406553,-0.9702957262759965,shallow_jet_body
0.1508805824769597,4.615929896975216,0.027241642184336,2.51285633331849,-0.9702957262759965,shallow_jet_body
0.15479537907494012,4.631631288529068,0.0076803844623611894,2.651228580490427,-0.9702957262759965,shallow_jet_body
0.15871017567292056,4.647332680082918,-0.0033745954922466126,2.7896316199704474,-0.9702957262759965,shallow_jet_body
0.16262497227090097,4.663034071636769,-0.009212334259700583,2.9280517101567716,-0.9702957262759965,shallow_jet_body
0.16653976886888142,4.67873546319062,-0.011915451432400914,3.0664804531421916,-0.9702957262759965,shallow_jet_body
