sigma,coefficient,component,value_nondimensional,fraction_of_calculated_total,calculated_total_nondimensional,source_raw_target_nondimensional,raw_target_minus_calculated
1.4,A33,bem,-0.5397998436947664,-0.6003373973360111,0.899160782070417,1.00621118,0.10705039792958293
1.4,A35,bem,1.7151269419971265,19.002393428795504,0.09025846919883726,0.645962733,0.5557042638011627
1.4,A53,bem,-0.7669128152982262,3.3656677895383464,-0.2278634919590267,-0.208074534,0.019788957959026687
1.4,A55,bem,-0.7233340545468825,3.733263339048982,-0.19375382576980113,0.614906832,0.8086606577698011
1.4,B33,bem,1.9743131429063943,0.9010813404907049,2.1910487479756666,2.57342657,0.38237782202433346
1.4,B35,bem,-4.270667743233284,1.0732049938876276,-3.979358806152233,-3.50582751,0.4735312961522329
1.4,B53,bem,0.3352088157610473,0.4417056938889705,0.7588962976902606,1.68764569,0.9287493923097395
1.4,B55,bem,2.6136096104767885,0.8196419065729574,3.1887213056304944,4.05594406,0.8672227543695055
1.4,A33,front,-0.2183532934385342,-0.24284121126340902,0.899160782070417,1.00621118,0.10705039792958293
1.4,A35,front,-0.16060655178388272,-1.7794069986947187,0.09025846919883726,0.645962733,0.5557042638011627
1.4,A53,front,-0.5312508269222036,2.3314433670564942,-0.2278634919590267,-0.208074534,0.019788957959026687
1.4,A55,front,-0.4861779414966146,2.509255956959748,-0.19375382576980113,0.614906832,0.8086606577698011
1.4,B33,front,0.21673560506927275,0.0989186595092953,2.1910487479756666,2.57342657,0.38237782202433346
1.4,B35,front,0.2913089370810493,-0.0732049938876271,-3.979358806152233,-3.50582751,0.4735312961522329
1.4,B53,front,0.4236874819292131,0.5582943061110291,0.7588962976902606,1.68764569,0.9287493923097395
1.4,B55,front,0.5751116951537079,0.1803580934270432,3.1887213056304944,4.05594406,0.8672227543695055
1.4,A33,longitudinal_bin_aft_post_chine,0.022613915322362083,0.025150024081667624,0.899160782070417,1.00621118,0.10705039792958293
1.4,A35,longitudinal_bin_aft_post_chine,0.4471042462127002,4.953598816613432,0.09025846919883726,0.645962733,0.5557042638011627
1.4,A53,longitudinal_bin_aft_post_chine,-0.0210024158682758,0.0921710436705339,-0.2278634919590267,-0.208074534,0.019788957959026687
1.4,A55,longitudinal_bin_aft_post_chine,-0.4907891748334836,2.5330554010148427,-0.19375382576980113,0.614906832,0.8086606577698011
1.4,B33,longitudinal_bin_aft_post_chine,0.3402301649192957,0.15528187824832193,2.1910487479756666,2.57342657,0.38237782202433346
1.4,B35,longitudinal_bin_aft_post_chine,-1.9333845174202442,0.48585327727451005,-3.979358806152233,-3.50582751,0.4735312961522329
1.4,B53,longitudinal_bin_aft_post_chine,-0.36860924755965624,-0.4857175462333091,0.7588962976902606,1.68764569,0.9287493923097395
1.4,B55,longitudinal_bin_aft_post_chine,2.161124496064961,0.6777401625689109,3.1887213056304944,4.05594406,0.8672227543695055
1.4,A33,longitudinal_bin_forward_post_chine,-0.11038077019753491,-0.12275976932998678,0.899160782070417,1.00621118,0.10705039792958293
1.4,A35,longitudinal_bin_forward_post_chine,0.7109637995342973,7.876976042747423,0.09025846919883726,0.645962733,0.5557042638011627
1.4,A53,longitudinal_bin_forward_post_chine,-0.054363949035884346,0.2385812161856091,-0.2278634919590267,-0.208074534,0.019788957959026687
1.4,A55,longitudinal_bin_forward_post_chine,0.24497449984762473,-1.2643595494144144,-0.19375382576980113,0.614906832,0.8086606577698011
1.4,B33,longitudinal_bin_forward_post_chine,0.5878847535517032,0.26831203737244835,2.1910487479756666,2.57342657,0.38237782202433346
