benchmark,source_row,hull,speed_case,omega_e_sqrt_l_over_g,coefficient,reference_value,endpoint_label,station_index,x_m,x_over_l,trapz_weight_m,is_configured_end_station,configured_end_station_index,configured_end_station_x_over_l,end_term_lever_arm_m,station_pitch_moment_lever_arm_m,end_lever_minus_station_moment_lever_m,endpoint_total_pressure_integral_value,endpoint_time_integral_value,endpoint_forward_gradient_integral_value,endpoint_stokes_body_forward_integral_value,endpoint_total_density_integral_value,end_term_component_value,end_to_endpoint_forward_ratio,end_to_endpoint_pressure_ratio,endpoint_forward_plus_end_value,endpoint_pressure_plus_end_value,endpoint_forward_minus_end_value,abs_endpoint_forward_plus_end_value,abs_endpoint_pressure_plus_end_value,gate_role
ma2005_wigley_iii_coefficients,3,wigley_iii,Fn0.4,2.5,B35,0.13,aft_active_station,0,0.075,0.024999999999999998,0.0375,True,0,0.024999999999999998,1.425,1.425,0.0,0.7331313571389768,0.007517602623612516,0.7256137545153643,-0.0,0.7331313571389768,0.5830384314974552,0.8035107216054155,0.7952714419046883,1.3086521860128193,1.316169788636432,0.1425753230179091,1.3086521860128193,1.316169788636432,diagnostic_eq30_eq32_endpoint_closure_not_hard_gate
ma2005_wigley_iii_coefficients,3,wigley_iii,Fn0.4,2.5,B35,0.13,bow_active_station,38,2.925,0.975,0.03749999999999987,False,0,0.024999999999999998,1.425,-1.4249999999999998,2.8499999999999996,0.0599413402531343,0.0006825901229813731,0.05925875013015293,-0.0,0.059941340253134294,0.5830384314974552,9.838858062596646,9.726816735082402,0.6422971816276081,0.6429797717505894,-0.5237796813673022,0.6422971816276081,0.6429797717505894,diagnostic_eq30_eq32_endpoint_closure_not_hard_gate
ma2005_wigley_iii_coefficients,4,wigley_iii,Fn0.4,2.0,A53,0.15,configured_end_station,0,0.075,0.024999999999999998,0.0375,True,0,0.024999999999999998,1.425,1.425,0.0,0.00892715311553985,0.00892715311553985,0.0,0.0,0.00892715311553985,0.0,,0.0,0.0,0.00892715311553985,0.0,0.0,0.00892715311553985,diagnostic_eq30_eq32_endpoint_closure_not_hard_gate
ma2005_wigley_iii_coefficients,4,wigley_iii,Fn0.4,2.0,A53,0.15,aft_active_station,0,0.075,0.024999999999999998,0.0375,True,0,0.024999999999999998,1.425,1.425,0.0,0.00892715311553985,0.00892715311553985,0.0,0.0,0.00892715311553985,0.0,,0.0,0.0,0.00892715311553985,0.0,0.0,0.00892715311553985,diagnostic_eq30_eq32_endpoint_closure_not_hard_gate
ma2005_wigley_iii_coefficients,4,wigley_iii,Fn0.4,2.0,A53,0.15,bow_active_station,38,2.925,0.975,0.03749999999999987,False,0,0.024999999999999998,1.425,-1.4249999999999998,2.8499999999999996,-0.0008105757710403803,-0.0008105757710403803,0.0,0.0,-0.0008105757710403803,0.0,,-0.0,0.0,-0.0008105757710403803,0.0,0.0,0.0008105757710403803,diagnostic_eq30_eq32_endpoint_closure_not_hard_gate
ma2005_wigley_iii_coefficients,5,wigley_iii,Fn0.4,2.0,B53,-0.1,configured_end_station,0,0.075,0.024999999999999998,0.0375,True,0,0.024999999999999998,1.425,1.425,0.0,0.6043349898665155,-0.0,0.6043349898665155,-0.007517602623612506,0.6043349898665155,0.2856688996972753,0.4726995863012556,0.4726995863012556,0.8900038895637907,0.8900038895637907,0.31866609016924013,0.8900038895637907,0.8900038895637907,diagnostic_eq30_eq32_endpoint_closure_not_hard_gate
ma2005_wigley_iii_coefficients,5,wigley_iii,Fn0.4,2.0,B53,-0.1,aft_active_station,0,0.075,0.024999999999999998,0.0375,True,0,0.024999999999999998,1.425,1.425,0.0,0.6043349898665155,-0.0,0.6043349898665155,-0.007517602623612506,0.6043349898665155,0.2856688996972753,0.4726995863012556,0.4726995863012556,0.8900038895637907,0.8900038895637907,0.31866609016924013,0.8900038895637907,0.8900038895637907,diagnostic_eq30_eq32_endpoint_closure_not_hard_gate
ma2005_wigley_iii_coefficients,5,wigley_iii,Fn0.4,2.0,B53,-0.1,bow_active_station,38,2.925,0.975,0.03749999999999987,False,0,0.024999999999999998,1.425,-1.4249999999999998,2.8499999999999996,0.06256954940693538,-0.0,0.06256954940693538,-0.000682590122981373,0.06256954940693538,0.2856688996972753,4.565621814524543,4.565621814524543,0.3482384491042107,0.3482384491042107,-0.22309935029033995,0.3482384491042107,0.3482384491042107,diagnostic_eq30_eq32_endpoint_closure_not_hard_gate
ma2005_wigley_iii_coefficients,6,wigley_iii,Fn0.4,1.0,A55,0.063,configured_end_station,0,0.075,0.024999999999999998,0.0375,True,0,0.024999999999999998,1.425,1.425,0.0,-0.23307951922906597,0.008654476717540353,-0.24173399594660633,0.003007041049445007,-0.23307951922906597,-0.11426755987891021,0.47269958630125564,0.49025139684885954,-0.3560015558255165,-0.3473470791079762,-0.12746643606769612,0.3560015558255165,0.3473470791079762,diagnostic_eq30_eq32_endpoint_closure_not_hard_gate
ma2005_wigley_iii_coefficients,6,wigley_iii,Fn0.4,1.0,A55,0.063,aft_active_station,0,0.075,0.024999999999999998,0.0375,True,0,0.024999999999999998,1.425,1.425,0.0,-0.23307951922906597,0.008654476717540353,-0.24173399594660633,0.003007041049445007,-0.23307951922906597,-0.11426755987891021,0.47269958630125564,0.49025139684885954,-0.3560015558255165,-0.3473470791079762,-0.12746643606769612,0.3560015558255165,0.3473470791079762,diagnostic_eq30_eq32_endpoint_closure_not_hard_gate
ma2005_wigley_iii_coefficients,6,wigley_iii,Fn0.4,1.0,A55,0.063,bow_active_station,38,2.925,0.975,0.03749999999999987,False,0,0.024999999999999998,1.425,-1.4249999999999998,2.8499999999999996,-0.024642796271529963,0.0003850234912441805,-0.025027819762774142,0.0002730360491925493,-0.024642796271529963,-0.11426755987891021,4.5656218145245475,4.636955912788376,-0.13929537964168437,-0.13891035615044017,0.08923974011613607,0.13929537964168437,0.13891035615044017,diagnostic_eq30_eq32_endpoint_closure_not_hard_gate
ma2005_wigley_iii_coefficients,7,wigley_iii,Fn0.4,1.0,B55,0.09,configured_end_station,0,0.075,0.024999999999999998,0.0375,True,0,0.024999999999999998,1.425,1.425,0.0,0.3482373946410141,0.0035708612462159437,0.3446665333947982,-0.00728798039371819,0.3482373946410141,0.2769432549612913,0.8035107216054154,0.7952714419046883,0.6216097883560895,0.6251806496023053,0.0677232784335069,0.6216097883560895,0.6251806496023053,diagnostic_eq30_eq32_endpoint_closure_not_hard_gate
ma2005_wigley_iii_coefficients,7,wigley_iii,Fn0.4,1.0,B55,0.09,aft_active_station,0,0.075,0.024999999999999998,0.0375,True,0,0.024999999999999998,1.425,1.425,0.0,0.3482373946410141,0.0035708612462159437,0.3446665333947982,-0.00728798039371819,0.3482373946410141,0.2769432549612913,0.8035107216054154,0.7952714419046883,0.6216097883560895,0.6251806496023053,0.0677232784335069,0.6216097883560895,0.6251806496023053,diagnostic_eq30_eq32_endpoint_closure_not_hard_gate
ma2005_wigley_iii_coefficients,7,wigley_iii,Fn0.4,1.0,B55,0.09,bow_active_station,38,2.925,0.975,0.03749999999999987,False,0,0.024999999999999998,1.425,-1.4249999999999998,2.8499999999999996,-0.028472136620238786,-0.0003242303084161521,-0.028147906311822634,0.0003242303084161521,-0.02847213662023878,0.2769432549612913,-9.838858062596652,-9.726816735082409,0.24879534864946867,0.2484711183410525,-0.3050911612731139,0.24879534864946867,0.2484711183410525,diagnostic_eq30_eq32_endpoint_closure_not_hard_gate
