component,sigma,omega_rad_s,coefficient,value_dimensional,value_nondimensional,harmonic_fit_residual_nrmse,restoring_subtraction,response_calibration_used
raw_bem,1.4,7.774541989381373,A33,-8.840130158565511,-0.27490162020914827,0.05211825158260089,zero_diagnostic_only,False
raw_bem,1.4,7.774541989381373,A53,-2.4697101239174257,-0.24151132582589868,0.1160306225559722,zero_diagnostic_only,False
raw_bem,1.4,7.774541989381373,B33,103.61581005163248,0.5802269394192858,0.05211825158260089,zero_diagnostic_only,False
raw_bem,1.4,7.774541989381373,B53,-5.540771242419292,-0.09756969837258644,0.1160306225559722,zero_diagnostic_only,False
pre_chine_bem,1.4,7.774541989381373,A33,-6.864087259979842,-0.2134525934776086,0.0856100286795855,zero_diagnostic_only,False
pre_chine_bem,1.4,7.774541989381373,A53,-2.9806513556792256,-0.2914759322413987,0.09652309457792138,zero_diagnostic_only,False
pre_chine_bem,1.4,7.774541989381373,B33,18.005601875989665,0.10082761755857195,0.0856100286795855,zero_diagnostic_only,False
pre_chine_bem,1.4,7.774541989381373,B53,6.113809780882372,0.10766056747861684,0.09652309457792138,zero_diagnostic_only,False
post_chine_bem,1.4,7.774541989381373,A33,-1.9760428985856642,-0.06144902673153951,0.032701013945357474,zero_diagnostic_only,False
post_chine_bem,1.4,7.774541989381373,A53,0.5082716086878868,0.04970354573400863,0.09238812486794301,zero_diagnostic_only,False
post_chine_bem,1.4,7.774541989381373,B33,85.61020817564278,0.47939932186071366,0.032701013945357474,zero_diagnostic_only,False
post_chine_bem,1.4,7.774541989381373,B53,-11.601081529160169,-0.20428817146071326,0.09238812486794301,zero_diagnostic_only,False
bem,1.4,7.774541989381373,A33,-8.840130158565511,-0.27490162020914827,0.05211825158260089,zero_diagnostic_only,False
bem,1.4,7.774541989381373,A53,-2.4697101239174257,-0.24151132582589868,0.1160306225559722,zero_diagnostic_only,False
bem,1.4,7.774541989381373,B33,103.61581005163248,0.5802269394192858,0.05211825158260089,zero_diagnostic_only,False
bem,1.4,7.774541989381373,B53,-5.540771242419292,-0.09756969837258644,0.1160306225559722,zero_diagnostic_only,False
front,1.4,7.774541989381373,A33,0.7688092347446841,0.023907668832034976,0.13787132931002224,zero_diagnostic_only,False
front,1.4,7.774541989381373,A53,-2.4849298479089232,-0.24299965260736744,0.11415083202915577,zero_diagnostic_only,False
front,1.4,7.774541989381373,B33,87.45624292362686,0.48973673167636544,0.13787132931002224,zero_diagnostic_only,False
front,1.4,7.774541989381373,B53,46.3205089529957,0.8156767152572646,0.11415083202915577,zero_diagnostic_only,False
transom,1.4,7.774541989381373,A33,-0.0,-0.0,0.0,zero_diagnostic_only,False
transom,1.4,7.774541989381373,A53,-0.0,-0.0,0.0,zero_diagnostic_only,False
transom,1.4,7.774541989381373,B33,0.0,0.0,0.0,zero_diagnostic_only,False
transom,1.4,7.774541989381373,B53,0.0,0.0,0.0,zero_diagnostic_only,False
total,1.4,7.774541989381373,A33,-8.071320923820824,-0.2509939513771132,0.050980128874079,zero_diagnostic_only,False
total,1.4,7.774541989381373,A53,-4.954639971826353,-0.4845109784332665,0.07015028475152955,zero_diagnostic_only,False
total,1.4,7.774541989381373,B33,191.0720529752593,1.069963671095651,0.050980128874079,zero_diagnostic_only,False
total,1.4,7.774541989381373,B53,40.779737710576434,0.7181070168846785,0.07015028475152955,zero_diagnostic_only,False
