phase,outer_iteration,source_shape_dipole_coefficient,target_shape_dipole_coefficient,source_formal_exact_objective,rebased_formal_exact_objective,formal_exact_relative_change,maximum_displacement_ratio,rebased_root_relative_mismatch,rebased_condition_number
pre_linearization,1,8.095538610008944,8.095857204410013,0.0010023435947588452,0.0010023442939655273,6.975718563899682e-07,4.150517732164232e-05,5.841481293665573e-08,253064.66010202584
final_synchronization,1,8.095857204410013,8.095636954027487,0.0010011338716158992,0.0010021553197891893,0.0010202912939519064,0.023038134164719556,4.877835869252146e-07,253066.37272418404
