case,frequency_index,residual
fn167,0,6.002444500669782e-16
fn167,1,2.4001634094186928e-16
fn167,2,5.060764467955025e-16
fn167,3,8.792515523678829e-17
fn167,4,1.4558770655494975e-16
fn167,5,5.286700291470638e-16
fn167,6,3.4055781185475843e-16
fn167,7,1.1972967908686654e-16
fn226,0,6.024335280990754e-16
fn226,1,3.5690889044282107e-16
fn226,2,5.893436601669991e-16
fn226,3,1.6673285670257044e-16
fn226,4,5.337901007773438e-16
fn226,5,6.989091262565982e-16
fn226,6,3.4026835599642165e-16
fn226,7,3.5776258197115065e-16
fn282,0,4.870335422401626e-16
fn282,1,7.716855914411499e-17
fn282,2,2.853284150605101e-16
fn282,3,3.756399752496053e-16
fn282,4,1.05545934979944e-15
fn282,5,9.676035970410578e-16
fn282,6,8.15556140189345e-16
fn282,7,4.166806220839079e-16
