benchmark,coefficient,candidate_name,candidate_order,row_count,station_count,total_current_forward_gradient_integral_value,total_candidate_forward_gradient_integral_value,total_forward_gradient_integral_delta_vs_current,max_abs_station_integral_delta_vs_current,dominant_delta_station_index,dominant_delta_x_over_l,dominant_delta_value,dominant_candidate_density_value_per_m,dominant_current_density_value_per_m,dominant_station_delta_share_of_total_abs_delta,max_gradient_norm_ratio_to_current,median_gradient_norm_ratio_to_current,max_gradient_peak_phase_delta_abs_deg,gate_role,path_diagnostic_status
ma2005_wigley_iii_coefficients,A55,scheme_forward,2,39,39,0.15199283365756522,0.32968925994315695,0.1776964262855916,0.6239069859878694,2,0.075,-0.6239069859878694,-3.7079026053041755,4.610857207867417,0.3535264125170204,2.9068857020120125,0.9578773115667935,177.1378968118089,diagnostic_startup_pressure_gradient_station_candidate_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,B33,scheme_forward,2,39,39,9.045074513727819,8.060369417084017,-0.9847050966438027,3.6700410940462906,2,0.075,3.6700410940462906,21.81119179590692,-27.122689458043624,0.3227698864681589,3.04699788561614,0.9532818899775382,180.0,diagnostic_startup_pressure_gradient_station_candidate_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,B35,scheme_forward,2,39,39,1.8232409617498317,0.769604730596243,-1.0536362311535898,1.3586335489038148,1,0.049999999999999996,-1.3586335489038148,-16.588386695332833,1.5267272900513678,0.32306239417564214,2.9365969502907117,0.9346178837420939,178.18245894247752,diagnostic_startup_pressure_gradient_station_candidate_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,B53,scheme_forward,2,39,39,-0.37998208414391305,-0.8242231498578921,-0.4442410657139793,1.5597674649696733,2,0.075,1.5597674649696733,9.26975651326044,-11.527143019668538,0.35352641251702027,3.04699788561614,0.9532818899775382,180.0,diagnostic_startup_pressure_gradient_station_candidate_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,B55,scheme_forward,2,39,39,1.004094890825823,0.560216369404673,-0.44387852142115003,0.6113850970067167,1,0.049999999999999996,-0.6113850970067167,-7.464774012899775,0.6870272805231167,0.35170558602487945,2.9068857020120125,0.9578773115667935,177.1378968118089,diagnostic_startup_pressure_gradient_station_candidate_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,A33,scheme_backward,3,39,39,0.0,0.0,0.0,0.0,0,0.024999999999999998,0.0,0.0,0.0,,3.046080344654993,1.0829787215471351,180.0,diagnostic_startup_pressure_gradient_station_candidate_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,A35,scheme_backward,3,39,39,-1.6080132468849453,-1.5402512399467398,0.06776200693820529,0.6524517500526734,2,0.075,0.6524517500526734,13.521168126576736,4.821811459207756,0.3227698864681587,3.1096009119313037,1.0766355877968092,178.2685340776273,diagnostic_startup_pressure_gradient_station_candidate_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,A53,scheme_backward,3,39,39,0.0,0.0,0.0,0.0,0,0.024999999999999998,0.0,0.0,0.0,,3.046080344654993,1.0829787215471351,180.0,diagnostic_startup_pressure_gradient_station_candidate_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,A55,scheme_backward,3,39,39,0.15199283365756522,0.2953395031743945,0.1433466695168293,0.6239069859878692,2,0.075,0.6239069859878692,12.929617021039007,4.610857207867417,0.35352641251702027,3.0621391459709537,1.0624039434558796,178.0577439320474,diagnostic_startup_pressure_gradient_station_candidate_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,B33,scheme_backward,3,39,39,9.045074513727819,8.663913224700414,-0.3811612890274047,3.6700410940462884,2,0.075,-3.6700410940462884,-76.05657071199414,-27.122689458043624,0.32276988646815863,3.046080344654993,1.0829787215471351,180.0,diagnostic_startup_pressure_gradient_station_candidate_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,B35,scheme_backward,3,39,39,1.8232409617498317,2.107098281966944,0.2838573202171123,1.3586335489038153,1,0.049999999999999996,1.3586335489038153,19.641841275435574,1.5267272900513678,0.3230623941756422,3.2340544383478225,1.0737641714815793,178.74422914759896,diagnostic_startup_pressure_gradient_station_candidate_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,B53,scheme_backward,3,39,39,-0.37998208414391305,-0.7383487579359878,-0.3583666737920741,1.5597674649696731,2,0.075,-1.5597674649696731,-32.32404255259751,-11.527143019668538,0.3535264125170202,3.046080344654993,1.0829787215471351,180.0,diagnostic_startup_pressure_gradient_station_candidate_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,B55,scheme_backward,3,39,39,1.004094890825823,1.1502098775214866,0.1461149866956641,0.6113850970067168,1,0.049999999999999996,0.6113850970067168,8.83882857394601,0.6870272805231167,0.3517055860248795,3.0621391459709537,1.0624039434558796,178.0577439320474,diagnostic_startup_pressure_gradient_station_candidate_not_hard_gate,INFO
