benchmark,source_row,hull,speed_case,omega_e_sqrt_l_over_g,coefficient,reference_value,row_family,column_family,station_index,x_m,x_over_l,is_configured_end_station,is_bow_station,zero_mi_target_value_per_m,eq31_row_measure_transport_density_value_per_m,eq32_stokes_body_density_value_per_m,eq32_boundary_proxy_density_value_per_m,eq32_stokes_plus_boundary_proxy_density_value_per_m,eq31_minus_eq32_boundary_proxy_density_value_per_m,row_measure_transport_density_value_per_m,stokes_body_forward_density_value_per_m,normal_variation_density_value_per_m,panel_length_variation_density_value_per_m,lever_variation_density_value_per_m,product_rule_residual_density_value_per_m,waterline_contour_density_value_per_m,boundary_density_value_per_m,section_endpoint_panel_density_value_per_m,section_interior_panel_density_value_per_m,best_mapping_candidate_name,best_mapping_candidate_density_value_per_m,mapping_residual_density_value_per_m,mapped_normalized_y_density_value_per_m,mapped_normalized_arclength_density_value_per_m,dominant_gradient_component,diagnostic_flags,candidate_default_gate_eligible,candidate_exclusion_reason,gate_role,path_diagnostic_status
ma2005_wigley_iii_coefficients,1,wigley_iii,Fn0.4,2.0,B33,2.1,heave_row_N3_m3,heave_radiation,0,0.075,0.024999999999999998,True,False,0.0,4.9067259541512165,-0.0,-2.170215638630188,-2.170215638630188,7.076941592781404,4.9067259541512165,-0.0,2.9371240177350133,1.911185526169355,0.0,0.05841641024684471,-2.170215638630188,-2.170215638630188,-2.170215638630188,7.076941592781404,mapped_normalized_arclength_central,2.2029409504937307,2.7037850036574858,3.282916682453079,2.2029409504937307,normal_variation,zero_m3_target;configured_end_station;zero_mi_nonzero_transport,false,diagnostic-only zero-m_i boundary localization; it does not alter matched_bie_station_sweep.,diagnostic_zero_mi_boundary_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,1,wigley_iii,Fn0.4,2.0,B33,2.1,heave_row_N3_m3,heave_radiation,1,0.15,0.049999999999999996,False,False,0.0,-157.16651594158995,-0.0,-2.4394577501417167,-2.4394577501417167,-154.72705819144824,-157.16651594158995,-0.0,-142.0107155891888,-14.853625480642767,0.0,-0.3021748717583931,-2.4394577501417167,-2.4394577501417167,-2.4394577501417167,-154.72705819144824,mapped_normalized_y_central,-155.0092949043234,-2.157221037266538,-155.0092949043234,-159.19402757441696,normal_variation,zero_m3_target;zero_mi_nonzero_transport,false,diagnostic-only zero-m_i boundary localization; it does not alter matched_bie_station_sweep.,diagnostic_zero_mi_boundary_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,1,wigley_iii,Fn0.4,2.0,B33,2.1,heave_row_N3_m3,heave_radiation,2,0.22499999999999998,0.075,False,False,0.0,-122.87494476620802,-0.0,-2.6909005940008304,-2.6909005940008304,-120.18404417220718,-122.87494476620802,-0.0,-106.9116969643809,-15.846529746256996,0.0,-0.11671805557013179,-2.6909005940008304,-2.6909005940008304,-2.6909005940008304,-120.18404417220718,mapped_normalized_y_central,-119.80919813756113,-3.0657466286468917,-119.80919813756113,-124.84819326617034,normal_variation,zero_m3_target;zero_mi_nonzero_transport,false,diagnostic-only zero-m_i boundary localization; it does not alter matched_bie_station_sweep.,diagnostic_zero_mi_boundary_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,1,wigley_iii,Fn0.4,2.0,B33,2.1,heave_row_N3_m3,heave_radiation,3,0.3,0.09999999999999999,False,False,0.0,-85.43037666026272,-0.0,-2.920491552772273,-2.920491552772273,-82.50988510749045,-85.43037666026272,-0.0,-71.65635711391545,-13.760314983429556,0.0,-0.013704562917711676,-2.920491552772273,-2.920491552772273,-2.920491552772273,-82.50988510749045,mapped_normalized_y_central,-82.33026408711883,-3.100112573143889,-82.33026408711883,-86.8939931227834,normal_variation,zero_m3_target;zero_mi_nonzero_transport,false,diagnostic-only zero-m_i boundary localization; it does not alter matched_bie_station_sweep.,diagnostic_zero_mi_boundary_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,1,wigley_iii,Fn0.4,2.0,B33,2.1,heave_row_N3_m3,heave_radiation,4,0.375,0.125,False,False,0.0,-26.65495954048822,-0.0,-1.5767074746123935,-1.5767074746123935,-25.078252065875827,-26.65495954048822,-0.0,-21.57964089375156,-5.085422725271861,0.0,0.010104078535195658,-1.5767074746123935,-1.5767074746123935,-1.5767074746123935,-25.078252065875827,mapped_normalized_y_central,-25.237698664700698,-1.4172608757875231,-25.237698664700698,-27.106916049991632,normal_variation,zero_m3_target;zero_mi_nonzero_transport,false,diagnostic-only zero-m_i boundary localization; it does not alter matched_bie_station_sweep.,diagnostic_zero_mi_boundary_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,1,wigley_iii,Fn0.4,2.0,B33,2.1,heave_row_N3_m3,heave_radiation,5,0.44999999999999996,0.15,False,False,0.0,-20.399484099801267,-0.0,-0.8752687016022197,-0.8752687016022197,-19.524215398199047,-20.399484099801267,-0.0,-15.830639968819423,-4.587166536722763,0.0,0.018322405740916283,-0.8752687016022197,-0.8752687016022197,-0.8752687016022197,-19.524215398199047,mapped_normalized_y_central,-18.967722499164243,-1.4317616006370244,-18.967722499164243,-20.733092491646175,normal_variation,zero_m3_target;zero_mi_nonzero_transport,false,diagnostic-only zero-m_i boundary localization; it does not alter matched_bie_station_sweep.,diagnostic_zero_mi_boundary_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,1,wigley_iii,Fn0.4,2.0,B33,2.1,heave_row_N3_m3,heave_radiation,6,0.525,0.17500000000000002,False,False,0.0,-17.30115490191233,-0.0,-0.5834745741011585,-0.5834745741011585,-16.71768032781117,-17.30115490191233,-0.0,-12.879043860153164,-4.442321168352768,0.0,0.02021012659360386,-0.5834745741011585,-0.5834745741011585,-0.5834745741011585,-16.71768032781117,mapped_normalized_y_central,-15.923808261960765,-1.3773466399515648,-15.923808261960765,-17.56713418569294,normal_variation,zero_m3_target;zero_mi_nonzero_transport,false,diagnostic-only zero-m_i boundary localization; it does not alter matched_bie_station_sweep.,diagnostic_zero_mi_boundary_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,1,wigley_iii,Fn0.4,2.0,B33,2.1,heave_row_N3_m3,heave_radiation,7,0.6,0.19999999999999998,False,False,0.0,-14.281241977771348,-0.0,-0.4469327824196996,-0.4469327824196996,-13.834309195351649,-14.281241977771348,-0.0,-10.211919110596977,-4.088106781573301,0.0,0.018783914398931057,-0.4469327824196996,-0.4469327824196996,-0.4469327824196996,-13.834309195351649,mapped_normalized_y_central,-13.068303532700112,-1.2129384450712362,-13.068303532700112,-14.484624407155197,normal_variation,zero_m3_target;zero_mi_nonzero_transport,false,diagnostic-only zero-m_i boundary localization; it does not alter matched_bie_station_sweep.,diagnostic_zero_mi_boundary_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,1,wigley_iii,Fn0.4,2.0,B33,2.1,heave_row_N3_m3,heave_radiation,8,0.6749999999999999,0.22499999999999998,False,False,0.0,-11.702012353494153,-0.0,-0.36524093221167214,-0.36524093221167214,-11.336771421282481,-11.702012353494153,-0.0,-8.05274208883692,-3.665479787960427,0.0,0.016209523303190768,-0.36524093221167214,-0.36524093221167214,-0.36524093221167214,-11.336771421282481,mapped_normalized_y_central,-10.670979936741702,-1.031032416752451,-10.670979936741702,-11.85519596396541,normal_variation,zero_m3_target;zero_mi_nonzero_transport,false,diagnostic-only zero-m_i boundary localization; it does not alter matched_bie_station_sweep.,diagnostic_zero_mi_boundary_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,1,wigley_iii,Fn0.4,2.0,B33,2.1,heave_row_N3_m3,heave_radiation,9,0.75,0.25,False,False,0.0,-9.552120620417758,-0.0,-0.30624167178646455,-0.30624167178646455,-9.245878948631294,-9.552120620417758,-0.0,-6.3384656091298766,-3.2269529348476165,0.0,0.013297923559737109,-0.30624167178646455,-0.30624167178646455,-0.30624167178646455,-9.245878948631294,mapped_normalized_y_central,-8.69673354141443,-0.8553870790033287,-8.69673354141443,-9.667316667133996,normal_variation,zero_m3_target;zero_mi_nonzero_transport,false,diagnostic-only zero-m_i boundary localization; it does not alter matched_bie_station_sweep.,diagnostic_zero_mi_boundary_not_hard_gate,INFO
