benchmark,source_row,hull,speed_case,omega_e_sqrt_l_over_g,coefficient,reference_value,mode_column,generalized_row,station_local_index,x_m,x_over_l,row_block_index,row_block_name,free_surface_panel_index,free_surface_panel_y_m,free_surface_panel_length_m,free_surface_potential_abs,free_surface_potential_phase_deg,matrix_column_norm,row_block_contribution_norm,row_block_free_rhs_norm,total_free_rhs_norm,row_block_to_total_free_rhs_norm_ratio,panel_to_row_block_free_rhs_norm_ratio,panel_to_total_free_rhs_norm_ratio,panel_to_row_block_real_alignment,panel_to_row_block_phase_deg,row_block_to_total_real_alignment,row_block_to_total_phase_deg,gate_role
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,1.0,heave,heave_force,0,0.075,0.024999999999999998,0,eq23_body,0,-0.54,0.12,0.0037698929727801034,90.0,0.16045388266504307,0.0006048939647142292,57.32884134136742,70.96500372182572,0.8078466615191001,1.055130280956418e-05,8.523834749383524e-06,-0.8481037753934516,180.0,0.8078466615191002,0.0,diagnostic_inner_free_surface_rhs_block_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,1.0,heave,heave_force,0,0.075,0.024999999999999998,0,eq23_body,1,-0.42,0.12,0.02617539086617641,90.0,0.25495484998622536,0.00667354285161682,57.32884134136742,70.96500372182572,0.8078466615191001,0.0001164081236506923,9.403991406491437e-05,-0.8554937365820767,180.0,0.8078466615191002,0.0,diagnostic_inner_free_surface_rhs_block_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,1.0,heave,heave_force,0,0.075,0.024999999999999998,0,eq23_body,2,-0.3,0.12,0.2126060228004658,90.0,0.4580303354011704,0.09738000793160624,57.32884134136742,70.96500372182572,0.8078466615191001,0.0016986215952238101,0.0013722257848858032,-0.8712575492824187,180.0,0.8078466615191002,0.0,diagnostic_inner_free_surface_rhs_block_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,1.0,heave,heave_force,0,0.075,0.024999999999999998,0,eq23_body,3,-0.18,0.12,0.6523888493224493,-90.0,0.9971143364990493,0.6505062746315323,57.32884134136742,70.96500372182572,0.8078466615191001,0.011346928690884585,0.009166578461426404,0.9110996573156893,0.0,0.8078466615191002,0.0,diagnostic_inner_free_surface_rhs_block_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,1.0,heave,heave_force,0,0.075,0.024999999999999998,0,eq23_body,4,-0.06,0.12,8.998884611564048,-90.0,3.1918899583794067,28.72344942826625,57.32884134136742,70.96500372182572,0.8078466615191001,0.5010296520250784,0.404755131710536,0.9804814686740175,0.0,0.8078466615191002,0.0,diagnostic_inner_free_surface_rhs_block_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,1.0,heave,heave_force,0,0.075,0.024999999999999998,0,eq23_body,5,0.06,0.12,8.998884611564051,-90.0,3.1918899583794067,28.72344942826626,57.32884134136742,70.96500372182572,0.8078466615191001,0.5010296520250787,0.4047551317105362,0.9804814686740175,0.0,0.8078466615191002,0.0,diagnostic_inner_free_surface_rhs_block_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,1.0,heave,heave_force,0,0.075,0.024999999999999998,0,eq23_body,6,0.18,0.12,0.6523888493224459,-90.0,0.9971143364990492,0.6505062746315289,57.32884134136742,70.96500372182572,0.8078466615191001,0.011346928690884526,0.009166578461426355,0.9110996573156894,0.0,0.8078466615191002,0.0,diagnostic_inner_free_surface_rhs_block_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,1.0,heave,heave_force,0,0.075,0.024999999999999998,0,eq23_body,7,0.3,0.12,0.2126060228004654,90.0,0.45803033540117044,0.09738000793160606,57.32884134136742,70.96500372182572,0.8078466615191001,0.0016986215952238069,0.0013722257848858006,-0.8712575492824186,180.0,0.8078466615191002,0.0,diagnostic_inner_free_surface_rhs_block_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,1.0,heave,heave_force,0,0.075,0.024999999999999998,0,eq23_body,8,0.42000000000000004,0.1200000000000001,0.026175390866176963,90.0,0.25495484998622553,0.0066735428516169655,57.32884134136742,70.96500372182572,0.8078466615191001,0.00011640812365069484,9.403991406491642e-05,-0.8554937365820766,180.0,0.8078466615191002,0.0,diagnostic_inner_free_surface_rhs_block_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,1.0,heave,heave_force,0,0.075,0.024999999999999998,0,eq23_body,9,0.54,0.11999999999999988,0.0037698929727802274,90.0,0.16045388266504293,0.0006048939647142485,57.32884134136742,70.96500372182572,0.8078466615191001,1.0551302809564517e-05,8.523834749383795e-06,-0.8481037753934517,180.0,0.8078466615191002,0.0,diagnostic_inner_free_surface_rhs_block_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,1.0,heave,heave_force,0,0.075,0.024999999999999998,1,eq23_free_surface,0,-0.54,0.12,0.0037698929727801034,90.0,3.141592653589793,0.011843468068105758,40.09721817463715,70.96500372182572,0.5650280570943591,0.00029536882126144986,0.00016689167120360803,0.00029536882126144986,0.0,0.565028057094359,0.0,diagnostic_inner_free_surface_rhs_block_not_hard_gate
