benchmark,source_row,hull,speed_case,omega_e_sqrt_l_over_g,coefficient,candidate_name,candidate_order,candidate_description,candidate_is_current_default,end_term_scale,reference_value,computed_value,raw_computed_value,raw_to_reference_raw_ratio,base_time_plus_pressure_gradient_value,end_term_component_value,candidate_end_contribution_value,abs_error,rel_error,tolerance,near_zero_abs_tolerance,effective_abs_tolerance,gate_error_ratio,current_default_gate_error_ratio,gate_ratio_delta_vs_current,candidate_gate_status,gate_role
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,current_default,0,Current Eq.32 end-contour term added to the Eq.30 pressure time/gradient result.,True,1.0,1.0,16.394477563243775,1310.73848118134,16.394477563243775,16.394477563243775,0.0,0.0,15.394477563243775,15.394477563243775,0.15,0.0,0.15,102.62985042162518,102.62985042162518,0.0,FAIL,diagnostic_end_contour_term_candidate_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,end_removed,1,Drops only the Eq.32 end-contour term while keeping the Eq.30 pressure result fixed.,False,0.0,1.0,16.394477563243775,1310.73848118134,16.394477563243775,16.394477563243775,0.0,0.0,15.394477563243775,15.394477563243775,0.15,0.0,0.15,102.62985042162518,102.62985042162518,0.0,FAIL,diagnostic_end_contour_term_candidate_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,end_flipped,2,Reverses only the Eq.32 end-contour term sign; diagnostic for contour orientation and outward-normal convention.,False,-1.0,1.0,16.394477563243775,1310.73848118134,16.394477563243775,16.394477563243775,0.0,-0.0,15.394477563243775,15.394477563243775,0.15,0.0,0.15,102.62985042162518,102.62985042162518,0.0,FAIL,diagnostic_end_contour_term_candidate_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,end_half_scale,3,Adds half of the current Eq.32 end-contour term; diagnostic for endpoint half-weight issues.,False,0.5,1.0,16.394477563243775,1310.73848118134,16.394477563243775,16.394477563243775,0.0,0.0,15.394477563243775,15.394477563243775,0.15,0.0,0.15,102.62985042162518,102.62985042162518,0.0,FAIL,diagnostic_end_contour_term_candidate_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,end_double_scale,4,Adds twice the current Eq.32 end-contour term; diagnostic for missing paired contour effects.,False,2.0,1.0,16.394477563243775,1310.73848118134,16.394477563243775,16.394477563243775,0.0,0.0,15.394477563243775,15.394477563243775,0.15,0.0,0.15,102.62985042162518,102.62985042162518,0.0,FAIL,diagnostic_end_contour_term_candidate_not_hard_gate
ma2005_wigley_iii_coefficients,1,wigley_iii,Fn0.4,2.0,B33,current_default,0,Current Eq.32 end-contour term added to the Eq.30 pressure time/gradient result.,True,1.0,2.1,31.347276140330326,4531.249626901363,14.92727435253825,31.774452682370107,-0.4271765420397827,-0.4271765420397827,29.247276140330325,13.92727435253825,0.15,0.0,0.315,92.84849568358833,92.84849568358831,1.4210854715202004e-14,FAIL,diagnostic_end_contour_term_candidate_not_hard_gate
ma2005_wigley_iii_coefficients,1,wigley_iii,Fn0.4,2.0,B33,end_removed,1,Drops only the Eq.32 end-contour term while keeping the Eq.30 pressure result fixed.,False,0.0,2.1,31.774452682370107,4592.998007783759,15.130691753509574,31.774452682370107,-0.4271765420397827,-0.0,29.674452682370106,14.130691753509574,0.15,0.0,0.315,94.20461169006383,92.84849568358831,1.356116006475517,FAIL,diagnostic_end_contour_term_candidate_not_hard_gate
ma2005_wigley_iii_coefficients,1,wigley_iii,Fn0.4,2.0,B33,end_flipped,2,Reverses only the Eq.32 end-contour term sign; diagnostic for contour orientation and outward-normal convention.,False,-1.0,2.1,32.20162922440989,4654.746388666156,15.3341091544809,31.774452682370107,-0.4271765420397827,0.4271765420397827,30.10162922440989,14.334109154480899,0.15,0.0,0.315,95.56072769653933,92.84849568358831,2.71223201295102,FAIL,diagnostic_end_contour_term_candidate_not_hard_gate
ma2005_wigley_iii_coefficients,1,wigley_iii,Fn0.4,2.0,B33,end_half_scale,3,Adds half of the current Eq.32 end-contour term; diagnostic for endpoint half-weight issues.,False,0.5,2.1,31.560864411350217,4562.123817342561,15.02898305302391,31.774452682370107,-0.4271765420397827,-0.21358827101989136,29.460864411350215,14.02898305302391,0.15,0.0,0.315,93.52655368682608,92.84849568358831,0.6780580032377657,FAIL,diagnostic_end_contour_term_candidate_not_hard_gate
ma2005_wigley_iii_coefficients,1,wigley_iii,Fn0.4,2.0,B33,end_double_scale,4,Adds twice the current Eq.32 end-contour term; diagnostic for missing paired contour effects.,False,2.0,2.1,30.92009959829054,4469.5012460189655,14.723856951566923,31.774452682370107,-0.4271765420397827,-0.8543530840795655,28.82009959829054,13.723856951566923,0.15,0.0,0.315,91.49237967711282,92.84849568358831,-1.3561160064754887,FAIL,diagnostic_end_contour_term_candidate_not_hard_gate
ma2005_wigley_iii_coefficients,2,wigley_iii,Fn0.4,1.5,A35,current_default,0,Current Eq.32 end-contour term added to the Eq.30 pressure time/gradient result.,True,1.0,-0.2,-7.911851848703239,-1897.657665911472,39.55925924351619,-7.987794345065867,0.075942496362628,0.075942496362628,7.711851848703239,38.55925924351619,0.3,0.0,0.06,128.53086414505398,128.53086414505395,2.842170943040401e-14,FAIL,diagnostic_end_contour_term_candidate_not_hard_gate
