benchmark,source_row,hull,speed_case,omega_e_sqrt_l_over_g,coefficient,reference_value,endpoint_label,station_index,x_m,x_over_l,trapz_weight_m,is_configured_end_station,configured_end_station_index,configured_end_station_x_over_l,end_term_lever_arm_m,station_pitch_moment_lever_arm_m,end_lever_minus_station_moment_lever_m,endpoint_total_pressure_integral_value,endpoint_time_integral_value,endpoint_forward_gradient_integral_value,endpoint_stokes_body_forward_integral_value,endpoint_total_density_integral_value,end_term_component_value,end_to_endpoint_forward_ratio,end_to_endpoint_pressure_ratio,endpoint_forward_plus_end_value,endpoint_pressure_plus_end_value,endpoint_forward_minus_end_value,abs_endpoint_forward_plus_end_value,abs_endpoint_pressure_plus_end_value,gate_role
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,1.0,configured_end_station,0,0.075,0.024999999999999998,0.0375,True,0,0.024999999999999998,1.425,1.425,0.0,-0.013349266938743174,-0.013349266938743174,0.0,0.0,-0.013349266938743174,0.0,,-0.0,0.0,-0.013349266938743174,0.0,0.0,0.013349266938743174,diagnostic_eq30_eq32_endpoint_closure_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,1.0,aft_active_station,0,0.075,0.024999999999999998,0.0375,True,0,0.024999999999999998,1.425,1.425,0.0,-0.013349266938743174,-0.013349266938743174,0.0,0.0,-0.013349266938743174,0.0,,-0.0,0.0,-0.013349266938743174,0.0,0.0,0.013349266938743174,diagnostic_eq30_eq32_endpoint_closure_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,1.0,bow_active_station,38,2.925,0.975,0.03749999999999987,False,0,0.024999999999999998,1.425,-1.4249999999999998,2.8499999999999996,-0.00041155962166092443,-0.00041155962166092443,0.0,0.0,-0.00041155962166092443,0.0,,-0.0,0.0,-0.00041155962166092443,0.0,0.0,0.00041155962166092443,diagnostic_eq30_eq32_endpoint_closure_not_hard_gate
ma2005_wigley_iii_coefficients,1,wigley_iii,Fn0.4,2.0,B33,2.1,configured_end_station,0,0.075,0.024999999999999998,0.0375,True,0,0.024999999999999998,1.425,1.425,0.0,-10.446556102800903,-0.0,-10.446556102800903,-0.0,-10.446556102800903,-0.4271765420397827,0.04089161421583227,0.04089161421583227,-10.873732644840686,-10.873732644840686,-10.01937956076112,10.873732644840686,10.873732644840686,diagnostic_eq30_eq32_endpoint_closure_not_hard_gate
ma2005_wigley_iii_coefficients,1,wigley_iii,Fn0.4,2.0,B33,2.1,aft_active_station,0,0.075,0.024999999999999998,0.0375,True,0,0.024999999999999998,1.425,1.425,0.0,-10.446556102800903,-0.0,-10.446556102800903,-0.0,-10.446556102800903,-0.4271765420397827,0.04089161421583227,0.04089161421583227,-10.873732644840686,-10.873732644840686,-10.01937956076112,10.873732644840686,10.873732644840686,diagnostic_eq30_eq32_endpoint_closure_not_hard_gate
ma2005_wigley_iii_coefficients,1,wigley_iii,Fn0.4,2.0,B33,2.1,bow_active_station,38,2.925,0.975,0.03749999999999987,False,0,0.024999999999999998,1.425,-1.4249999999999998,2.8499999999999996,0.0555798354505801,-0.0,0.0555798354505801,-0.0,0.0555798354505801,-0.4271765420397827,-7.68581876100758,-7.68581876100758,-0.37159670658920263,-0.37159670658920263,0.4827563774903628,0.37159670658920263,0.37159670658920263,diagnostic_eq30_eq32_endpoint_closure_not_hard_gate
ma2005_wigley_iii_coefficients,2,wigley_iii,Fn0.4,1.5,A35,-0.2,configured_end_station,0,0.075,0.024999999999999998,0.0375,True,0,0.024999999999999998,1.425,1.425,0.0,1.8575263819496148,0.00036085256279009425,1.8571655293868248,0.0,1.857526381949615,0.075942496362628,0.040891614215832296,0.04088367040198944,1.9331080257494528,1.933468878312243,1.7812230330241967,1.9331080257494528,1.933468878312243,diagnostic_eq30_eq32_endpoint_closure_not_hard_gate
ma2005_wigley_iii_coefficients,2,wigley_iii,Fn0.4,1.5,A35,-0.2,aft_active_station,0,0.075,0.024999999999999998,0.0375,True,0,0.024999999999999998,1.425,1.425,0.0,1.8575263819496148,0.00036085256279009425,1.8571655293868248,0.0,1.857526381949615,0.075942496362628,0.040891614215832296,0.04088367040198944,1.9331080257494528,1.933468878312243,1.7812230330241967,1.9331080257494528,1.933468878312243,diagnostic_eq30_eq32_endpoint_closure_not_hard_gate
ma2005_wigley_iii_coefficients,2,wigley_iii,Fn0.4,1.5,A35,-0.2,bow_active_station,38,2.925,0.975,0.03749999999999987,False,0,0.024999999999999998,1.425,-1.4249999999999998,2.8499999999999996,-0.009685368815369742,0.0001954908202889388,-0.00988085963565868,0.0,-0.00968536881536974,0.075942496362628,-7.685818761007578,-7.840950387156616,0.06606163672696931,0.06625712754725825,-0.08582335599828668,0.06606163672696931,0.06625712754725825,diagnostic_eq30_eq32_endpoint_closure_not_hard_gate
ma2005_wigley_iii_coefficients,3,wigley_iii,Fn0.4,2.5,B35,0.13,configured_end_station,0,0.075,0.024999999999999998,0.0375,True,0,0.024999999999999998,1.425,1.425,0.0,0.7242048497491747,-0.0053397067754972875,0.729544556524672,-0.0,0.7242048497491747,0.011547282009283129,0.015828069589458472,0.01594477310291761,0.7410918385339551,0.7357521317584578,0.7179972745153889,0.7410918385339551,0.7357521317584578,diagnostic_eq30_eq32_endpoint_closure_not_hard_gate
ma2005_wigley_iii_coefficients,3,wigley_iii,Fn0.4,2.5,B35,0.13,aft_active_station,0,0.075,0.024999999999999998,0.0375,True,0,0.024999999999999998,1.425,1.425,0.0,0.7242048497491747,-0.0053397067754972875,0.729544556524672,-0.0,0.7242048497491747,0.011547282009283129,0.015828069589458472,0.01594477310291761,0.7410918385339551,0.7357521317584578,0.7179972745153889,0.7410918385339551,0.7357521317584578,diagnostic_eq30_eq32_endpoint_closure_not_hard_gate
ma2005_wigley_iii_coefficients,3,wigley_iii,Fn0.4,2.5,B35,0.13,bow_active_station,38,2.925,0.975,0.03749999999999987,False,0,0.024999999999999998,1.425,-1.4249999999999998,2.8499999999999996,-0.025779521247994333,-0.00016462384866436987,-0.025614897399329963,-0.0,-0.025779521247994326,0.011547282009283129,-0.45080336763656853,-0.447924610321517,-0.014067615390046834,-0.014232239238711204,-0.03716217940861309,0.014067615390046834,0.014232239238711204,diagnostic_eq30_eq32_endpoint_closure_not_hard_gate
ma2005_wigley_iii_coefficients,4,wigley_iii,Fn0.4,2.0,A53,0.15,configured_end_station,0,0.075,0.024999999999999998,0.0375,True,0,0.024999999999999998,1.425,1.425,0.0,-0.0063409017959030105,-0.0063409017959030105,0.0,0.0,-0.0063409017959030105,0.0,,-0.0,0.0,-0.0063409017959030105,0.0,0.0,0.0063409017959030105,diagnostic_eq30_eq32_endpoint_closure_not_hard_gate
ma2005_wigley_iii_coefficients,4,wigley_iii,Fn0.4,2.0,A53,0.15,aft_active_station,0,0.075,0.024999999999999998,0.0375,True,0,0.024999999999999998,1.425,1.425,0.0,-0.0063409017959030105,-0.0063409017959030105,0.0,0.0,-0.0063409017959030105,0.0,,-0.0,0.0,-0.0063409017959030105,0.0,0.0,0.0063409017959030105,diagnostic_eq30_eq32_endpoint_closure_not_hard_gate
