benchmark,source_row,hull,speed_case,omega_e_sqrt_l_over_g,coefficient,candidate_name,candidate_order,candidate_description,candidate_is_current_default,reference_value,computed_value,raw_computed_value,raw_to_reference_raw_ratio,abs_error,rel_error,tolerance,near_zero_abs_tolerance,effective_abs_tolerance,gate_error_ratio,current_default_gate_error_ratio,gate_ratio_delta_vs_current,candidate_gate_status,time_component_value,time_component_raw,forward_gradient_component_value,forward_gradient_component_raw,end_component_value,end_component_raw,gate_role
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,current_default,0,Current matched-BIE forward-speed pressure-gradient force matrix.,True,1.0,16.394477563243775,1310.73848118134,16.394477563243775,15.394477563243775,15.394477563243775,0.15,0.0,0.15,102.62985042162518,102.62985042162518,0.0,FAIL,16.394477563243775,1310.73848118134,0.0,0.0,0.0,0.0,diagnostic_startup_pressure_gradient_candidate_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,scheme_central,1,Recomputes only the forward-speed pressure term with a central body-potential x-gradient.,False,1.0,16.394477563243775,1310.73848118134,16.394477563243775,15.394477563243775,15.394477563243775,0.15,0.0,0.15,102.62985042162518,102.62985042162518,0.0,FAIL,16.394477563243775,1310.73848118134,0.0,0.0,0.0,0.0,diagnostic_startup_pressure_gradient_candidate_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,scheme_forward,2,Recomputes only the forward-speed pressure term with a forward body-potential x-gradient.,False,1.0,16.394477563243775,1310.73848118134,16.394477563243775,15.394477563243775,15.394477563243775,0.15,0.0,0.15,102.62985042162518,102.62985042162518,0.0,FAIL,16.394477563243775,1310.73848118134,0.0,0.0,0.0,0.0,diagnostic_startup_pressure_gradient_candidate_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,scheme_backward,3,Recomputes only the forward-speed pressure term with a backward body-potential x-gradient.,False,1.0,16.394477563243775,1310.73848118134,16.394477563243775,15.394477563243775,15.394477563243775,0.15,0.0,0.15,102.62985042162518,102.62985042162518,0.0,FAIL,16.394477563243775,1310.73848118134,0.0,0.0,0.0,0.0,diagnostic_startup_pressure_gradient_candidate_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,phase_aligned_central,4,Phase-aligns adjacent body-potential states before applying the central x-gradient; this diagnoses station-to-station phase flips without changing the BIE solution.,False,1.0,16.394477563243775,1310.73848118134,16.394477563243775,15.394477563243775,15.394477563243775,0.15,0.0,0.15,102.62985042162518,102.62985042162518,0.0,FAIL,16.394477563243775,1310.73848118134,-2.747972232755785e-18,-2.1970038000882502e-16,0.0,0.0,diagnostic_startup_pressure_gradient_candidate_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,phase_aligned_forward,5,Phase-aligns adjacent body-potential states before applying the forward x-gradient; this isolates one-sided start-up sensitivity from phase wrapping.,False,1.0,16.394477563243775,1310.73848118134,16.394477563243775,15.394477563243775,15.394477563243775,0.15,0.0,0.15,102.62985042162518,102.62985042162518,0.0,FAIL,16.394477563243775,1310.73848118134,-3.883095910870447e-18,-3.1045351807409225e-16,0.0,0.0,diagnostic_startup_pressure_gradient_candidate_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,phase_aligned_backward,6,Phase-aligns adjacent body-potential states before applying the backward x-gradient; this checks whether upstream differencing reduces the first active pair spike.,False,1.0,16.394477563243775,1310.73848118134,16.394477563243775,15.394477563243775,15.394477563243775,0.15,0.0,0.15,102.62985042162518,102.62985042162518,0.0,FAIL,16.394477563243775,1310.73848118134,-8.064242773205579e-19,-6.447362097177861e-17,0.0,0.0,diagnostic_startup_pressure_gradient_candidate_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,mapped_fixed_y_central,7,Interpolates adjacent station body potentials to the target station's fixed physical y-coordinate before applying a central x-gradient.,False,1.0,16.394477563243775,1310.73848118134,16.394477563243775,15.394477563243775,15.394477563243775,0.15,0.0,0.15,102.62985042162518,102.62985042162518,0.0,FAIL,16.394477563243775,1310.73848118134,0.0,0.0,0.0,0.0,diagnostic_startup_pressure_gradient_candidate_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,mapped_fixed_y_forward,8,Interpolates adjacent station body potentials to the target station's fixed physical y-coordinate before applying a forward x-gradient.,False,1.0,16.394477563243775,1310.73848118134,16.394477563243775,15.394477563243775,15.394477563243775,0.15,0.0,0.15,102.62985042162518,102.62985042162518,0.0,FAIL,16.394477563243775,1310.73848118134,0.0,0.0,0.0,0.0,diagnostic_startup_pressure_gradient_candidate_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,mapped_fixed_y_backward,9,Interpolates adjacent station body potentials to the target station's fixed physical y-coordinate before applying a backward x-gradient.,False,1.0,16.394477563243775,1310.73848118134,16.394477563243775,15.394477563243775,15.394477563243775,0.15,0.0,0.15,102.62985042162518,102.62985042162518,0.0,FAIL,16.394477563243775,1310.73848118134,0.0,0.0,0.0,0.0,diagnostic_startup_pressure_gradient_candidate_not_hard_gate
