benchmark,matrix_cell,coefficient,pair_status,station_index,x_m,x_over_l,trapz_weight_m,time_density_value_per_m,pressure_gradient_density_value_per_m,force_derivative_proxy_density_value_per_m,pressure_gradient_minus_force_derivative_proxy_density_value_per_m,pressure_gradient_station_contribution_value,force_derivative_proxy_station_contribution_value,station_residual_contribution_value,station_abs_residual_share_of_total_abs,diagnostic_flags,gate_role
ma2005_wigley_iii_coefficients,33,A33,paired_ab_complex_reconstruction,0,0.075,0.024999999999999998,0.0375,-0.35598045169981796,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,first_active_station;peak_abs_derivative_path_difference;near_aft_startup_region,diagnostic_section_force_derivative_not_hard_gate
ma2005_wigley_iii_coefficients,33,A33,paired_ab_complex_reconstruction,1,0.15,0.049999999999999996,0.07499999999999998,20.717756511811064,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,near_aft_startup_region,diagnostic_section_force_derivative_not_hard_gate
ma2005_wigley_iii_coefficients,33,A33,paired_ab_complex_reconstruction,2,0.22499999999999998,0.075,0.075,24.97038733542568,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,none,diagnostic_section_force_derivative_not_hard_gate
ma2005_wigley_iii_coefficients,33,A33,paired_ab_complex_reconstruction,3,0.3,0.09999999999999999,0.07500000000000001,23.84581334201824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,diagnostic_section_force_derivative_not_hard_gate
ma2005_wigley_iii_coefficients,33,A33,paired_ab_complex_reconstruction,4,0.375,0.125,0.07499999999999998,9.554921459954302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,diagnostic_section_force_derivative_not_hard_gate
ma2005_wigley_iii_coefficients,33,A33,paired_ab_complex_reconstruction,5,0.44999999999999996,0.15,0.07500000000000001,9.168560790028693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,diagnostic_section_force_derivative_not_hard_gate
ma2005_wigley_iii_coefficients,33,A33,paired_ab_complex_reconstruction,6,0.525,0.17500000000000002,0.07500000000000001,9.537870056741719,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,none,diagnostic_section_force_derivative_not_hard_gate
ma2005_wigley_iii_coefficients,33,A33,paired_ab_complex_reconstruction,7,0.6,0.19999999999999998,0.07499999999999996,9.49916225532766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,diagnostic_section_force_derivative_not_hard_gate
ma2005_wigley_iii_coefficients,33,A33,paired_ab_complex_reconstruction,8,0.6749999999999999,0.22499999999999998,0.07500000000000001,9.295925891286663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,diagnostic_section_force_derivative_not_hard_gate
ma2005_wigley_iii_coefficients,33,A33,paired_ab_complex_reconstruction,9,0.75,0.25,0.07500000000000001,9.011740549357254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,diagnostic_section_force_derivative_not_hard_gate
