benchmark,source_row,coefficient,candidate_name,candidate_source_column,candidate_description,reference_value,candidate_value,abs_error,rel_error,tolerance,gate_error_ratio,status
ma2005_wigley_iii_coefficients,0,A33,current_default,computed_value,Current production matched-BIE pressure chain: time derivative + pressure gradient + end term.,1.0,16.394477563243775,15.394477563243775,15.394477563243775,0.15,102.62985042162518,FAIL
ma2005_wigley_iii_coefficients,0,A33,time_derivative_flipped_keep_gradient_end,matched_pressure_sign_candidate_time_derivative_flipped_keep_gradient_end_value,Flip only Eq. (30) time-derivative pressure contribution; keep pressure-gradient and end term unchanged.,1.0,-16.394477563243775,17.394477563243775,17.394477563243775,0.15,115.96318375495851,FAIL
ma2005_wigley_iii_coefficients,0,A33,pressure_gradient_flipped_keep_time_end,matched_pressure_sign_candidate_pressure_gradient_flipped_keep_time_end_value,Flip only Eq. (30) forward-speed pressure-gradient contribution; keep time pressure and end term unchanged.,1.0,16.394477563243775,15.394477563243775,15.394477563243775,0.15,102.62985042162518,FAIL
ma2005_wigley_iii_coefficients,0,A33,body_pressure_flipped_keep_end,matched_pressure_sign_candidate_body_pressure_flipped_keep_end_value,Flip the full Eq. (30) body-pressure contribution; keep Eq. (32) end term unchanged.,1.0,-16.394477563243775,17.394477563243775,17.394477563243775,0.15,115.96318375495851,FAIL
ma2005_wigley_iii_coefficients,0,A33,body_pressure_and_end_flipped,matched_pressure_sign_candidate_body_pressure_and_end_flipped_value,Flip Eq. (30) body pressure and the currently assembled end term together.,1.0,-16.394477563243775,17.394477563243775,17.394477563243775,0.15,115.96318375495851,FAIL
ma2005_wigley_iii_coefficients,0,A33,all_terms_flipped,matched_pressure_sign_candidate_all_terms_flipped_value,"Flip Eq. (30), Stokes body forward-speed diagnostic term, and end term together.",1.0,-16.394477563243775,17.394477563243775,17.394477563243775,0.15,115.96318375495851,FAIL
ma2005_wigley_iii_coefficients,1,B33,current_default,computed_value,Current production matched-BIE pressure chain: time derivative + pressure gradient + end term.,2.1,31.34727614033032,29.247276140330317,13.927274352538246,0.15,92.84849568358831,FAIL
ma2005_wigley_iii_coefficients,1,B33,time_derivative_flipped_keep_gradient_end,matched_pressure_sign_candidate_time_derivative_flipped_keep_gradient_end_value,Flip only Eq. (30) time-derivative pressure contribution; keep pressure-gradient and end term unchanged.,2.1,31.34727614033032,29.247276140330317,13.927274352538246,0.15,92.84849568358831,FAIL
ma2005_wigley_iii_coefficients,1,B33,pressure_gradient_flipped_keep_time_end,matched_pressure_sign_candidate_pressure_gradient_flipped_keep_time_end_value,Flip only Eq. (30) forward-speed pressure-gradient contribution; keep time pressure and end term unchanged.,2.1,-32.20162922440989,34.30162922440989,16.334109154480903,0.15,108.89406102987267,FAIL
ma2005_wigley_iii_coefficients,1,B33,body_pressure_flipped_keep_end,matched_pressure_sign_candidate_body_pressure_flipped_keep_end_value,Flip the full Eq. (30) body-pressure contribution; keep Eq. (32) end term unchanged.,2.1,-32.20162922440989,34.30162922440989,16.334109154480903,0.15,108.89406102987267,FAIL
ma2005_wigley_iii_coefficients,1,B33,body_pressure_and_end_flipped,matched_pressure_sign_candidate_body_pressure_and_end_flipped_value,Flip Eq. (30) body pressure and the currently assembled end term together.,2.1,-31.34727614033032,33.44727614033032,15.927274352538245,0.15,106.18182901692164,FAIL
ma2005_wigley_iii_coefficients,1,B33,all_terms_flipped,matched_pressure_sign_candidate_all_terms_flipped_value,"Flip Eq. (30), Stokes body forward-speed diagnostic term, and end term together.",2.1,-31.34727614033032,33.44727614033032,15.927274352538245,0.15,106.18182901692164,FAIL
ma2005_wigley_iii_coefficients,2,A35,current_default,computed_value,Current production matched-BIE pressure chain: time derivative + pressure gradient + end term.,-0.2,-7.911851848703237,7.711851848703237,38.55925924351618,0.3,128.53086414505395,FAIL
ma2005_wigley_iii_coefficients,2,A35,time_derivative_flipped_keep_gradient_end,matched_pressure_sign_candidate_time_derivative_flipped_keep_gradient_end_value,Flip only Eq. (30) time-derivative pressure contribution; keep pressure-gradient and end term unchanged.,-0.2,-3.2338463345253228,3.0338463345253226,15.169231672626612,0.3,50.56410557542205,FAIL
ma2005_wigley_iii_coefficients,2,A35,pressure_gradient_flipped_keep_time_end,matched_pressure_sign_candidate_pressure_gradient_flipped_keep_time_end_value,Flip only Eq. (30) forward-speed pressure-gradient contribution; keep time pressure and end term unchanged.,-0.2,3.3857313272505785,3.5857313272505786,17.928656636252892,0.3,59.76218878750964,FAIL
ma2005_wigley_iii_coefficients,2,A35,body_pressure_flipped_keep_end,matched_pressure_sign_candidate_body_pressure_flipped_keep_end_value,Flip the full Eq. (30) body-pressure contribution; keep Eq. (32) end term unchanged.,-0.2,8.063736841428495,8.263736841428495,41.31868420714247,0.3,137.72894735714158,FAIL
ma2005_wigley_iii_coefficients,2,A35,body_pressure_and_end_flipped,matched_pressure_sign_candidate_body_pressure_and_end_flipped_value,Flip Eq. (30) body pressure and the currently assembled end term together.,-0.2,7.911851848703239,8.111851848703239,40.559259243516195,0.3,135.19753081172067,FAIL
ma2005_wigley_iii_coefficients,2,A35,all_terms_flipped,matched_pressure_sign_candidate_all_terms_flipped_value,"Flip Eq. (30), Stokes body forward-speed diagnostic term, and end term together.",-0.2,7.911851848703239,8.111851848703239,40.559259243516195,0.3,135.19753081172067,FAIL
ma2005_wigley_iii_coefficients,3,B35,current_default,computed_value,Current production matched-BIE pressure chain: time derivative + pressure gradient + end term.,0.13,3.8679513852529435,3.7379513852529436,28.753472194253412,0.3,95.84490731417804,FAIL
ma2005_wigley_iii_coefficients,3,B35,time_derivative_flipped_keep_gradient_end,matched_pressure_sign_candidate_time_derivative_flipped_keep_gradient_end_value,Flip only Eq. (30) time-derivative pressure contribution; keep pressure-gradient and end term unchanged.,0.13,-9.247630665342077,9.377630665342078,72.13562050263137,0.3,240.45206834210458,FAIL
ma2005_wigley_iii_coefficients,3,B35,pressure_gradient_flipped_keep_time_end,matched_pressure_sign_candidate_pressure_gradient_flipped_keep_time_end_value,Flip only Eq. (30) forward-speed pressure-gradient contribution; keep time pressure and end term unchanged.,0.13,9.270725229360641,9.14072522936064,70.31327099508185,0.3,234.37756998360618,FAIL
ma2005_wigley_iii_coefficients,3,B35,body_pressure_flipped_keep_end,matched_pressure_sign_candidate_body_pressure_flipped_keep_end_value,Flip the full Eq. (30) body-pressure contribution; keep Eq. (32) end term unchanged.,0.13,-3.844856821234376,3.974856821234376,30.57582170180289,0.3,101.9194056726763,FAIL
ma2005_wigley_iii_coefficients,3,B35,body_pressure_and_end_flipped,matched_pressure_sign_candidate_body_pressure_and_end_flipped_value,Flip Eq. (30) body pressure and the currently assembled end term together.,0.13,-3.8679513852529426,3.9979513852529425,30.7534721942534,0.3,102.51157398084467,FAIL
ma2005_wigley_iii_coefficients,3,B35,all_terms_flipped,matched_pressure_sign_candidate_all_terms_flipped_value,"Flip Eq. (30), Stokes body forward-speed diagnostic term, and end term together.",0.13,-3.8679513852529426,3.9979513852529425,30.7534721942534,0.3,102.51157398084467,FAIL
ma2005_wigley_iii_coefficients,4,A53,current_default,computed_value,Current production matched-BIE pressure chain: time derivative + pressure gradient + end term.,0.15,3.9063484888582534,3.7563484888582535,25.042323259055024,0.3,83.47441086351675,FAIL
ma2005_wigley_iii_coefficients,4,A53,time_derivative_flipped_keep_gradient_end,matched_pressure_sign_candidate_time_derivative_flipped_keep_gradient_end_value,Flip only Eq. (30) time-derivative pressure contribution; keep pressure-gradient and end term unchanged.,0.15,-3.9063484888582534,4.056348488858253,27.042323259055024,0.3,90.14107753018341,FAIL
ma2005_wigley_iii_coefficients,4,A53,pressure_gradient_flipped_keep_time_end,matched_pressure_sign_candidate_pressure_gradient_flipped_keep_time_end_value,Flip only Eq. (30) forward-speed pressure-gradient contribution; keep time pressure and end term unchanged.,0.15,3.9063484888582534,3.7563484888582535,25.042323259055024,0.3,83.47441086351675,FAIL
ma2005_wigley_iii_coefficients,4,A53,body_pressure_flipped_keep_end,matched_pressure_sign_candidate_body_pressure_flipped_keep_end_value,Flip the full Eq. (30) body-pressure contribution; keep Eq. (32) end term unchanged.,0.15,-3.9063484888582534,4.056348488858253,27.042323259055024,0.3,90.14107753018341,FAIL
ma2005_wigley_iii_coefficients,4,A53,body_pressure_and_end_flipped,matched_pressure_sign_candidate_body_pressure_and_end_flipped_value,Flip Eq. (30) body pressure and the currently assembled end term together.,0.15,-3.9063484888582534,4.056348488858253,27.042323259055024,0.3,90.14107753018341,FAIL
ma2005_wigley_iii_coefficients,4,A53,all_terms_flipped,matched_pressure_sign_candidate_all_terms_flipped_value,"Flip Eq. (30), Stokes body forward-speed diagnostic term, and end term together.",0.15,-3.9063484888582534,4.056348488858253,27.042323259055024,0.3,90.14107753018341,FAIL
ma2005_wigley_iii_coefficients,5,B53,current_default,computed_value,Current production matched-BIE pressure chain: time derivative + pressure gradient + end term.,-0.1,6.053015447462404,6.153015447462404,61.530154474624034,0.3,205.10051491541347,FAIL
