benchmark,source_row,hull,speed_case,omega_e_sqrt_l_over_g,coefficient,candidate_name,candidate_order,candidate_description,candidate_is_current_default,reference_value,computed_value,raw_computed_value,raw_to_reference_raw_ratio,abs_error,rel_error,tolerance,effective_abs_tolerance,gate_error_ratio,current_default_gate_error_ratio,gate_ratio_delta_vs_current,candidate_gate_status,gate_role
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,current_default,0,Current matched-BIE pressure integral plus current end term.,True,1.0,16.394477563243775,1310.73848118134,16.394477563243775,15.394477563243775,15.394477563243775,0.15,0.15,102.62985042162518,102.62985042162518,0.0,FAIL,diagnostic_startup_ghost_station_candidate_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,ghost_aft_pressure_plus_end,1,"Treats the first aft active station as a free-surface start-up station: it remains in the solved station history, but its pressure-density contribution is excluded from whole-ship integration; the current end term is retained.",False,1.0,15.6309109609896,1249.6913313311186,15.6309109609896,14.6309109609896,14.6309109609896,0.15,0.15,97.53940640659734,102.62985042162518,-5.090444015027842,FAIL,diagnostic_startup_ghost_station_candidate_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,ghost_aft_pressure_no_end,2,"Same aft start-up pressure exclusion, but without adding the current end term. This separates pressure-integral sensitivity from end-contour sensitivity.",False,1.0,15.6309109609896,1249.6913313311186,15.6309109609896,14.6309109609896,14.6309109609896,0.15,0.15,97.53940640659734,102.62985042162518,-5.090444015027842,FAIL,diagnostic_startup_ghost_station_candidate_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,ghost_aft_forward_only_removed_keep_time_end,3,"Keeps the full time-derivative pressure integral and current end term, but excludes the first aft active station only from the forward-speed pressure-gradient integral.",False,1.0,16.394477563243775,1310.73848118134,16.394477563243775,15.394477563243775,15.394477563243775,0.15,0.15,102.62985042162518,102.62985042162518,0.0,FAIL,diagnostic_startup_ghost_station_candidate_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,ghost_aft_time_only_removed_keep_forward_end,4,"Keeps the full forward-speed pressure-gradient integral and current end term, but excludes the first aft active station only from the time-derivative pressure integral.",False,1.0,15.6309109609896,1249.6913313311186,15.6309109609896,14.6309109609896,14.6309109609896,0.15,0.15,97.53940640659734,102.62985042162518,-5.090444015027842,FAIL,diagnostic_startup_ghost_station_candidate_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,bow_pressure_excluded_plus_end,5,Control candidate excluding the bow active station pressure integral while retaining the current end term; this checks whether endpoint sensitivity is aft-specific.,False,1.0,16.39118434386313,1310.4751882918574,16.39118434386313,15.39118434386313,15.39118434386313,0.15,0.15,102.60789562575421,102.62985042162518,-0.02195479587096827,FAIL,diagnostic_startup_ghost_station_candidate_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,both_end_pressure_excluded_plus_end,6,Control candidate excluding both aft and bow active station pressure integrals while retaining the current end term.,False,1.0,15.627617741608956,1249.428038441636,15.627617741608956,14.627617741608956,14.627617741608956,0.15,0.15,97.51745161072638,102.62985042162518,-5.112398810898796,FAIL,diagnostic_startup_ghost_station_candidate_not_hard_gate
ma2005_wigley_iii_coefficients,1,wigley_iii,Fn0.4,2.0,B33,current_default,0,Current matched-BIE pressure integral plus current end term.,True,2.1,31.34727614033032,4531.249626901362,14.927274352538246,29.247276140330317,13.927274352538246,0.15,0.315,92.84849568358831,92.84849568358831,0.0,FAIL,diagnostic_startup_ghost_station_candidate_not_hard_gate
ma2005_wigley_iii_coefficients,1,wigley_iii,Fn0.4,2.0,B33,ghost_aft_pressure_plus_end,1,"Treats the first aft active station as a free-surface start-up station: it remains in the solved station history, but its pressure-density contribution is excluded from whole-ship integration; the current end term is retained.",False,2.1,47.07131290569944,6804.159573127757,22.414910907475925,44.97131290569944,21.414910907475925,0.15,0.315,142.76607271650616,92.84849568358831,49.91757703291785,FAIL,diagnostic_startup_ghost_station_candidate_not_hard_gate
ma2005_wigley_iii_coefficients,1,wigley_iii,Fn0.4,2.0,B33,ghost_aft_pressure_no_end,2,"Same aft start-up pressure exclusion, but without adding the current end term. This separates pressure-integral sensitivity from end-contour sensitivity.",False,2.1,47.498489447739225,6865.907954010153,22.618328308447246,45.39848944773922,21.61832830844725,0.15,0.315,144.12218872298166,92.84849568358831,51.27369303939335,FAIL,diagnostic_startup_ghost_station_candidate_not_hard_gate
