benchmark,coefficient,source_row,station_index,x_m,x_over_l,station_trapezoid_weight_m,pressure_gradient_density_value_per_m,station_pressure_gradient_contribution_value,station_abs_pressure_gradient_contribution_share,station_signed_pressure_gradient_contribution_share_of_net,body_potential_x_gradient_gain_times_l,body_potential_adjacent_relative_jump,reported_pressure_gradient_component_value,station_integral_pressure_gradient_value,station_integral_minus_reported_pressure_gradient_component,current_computed_value,reference_value,current_gate_error_ratio,without_first_station_computed_value,without_first_station_gate_error_ratio,without_first_two_stations_computed_value,without_first_two_stations_gate_error_ratio,diagnostic_flags,diagnostic_candidate_status,failure_source,gate_role
ma2005_wigley_iii_coefficients,A33,0,0,0.075,0.024999999999999998,0.0375,0.0,0.0,0.0,,78.36977980310716,,0.0,0.0,0.0,16.394477563243775,1.0,102.62985042162518,16.394477563243775,102.62985042162518,16.394477563243775,102.62985042162518,first_active_station|peak_abs_pressure_gradient_contribution_station,startup_removal_does_not_pass_this_coefficient,first_active_station_pressure_gradient_spike,diagnostic_pressure_gradient_startup_spike_not_hard_gate
ma2005_wigley_iii_coefficients,A33,0,1,0.15,0.049999999999999996,0.07499999999999998,0.0,0.0,0.0,,20.367819897931966,,0.0,0.0,0.0,16.394477563243775,1.0,102.62985042162518,16.394477563243775,102.62985042162518,16.394477563243775,102.62985042162518,second_active_station,startup_removal_does_not_pass_this_coefficient,first_active_station_pressure_gradient_spike,diagnostic_pressure_gradient_startup_spike_not_hard_gate
ma2005_wigley_iii_coefficients,A33,0,2,0.22499999999999998,0.075,0.075,0.0,0.0,0.0,,8.921172707217613,,0.0,0.0,0.0,16.394477563243775,1.0,102.62985042162518,16.394477563243775,102.62985042162518,16.394477563243775,102.62985042162518,background_station,startup_removal_does_not_pass_this_coefficient,first_active_station_pressure_gradient_spike,diagnostic_pressure_gradient_startup_spike_not_hard_gate
ma2005_wigley_iii_coefficients,A33,0,3,0.3,0.09999999999999999,0.07500000000000001,0.0,0.0,0.0,,18.370034177714125,,0.0,0.0,0.0,16.394477563243775,1.0,102.62985042162518,16.394477563243775,102.62985042162518,16.394477563243775,102.62985042162518,background_station,startup_removal_does_not_pass_this_coefficient,first_active_station_pressure_gradient_spike,diagnostic_pressure_gradient_startup_spike_not_hard_gate
ma2005_wigley_iii_coefficients,A33,0,4,0.375,0.125,0.07499999999999998,0.0,0.0,0.0,,39.452590775934816,,0.0,0.0,0.0,16.394477563243775,1.0,102.62985042162518,16.394477563243775,102.62985042162518,16.394477563243775,102.62985042162518,background_station,startup_removal_does_not_pass_this_coefficient,first_active_station_pressure_gradient_spike,diagnostic_pressure_gradient_startup_spike_not_hard_gate
ma2005_wigley_iii_coefficients,A33,0,5,0.44999999999999996,0.15,0.07500000000000001,0.0,0.0,0.0,,13.750921197634714,,0.0,0.0,0.0,16.394477563243775,1.0,102.62985042162518,16.394477563243775,102.62985042162518,16.394477563243775,102.62985042162518,background_station,startup_removal_does_not_pass_this_coefficient,first_active_station_pressure_gradient_spike,diagnostic_pressure_gradient_startup_spike_not_hard_gate
ma2005_wigley_iii_coefficients,A33,0,6,0.525,0.17500000000000002,0.07500000000000001,0.0,0.0,0.0,,6.704001712653783,,0.0,0.0,0.0,16.394477563243775,1.0,102.62985042162518,16.394477563243775,102.62985042162518,16.394477563243775,102.62985042162518,background_station,startup_removal_does_not_pass_this_coefficient,first_active_station_pressure_gradient_spike,diagnostic_pressure_gradient_startup_spike_not_hard_gate
ma2005_wigley_iii_coefficients,A33,0,7,0.6,0.19999999999999998,0.07499999999999996,0.0,0.0,0.0,,5.330258495939891,,0.0,0.0,0.0,16.394477563243775,1.0,102.62985042162518,16.394477563243775,102.62985042162518,16.394477563243775,102.62985042162518,background_station,startup_removal_does_not_pass_this_coefficient,first_active_station_pressure_gradient_spike,diagnostic_pressure_gradient_startup_spike_not_hard_gate
ma2005_wigley_iii_coefficients,A33,0,8,0.6749999999999999,0.22499999999999998,0.07500000000000001,0.0,0.0,0.0,,4.749852175745655,,0.0,0.0,0.0,16.394477563243775,1.0,102.62985042162518,16.394477563243775,102.62985042162518,16.394477563243775,102.62985042162518,background_station,startup_removal_does_not_pass_this_coefficient,first_active_station_pressure_gradient_spike,diagnostic_pressure_gradient_startup_spike_not_hard_gate
ma2005_wigley_iii_coefficients,A33,0,9,0.75,0.25,0.07500000000000001,0.0,0.0,0.0,,4.3654367326136025,,0.0,0.0,0.0,16.394477563243775,1.0,102.62985042162518,16.394477563243775,102.62985042162518,16.394477563243775,102.62985042162518,background_station,startup_removal_does_not_pass_this_coefficient,first_active_station_pressure_gradient_spike,diagnostic_pressure_gradient_startup_spike_not_hard_gate
ma2005_wigley_iii_coefficients,A33,0,10,0.825,0.27499999999999997,0.07499999999999996,0.0,0.0,0.0,,4.10217779892153,,0.0,0.0,0.0,16.394477563243775,1.0,102.62985042162518,16.394477563243775,102.62985042162518,16.394477563243775,102.62985042162518,background_station,startup_removal_does_not_pass_this_coefficient,first_active_station_pressure_gradient_spike,diagnostic_pressure_gradient_startup_spike_not_hard_gate
ma2005_wigley_iii_coefficients,A33,0,11,0.8999999999999999,0.3,0.07500000000000001,0.0,0.0,0.0,,3.928737699431395,,0.0,0.0,0.0,16.394477563243775,1.0,102.62985042162518,16.394477563243775,102.62985042162518,16.394477563243775,102.62985042162518,background_station,startup_removal_does_not_pass_this_coefficient,first_active_station_pressure_gradient_spike,diagnostic_pressure_gradient_startup_spike_not_hard_gate
