benchmark,source_row,hull,speed_case,omega_e_sqrt_l_over_g,coefficient,reference_value,row_family,column_family,station_index,panel_index,x_m,x_over_l,is_configured_end_station,is_bow_station,is_section_endpoint_panel,symbol_convention,equation_source,unit_description,pressure_row_measure_N3_ds,stokes_m3_ds,body_panel_normal_z,body_panel_length_m,mode_body_potential_real,mode_body_potential_imag,total_row_measure_x_gradient,normal_variation_x_gradient,panel_length_variation_x_gradient,lever_variation_x_gradient,product_rule_residual_x_gradient,eq31_panel_density_value_per_m,eq32_stokes_body_panel_density_value_per_m,eq32_boundary_proxy_panel_density_value_per_m,longitudinal_end_station_proxy_density_value_per_m,eq32_stokes_plus_boundary_proxy_panel_density_value_per_m,eq31_minus_eq32_proxy_panel_density_value_per_m,normal_variation_density_value_per_m,panel_length_variation_density_value_per_m,lever_variation_density_value_per_m,product_rule_residual_density_value_per_m,section_interior_panel_density_value_per_m,longitudinal_interior_station_density_value_per_m,formula_decomposition_closure_residual_value_per_m,dominant_panel_source,candidate_default_gate_eligible,candidate_exclusion_reason,gate_role,path_diagnostic_status
ma2005_wigley_iii_coefficients,1,wigley_iii,Fn0.4,2.0,B33,2.1,heave_row_N3_m3,heave_radiation,0,0,0.075,0.024999999999999998,True,False,True,"N3=-n_z, m3=0; coefficient density is Ma2005-normalized per metre before x integration.",Eq.31 rho*U*phi_j*d(N_i ds)/dx versus Eq.32 rho*U*phi_j*m_i ds plus diagnostic section-boundary proxy.,Ma2005 nondimensional coefficient density per metre; multiply by station trapezoid weight and sum.,-0.00027967416702206517,0.0,0.011142165440505706,0.025100521843388793,0.0,-69.93061309135699,-0.0036471079658842043,-0.0036331880988388745,-3.0875820364383526e-05,0.0,1.6955953319053638e-05,-1.0851078193150823,-0.0,-1.0851078193150823,-1.0851078193150823,-1.0851078193150823,0.0,-1.0809663031559762,-0.009186345569848741,0.0,0.005044829410742703,0.0,0.0,-3.469446951953614e-17,boundary_proxy,false,diagnostic-only station-panel Eq.31/Eq.32 transport identity; not accepted until all eight Ma 2005 Wigley III rows pass under one traced formula.,diagnostic_formula_transport_identity_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,1,wigley_iii,Fn0.4,2.0,B33,2.1,heave_row_N3_m3,heave_radiation,0,1,0.075,0.024999999999999998,True,False,False,"N3=-n_z, m3=0; coefficient density is Ma2005-normalized per metre before x integration.",Eq.31 rho*U*phi_j*d(N_i ds)/dx versus Eq.32 rho*U*phi_j*m_i ds plus diagnostic section-boundary proxy.,Ma2005 nondimensional coefficient density per metre; multiply by station trapezoid weight and sum.,-0.0008010436981359201,0.0,0.03191392431399355,0.025100131536775008,0.0,-87.95819289324625,-0.010472755863654884,-0.01043714446385129,-8.802746484055941e-05,0.0,5.241606503696504e-05,-3.9191710190953977,-0.0,0.0,-3.9191710190953977,0.0,-3.9191710190953977,-3.90584432955191,-0.03294211128179205,0.0,0.019615421738304592,-3.9191710190953977,0.0,-3.5388358909926865e-16,interior_distributed_transport,false,diagnostic-only station-panel Eq.31/Eq.32 transport identity; not accepted until all eight Ma 2005 Wigley III rows pass under one traced formula.,diagnostic_formula_transport_identity_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,1,wigley_iii,Fn0.4,2.0,B33,2.1,heave_row_N3_m3,heave_radiation,0,2,0.075,0.024999999999999998,True,False,False,"N3=-n_z, m3=0; coefficient density is Ma2005-normalized per metre before x integration.",Eq.31 rho*U*phi_j*d(N_i ds)/dx versus Eq.32 rho*U*phi_j*m_i ds plus diagnostic section-boundary proxy.,Ma2005 nondimensional coefficient density per metre; multiply by station trapezoid weight and sum.,-0.0013210392814386896,0.0,0.052631472285005095,0.02509979721420521,0.0,-90.64349854956211,-0.017270846992950083,-0.017211056291943843,-0.00014460970131959417,0.0,8.481900031335446e-05,-6.660506147537876,-0.0,0.0,-6.660506147537876,0.0,-6.660506147537876,-6.637447849830751,-0.05576876484551906,0.0,0.03271046713839342,-6.660506147537876,0.0,1.1102230246251565e-15,interior_distributed_transport,false,diagnostic-only station-panel Eq.31/Eq.32 transport identity; not accepted until all eight Ma 2005 Wigley III rows pass under one traced formula.,diagnostic_formula_transport_identity_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,1,wigley_iii,Fn0.4,2.0,B33,2.1,heave_row_N3_m3,heave_radiation,0,3,0.075,0.024999999999999998,True,False,False,"N3=-n_z, m3=0; coefficient density is Ma2005-normalized per metre before x integration.",Eq.31 rho*U*phi_j*d(N_i ds)/dx versus Eq.32 rho*U*phi_j*m_i ds plus diagnostic section-boundary proxy.,Ma2005 nondimensional coefficient density per metre; multiply by station trapezoid weight and sum.,-0.001838715285813825,0.0,0.07325699070752313,0.025099519759893687,0.0,-82.81193743926885,-0.024016588577742165,-0.023928088157321843,-0.00020066920304409735,0.0,0.00011216878262377549,-8.461769696154617,-0.0,0.0,-8.461769696154617,0.0,-8.461769696154617,-8.430588324446246,-0.07070182244133168,0.0,0.03952045073295953,-8.461769696154617,0.0,1.2698175844150228e-15,interior_distributed_transport,false,diagnostic-only station-panel Eq.31/Eq.32 transport identity; not accepted until all eight Ma 2005 Wigley III rows pass under one traced formula.,diagnostic_formula_transport_identity_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,1,wigley_iii,Fn0.4,2.0,B33,2.1,heave_row_N3_m3,heave_radiation,0,4,0.075,0.024999999999999998,True,False,False,"N3=-n_z, m3=0; coefficient density is Ma2005-normalized per metre before x integration.",Eq.31 rho*U*phi_j*d(N_i ds)/dx versus Eq.32 rho*U*phi_j*m_i ds plus diagnostic section-boundary proxy.,Ma2005 nondimensional coefficient density per metre; multiply by station trapezoid weight and sum.,-0.0023531466988200387,0.0,0.09375347460677197,0.025099301211926144,0.0,-63.98658086419513,-0.0306755913474885,-0.030552354423528768,-0.0002562565742058548,0.0,0.00013301965024612437,-8.351005794247568,-0.0,0.0,-8.351005794247568,0.0,-8.351005794247568,-8.31745624488779,-0.06976231074946607,0.0,0.036212761389687695,-8.351005794247568,0.0,4.3021142204224816e-16,interior_distributed_transport,false,diagnostic-only station-panel Eq.31/Eq.32 transport identity; not accepted until all eight Ma 2005 Wigley III rows pass under one traced formula.,diagnostic_formula_transport_identity_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,1,wigley_iii,Fn0.4,2.0,B33,2.1,heave_row_N3_m3,heave_radiation,0,5,0.075,0.024999999999999998,True,False,False,"N3=-n_z, m3=0; coefficient density is Ma2005-normalized per metre before x integration.",Eq.31 rho*U*phi_j*d(N_i ds)/dx versus Eq.32 rho*U*phi_j*m_i ds plus diagnostic section-boundary proxy.,Ma2005 nondimensional coefficient density per metre; multiply by station trapezoid weight and sum.,-0.002863437354084815,0.0,0.11408505667896897,0.025099144773556275,0.0,-22.029640583739273,-0.03720314268026876,-0.03703837550812232,-0.0003114037300835665,0.0,0.00014663655793712734,-3.486936003272778,-0.0,0.0,-3.486936003272778,0.0,-3.486936003272778,-3.4714928835973113,-0.029186912710944726,0.0,0.013743793035477781,-3.486936003272778,0.0,2.0122792321330962e-16,interior_distributed_transport,false,diagnostic-only station-panel Eq.31/Eq.32 transport identity; not accepted until all eight Ma 2005 Wigley III rows pass under one traced formula.,diagnostic_formula_transport_identity_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,1,wigley_iii,Fn0.4,2.0,B33,2.1,heave_row_N3_m3,heave_radiation,0,6,0.075,0.024999999999999998,True,False,False,"N3=-n_z, m3=0; coefficient density is Ma2005-normalized per metre before x integration.",Eq.31 rho*U*phi_j*d(N_i ds)/dx versus Eq.32 rho*U*phi_j*m_i ds plus diagnostic section-boundary proxy.,Ma2005 nondimensional coefficient density per metre; multiply by station trapezoid weight and sum.,-0.003368727580541852,0.0,0.13421730840742668,0.025099054812780387,0.0,180.68861677971975,-0.04354597276739388,-0.043332888948960986,-0.00036610991739537493,0.0,0.00015302609896248123,33.47616711109179,-0.0,0.0,33.47616711109179,0.0,33.47616711109179,33.312357944337556,0.28144868507639653,0.0,-0.11763951832216869,33.47616711109179,0.0,6.231126725708691e-15,interior_distributed_transport,false,diagnostic-only station-panel Eq.31/Eq.32 transport identity; not accepted until all eight Ma 2005 Wigley III rows pass under one traced formula.,diagnostic_formula_transport_identity_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,1,wigley_iii,Fn0.4,2.0,B33,2.1,heave_row_N3_m3,heave_radiation,0,7,0.075,0.024999999999999998,True,False,False,"N3=-n_z, m3=0; coefficient density is Ma2005-normalized per metre before x integration.",Eq.31 rho*U*phi_j*d(N_i ds)/dx versus Eq.32 rho*U*phi_j*m_i ds plus diagnostic section-boundary proxy.,Ma2005 nondimensional coefficient density per metre; multiply by station trapezoid weight and sum.,-0.003598431868285605,0.0,1.0,0.003598431868285605,-0.0,9.553525666006209,-0.04633598760923387,3.196049530172478e-17,-0.04633598760923387,0.0,-3.469446951953614e-17,1.8833846912143573,-0.0,0.0,1.8833846912143573,0.0,1.8833846912143573,-1.299074664870235e-15,1.8833846912143573,0.0,1.4102004971590571e-15,1.8833846912143573,0.0,-7.793286760886926e-17,panel_length_variation,false,diagnostic-only station-panel Eq.31/Eq.32 transport identity; not accepted until all eight Ma 2005 Wigley III rows pass under one traced formula.,diagnostic_formula_transport_identity_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,1,wigley_iii,Fn0.4,2.0,B33,2.1,heave_row_N3_m3,heave_radiation,0,8,0.075,0.024999999999999998,True,False,False,"N3=-n_z, m3=0; coefficient density is Ma2005-normalized per metre before x integration.",Eq.31 rho*U*phi_j*d(N_i ds)/dx versus Eq.32 rho*U*phi_j*m_i ds plus diagnostic section-boundary proxy.,Ma2005 nondimensional coefficient density per metre; multiply by station trapezoid weight and sum.,-0.00336872758054185,0.0,0.1342173084074266,0.025099054812780387,0.0,180.68861677971992,-0.043545972767393866,-0.043332888948960896,-0.0003661099173954008,0.0,0.00015302609896243076,33.476167111091804,-0.0,0.0,33.476167111091804,0.0,33.476167111091804,33.31235794433751,0.2814486850764166,0.0,-0.11763951832212997,33.476167111091804,0.0,4.260480856999038e-15,interior_distributed_transport,false,diagnostic-only station-panel Eq.31/Eq.32 transport identity; not accepted until all eight Ma 2005 Wigley III rows pass under one traced formula.,diagnostic_formula_transport_identity_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,1,wigley_iii,Fn0.4,2.0,B33,2.1,heave_row_N3_m3,heave_radiation,0,9,0.075,0.024999999999999998,True,False,False,"N3=-n_z, m3=0; coefficient density is Ma2005-normalized per metre before x integration.",Eq.31 rho*U*phi_j*d(N_i ds)/dx versus Eq.32 rho*U*phi_j*m_i ds plus diagnostic section-boundary proxy.,Ma2005 nondimensional coefficient density per metre; multiply by station trapezoid weight and sum.,-0.002863437354084817,0.0,0.11408505667896877,0.02509914477355633,0.0,-22.029640583739546,-0.03720314268026852,-0.037038375508122515,-0.00031140373008333165,0.0,0.00014663655793732965,-3.4869360032727985,-0.0,0.0,-3.4869360032727985,0.0,-3.4869360032727985,-3.4714928835973726,-0.029186912710923073,0.0,0.013743793035496913,-3.4869360032727985,0.0,2.723515857283587e-16,interior_distributed_transport,false,diagnostic-only station-panel Eq.31/Eq.32 transport identity; not accepted until all eight Ma 2005 Wigley III rows pass under one traced formula.,diagnostic_formula_transport_identity_not_hard_gate,INFO
