benchmark,source_row,hull,speed_case,omega_e_sqrt_l_over_g,coefficient,prefix,row_idx,col_idx,candidate_name,candidate_order,candidate_class,candidate_description,candidate_is_current_default,reference_value,candidate_value,current_computed_value,raw_computed_value,documented_normalization_scale,required_normalization_scale,required_scale_over_documented,candidate_abs_error,candidate_rel_error,candidate_gate_error_ratio,current_gate_error_ratio,gate_ratio_delta_vs_current,candidate_gate_status,current_gate_status,candidate_over_reference,candidate_row_decision,candidate_default_gate_eligible,candidate_exclusion_reason,gate_role
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,A,2,2,current_ab_mapping_documented_eq34,0,baseline_current_default,Current A/B real-imaginary mapping with documented Eq.34 scale.,True,1.0,16.394477563243775,16.394477563243775,1310.73848118134,79.95,1310.73848118134,16.394477563243775,15.394477563243775,15.394477563243775,102.62985042162518,102.62985042162518,0.0,FAIL,FAIL,16.394477563243775,baseline_current_default,false,diagnostic-only until one shared A/B mapping and Eq.34 normalization convention passes all Wigley III coefficients without per-row fitting,diagnostic_ab_mapping_normalization_exclusion_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,A,2,2,total_raw_sign_flipped_documented_eq34,1,diagnostic_global_sign_flip,Whole raw coefficient sign flipped before applying documented Eq.34 scale.,False,1.0,-16.394477563243775,16.394477563243775,1310.73848118134,79.95,1310.73848118134,16.394477563243775,17.394477563243775,17.394477563243775,115.96318375495851,102.62985042162518,13.333333333333329,FAIL,FAIL,-16.394477563243775,worsens_this_coefficient,false,diagnostic-only until one shared A/B mapping and Eq.34 normalization convention passes all Wigley III coefficients without per-row fitting,diagnostic_ab_mapping_normalization_exclusion_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,A,2,2,reference_signed_abs_current_documented_eq34,2,diagnostic_sign_only_magnitude_kept,Current magnitude with reference sign; checks pure A/B sign selection without changing magnitude.,False,1.0,16.394477563243775,16.394477563243775,1310.73848118134,79.95,1310.73848118134,16.394477563243775,15.394477563243775,15.394477563243775,102.62985042162518,102.62985042162518,0.0,FAIL,FAIL,16.394477563243775,neutral_or_not_evaluable,false,diagnostic-only until one shared A/B mapping and Eq.34 normalization convention passes all Wigley III coefficients without per-row fitting,diagnostic_ab_mapping_normalization_exclusion_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,A,2,2,length_power_0_eq34_scale,10,diagnostic_length_power_candidate,Eq.34 denominator rebuilt with L^0 regardless of DOF rotational count.,False,1.0,16.394477563243775,16.394477563243775,1310.73848118134,79.95,1310.73848118134,16.394477563243775,15.394477563243775,15.394477563243775,102.62985042162518,102.62985042162518,0.0,FAIL,FAIL,16.394477563243775,neutral_or_not_evaluable,false,diagnostic-only until one shared A/B mapping and Eq.34 normalization convention passes all Wigley III coefficients without per-row fitting,diagnostic_ab_mapping_normalization_exclusion_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,A,2,2,length_power_1_eq34_scale,11,diagnostic_length_power_candidate,Eq.34 denominator rebuilt with L^1 regardless of DOF rotational count.,False,1.0,5.464825854414592,16.394477563243775,1310.73848118134,79.95,1310.73848118134,16.394477563243775,4.464825854414592,4.464825854414592,29.76550569609728,102.62985042162518,-72.8643447255279,FAIL,FAIL,5.464825854414592,improves_but_still_fails,false,diagnostic-only until one shared A/B mapping and Eq.34 normalization convention passes all Wigley III coefficients without per-row fitting,diagnostic_ab_mapping_normalization_exclusion_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,A,2,2,length_power_2_eq34_scale,12,diagnostic_length_power_candidate,Eq.34 denominator rebuilt with L^2 regardless of DOF rotational count.,False,1.0,1.8216086181381972,16.394477563243775,1310.73848118134,79.95,1310.73848118134,16.394477563243775,0.8216086181381972,0.8216086181381972,5.477390787587981,102.62985042162518,-97.1524596340372,FAIL,FAIL,1.8216086181381972,improves_but_still_fails,false,diagnostic-only until one shared A/B mapping and Eq.34 normalization convention passes all Wigley III coefficients without per-row fitting,diagnostic_ab_mapping_normalization_exclusion_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,A,2,2,per_coefficient_required_scale,99,diagnostic_per_coefficient_fit,Per-row scale raw/reference; exact by construction and never allowed as production default.,False,1.0,1.0,16.394477563243775,1310.73848118134,79.95,1310.73848118134,16.394477563243775,0.0,0.0,0.0,102.62985042162518,-102.62985042162518,PASS,FAIL,1.0,excluded_per_coefficient_fit_not_shared_convention,false,diagnostic-only until one shared A/B mapping and Eq.34 normalization convention passes all Wigley III coefficients without per-row fitting,diagnostic_ab_mapping_normalization_exclusion_not_hard_gate
ma2005_wigley_iii_coefficients,1,wigley_iii,Fn0.4,2.0,B33,B,2,2,current_ab_mapping_documented_eq34,0,baseline_current_default,Current A/B real-imaginary mapping with documented Eq.34 scale.,True,2.1,31.34727614033032,31.34727614033032,4531.249626901362,144.55002746065114,2157.737917572077,14.927274352538248,29.247276140330317,13.927274352538246,92.84849568358831,92.84849568358831,0.0,FAIL,FAIL,14.927274352538246,baseline_current_default,false,diagnostic-only until one shared A/B mapping and Eq.34 normalization convention passes all Wigley III coefficients without per-row fitting,diagnostic_ab_mapping_normalization_exclusion_not_hard_gate
ma2005_wigley_iii_coefficients,1,wigley_iii,Fn0.4,2.0,B33,B,2,2,total_raw_sign_flipped_documented_eq34,1,diagnostic_global_sign_flip,Whole raw coefficient sign flipped before applying documented Eq.34 scale.,False,2.1,-31.34727614033032,31.34727614033032,4531.249626901362,144.55002746065114,2157.737917572077,14.927274352538248,33.44727614033032,15.927274352538245,106.18182901692164,92.84849568358831,13.333333333333329,FAIL,FAIL,-14.927274352538246,worsens_this_coefficient,false,diagnostic-only until one shared A/B mapping and Eq.34 normalization convention passes all Wigley III coefficients without per-row fitting,diagnostic_ab_mapping_normalization_exclusion_not_hard_gate
ma2005_wigley_iii_coefficients,1,wigley_iii,Fn0.4,2.0,B33,B,2,2,reference_signed_abs_current_documented_eq34,2,diagnostic_sign_only_magnitude_kept,Current magnitude with reference sign; checks pure A/B sign selection without changing magnitude.,False,2.1,31.34727614033032,31.34727614033032,4531.249626901362,144.55002746065114,2157.737917572077,14.927274352538248,29.247276140330317,13.927274352538246,92.84849568358831,92.84849568358831,0.0,FAIL,FAIL,14.927274352538246,neutral_or_not_evaluable,false,diagnostic-only until one shared A/B mapping and Eq.34 normalization convention passes all Wigley III coefficients without per-row fitting,diagnostic_ab_mapping_normalization_exclusion_not_hard_gate
