benchmark,source_row,hull,speed_case,omega_e_sqrt_l_over_g,coefficient,candidate_name,candidate_order,candidate_description,candidate_is_current_default,candidate_recomputed_matched_bie,free_surface_normal_derivative_source,reference_value,computed_value,raw_computed_value,raw_to_reference_raw_ratio,abs_error,rel_error,tolerance,near_zero_abs_tolerance,effective_abs_tolerance,gate_error_ratio,current_default_gate_error_ratio,gate_ratio_delta_vs_current,error_metric,candidate_gate_status,matched_heave_free_surface_potential_norm_max,matched_pitch_free_surface_potential_norm_max,matched_heave_inner_free_surface_normal_derivative_norm_max,matched_pitch_inner_free_surface_normal_derivative_norm_max,matched_heave_free_surface_potential_increment_to_normal_derivative_gain_max,matched_heave_free_surface_potential_increment_normal_derivative_phase_deg_median,matched_selected_body_pressure_to_body_potential_gain_max,matched_selected_body_pressure_forward_to_time_norm_ratio_max,matched_selected_pressure_gradient_component_value,provider_route,provider_formulation,gate_role
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,current_raw,0,Current default: propagate the raw BIE-solved inner free-surface normal derivative.,True,False,raw,1.0,16.394477563243775,1310.73848118134,16.394477563243775,15.394477563243775,15.394477563243775,0.15,0.0,0.15,102.62985042162518,102.62985042162518,0.0,relative,FAIL,14.801988481198595,18.16103398142626,153.1375010836039,188.57999262945168,0.24730501705899274,180.0,103229.10728071503,55.694024401994064,0.0,matched_bie_station_sweep,matched_bie,diagnostic_free_surface_normal_derivative_source_candidate_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,real_part_only,1,Propagate only the real part of the BIE-solved free-surface normal derivative.,False,True,real_part_only,1.0,0.8817608140610868,70.49677708418389,0.8817608140610868,0.11823918593891325,0.11823918593891325,0.15,0.0,0.15,0.7882612395927551,102.62985042162518,-101.84158918203242,relative,PASS,0.0,17.762386177438312,2.8595274422591306,183.76800625737087,0.0,,104119.0856071051,56.17433840835891,0.0,matched_bie_station_sweep,matched_bie,diagnostic_free_surface_normal_derivative_source_candidate_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,imaginary_part_only,2,Propagate only the imaginary/quadrature part of the BIE-solved free-surface normal derivative.,False,True,imaginary_part_only,1.0,16.394477563243775,1310.73848118134,16.394477563243775,15.394477563243775,15.394477563243775,0.15,0.0,0.15,102.62985042162518,102.62985042162518,0.0,relative,FAIL,14.801988481198595,3.7842823042246336,153.1375010836039,42.35346780552949,0.24730501705899274,180.0,103229.10728071503,55.694024401994064,0.0,matched_bie_station_sweep,matched_bie,diagnostic_free_surface_normal_derivative_source_candidate_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,phase_lead_90,3,Rotate the BIE-solved free-surface normal derivative by +90 degrees before marching.,False,True,phase_lead_90,1.0,12.504359107988353,999.7235106836689,12.504359107988353,11.504359107988353,11.504359107988353,0.15,0.0,0.15,76.69572738658903,102.62985042162518,-25.93412303503615,relative,FAIL,1024.4461765531032,1648.8906471404905,19333.753151389774,31163.59132629471,0.06981215328394846,-55.286181308040035,104119.50610735502,56.17454560549904,2.5029153004061495,matched_bie_station_sweep,matched_bie,diagnostic_free_surface_normal_derivative_source_candidate_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,phase_lag_90,4,Rotate the BIE-solved free-surface normal derivative by -90 degrees before marching.,False,True,phase_lag_90,1.0,58.44265332295462,4672.490133170222,58.44265332295462,57.44265332295462,57.44265332295462,0.15,0.0,0.15,382.9510221530308,102.62985042162518,280.3211717314056,relative,FAIL,1024.4461765531032,1665.8154924458108,19333.753151389774,31442.54805121345,0.06981215328394846,55.286181308040035,104119.43294293943,56.17454560549904,-2.5029153004061495,matched_bie_station_sweep,matched_bie,diagnostic_free_surface_normal_derivative_source_candidate_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,body_velocity_norm_normalized,5,Keep the BIE-solved phase pattern but scale its norm to the local body normal-velocity norm.,False,True,body_velocity_norm_normalized,1.0,26.327331231768067,2104.870131979857,26.327331231768067,25.327331231768067,25.327331231768067,0.15,0.0,0.15,168.84887487845378,102.62985042162518,66.2190244568286,relative,FAIL,20.328128286023805,24.37569961092407,227.52776246562757,272.270131880832,0.743892620421307,180.0,107199.94154024622,57.83704125451623,0.0,matched_bie_station_sweep,matched_bie,diagnostic_free_surface_normal_derivative_source_candidate_not_hard_gate
ma2005_wigley_iii_coefficients,1,wigley_iii,Fn0.4,2.0,B33,current_raw,0,Current default: propagate the raw BIE-solved inner free-surface normal derivative.,True,False,raw,2.1,31.34727614033032,4531.249626901362,14.927274352538246,29.247276140330317,13.927274352538246,0.15,0.0,0.315,92.84849568358831,92.84849568358831,0.0,relative,FAIL,29.60397696239719,19.307654775987746,306.2750021672078,202.33864527512083,0.24730501705899274,180.0,103278.99932527242,27.847012200997032,31.774452682370107,matched_bie_station_sweep,matched_bie,diagnostic_free_surface_normal_derivative_source_candidate_not_hard_gate
ma2005_wigley_iii_coefficients,1,wigley_iii,Fn0.4,2.0,B33,real_part_only,1,Propagate only the real part of the BIE-solved free-surface normal derivative.,False,True,real_part_only,2.1,-0.013174356766349494,-1.9043536323522345,-0.0062735032220711875,2.1131743567663497,1.0062735032220713,0.15,0.0,0.315,6.7084900214804755,92.84849568358831,-86.14000566210784,relative,FAIL,0.0,17.762386177438312,5.719054884518261,183.77702083370315,0.0,,104168.55139299926,28.087169204179457,-3.6502789776073475e-06,matched_bie_station_sweep,matched_bie,diagnostic_free_surface_normal_derivative_source_candidate_not_hard_gate
ma2005_wigley_iii_coefficients,1,wigley_iii,Fn0.4,2.0,B33,imaginary_part_only,2,Propagate only the imaginary/quadrature part of the BIE-solved free-surface normal derivative.,False,True,imaginary_part_only,2.1,31.34727614033032,4531.249626901362,14.927274352538246,29.247276140330317,13.927274352538246,0.15,0.0,0.315,92.84849568358831,92.84849568358831,0.0,relative,FAIL,29.60397696239719,7.568564608449267,306.2750021672078,84.68960967439362,0.24730501705899274,180.0,103278.99932527242,27.847012200997032,31.774452682370107,matched_bie_station_sweep,matched_bie,diagnostic_free_surface_normal_derivative_source_candidate_not_hard_gate
ma2005_wigley_iii_coefficients,1,wigley_iii,Fn0.4,2.0,B33,phase_lead_90,3,Rotate the BIE-solved free-surface normal derivative by +90 degrees before marching.,False,True,phase_lead_90,2.1,155.99061998120925,22548.448401887792,74.28124761009964,153.89061998120926,73.28124761009964,0.15,0.0,0.315,488.54165073399764,92.84849568358831,395.69315505040936,relative,FAIL,2048.8923531062064,2529.3607273317452,38667.50630277955,47826.268658972964,0.06981215328394846,-55.286181308040035,104169.00825838714,28.08727280274952,182.62664082388733,matched_bie_station_sweep,matched_bie,diagnostic_free_surface_normal_derivative_source_candidate_not_hard_gate
