benchmark,source_row,hull,speed_case,omega_e_sqrt_l_over_g,coefficient,reference_value,mode_column,generalized_row,station_index,x_m,x_over_l,pitch_base_lever_arm_m,pitch_radiation_lever_arm_m,pitch_moment_lever_arm_m,pitch_moment_to_radiation_lever_ratio,pitch_moment_minus_base_lever_m,pitch_radiation_minus_base_lever_m,pitch_body_condition_oscillation_norm,pitch_body_condition_forward_speed_norm,pitch_body_condition_forward_to_oscillation_norm_ratio,pitch_body_condition_forward_oscillation_real_alignment,pitch_body_condition_forward_oscillation_phase_deg,total_density_value_per_m,time_derivative_density_value_per_m,pressure_gradient_density_value_per_m,stokes_body_forward_density_value_per_m,gate_role
ma2005_wigley_iii_coefficients,2,wigley_iii,Fn0.4,1.5,A35,-0.2,pitch,heave_force,0,0.075,0.024999999999999998,1.425,1.425,1.425,1.0,0.0,0.0,4.049916241217168,2.2736371880517434,0.5614035087719299,0.0,-90.0,49.53403685198974,0.009622735007735847,49.524414116981994,0.0,diagnostic_pitch_generalized_force_coordinate_audit_not_hard_gate
ma2005_wigley_iii_coefficients,2,wigley_iii,Fn0.4,1.5,A35,-0.2,pitch,heave_force,1,0.15,0.049999999999999996,1.35,1.35,1.35,1.0,0.0,0.0,4.276228122146098,2.5340611094199104,0.5925925925925926,0.0,-90.0,23.50523557124989,-1.5139320142586934,25.019167585508583,0.0,diagnostic_pitch_generalized_force_coordinate_audit_not_hard_gate
ma2005_wigley_iii_coefficients,2,wigley_iii,Fn0.4,1.5,A35,-0.2,pitch,heave_force,2,0.22499999999999998,0.075,1.275,1.275,1.275,1.0,0.0,0.0,4.574191365263361,2.8700808566358345,0.627450980392157,0.0,-90.0,-18.96105465979013,-2.005416790543288,-16.955637869246846,0.0,diagnostic_pitch_generalized_force_coordinate_audit_not_hard_gate
ma2005_wigley_iii_coefficients,2,wigley_iii,Fn0.4,1.5,A35,-0.2,pitch,heave_force,3,0.3,0.09999999999999999,1.2,1.2,1.2,1.0,0.0,0.0,4.836507057765648,3.224338038510433,0.6666666666666669,0.0,-90.0,-37.03572582633693,-2.060582295212073,-34.97514353112486,0.0,diagnostic_pitch_generalized_force_coordinate_audit_not_hard_gate
ma2005_wigley_iii_coefficients,2,wigley_iii,Fn0.4,1.5,A35,-0.2,pitch,heave_force,4,0.375,0.125,1.125,1.125,1.125,1.0,0.0,0.0,5.013866233636912,3.5654159883640264,0.711111111111111,0.0,-90.0,-30.948912420439196,-0.827542108914897,-30.1213703115243,0.0,diagnostic_pitch_generalized_force_coordinate_audit_not_hard_gate
ma2005_wigley_iii_coefficients,2,wigley_iii,Fn0.4,1.5,A35,-0.2,pitch,heave_force,5,0.44999999999999996,0.15,1.05,1.05,1.05,1.0,0.0,0.0,5.088178100544395,3.8767071242243016,0.761904761904762,0.0,-90.0,-4.785406081519662,-0.8593382321359879,-3.9260678493836743,0.0,diagnostic_pitch_generalized_force_coordinate_audit_not_hard_gate
ma2005_wigley_iii_coefficients,2,wigley_iii,Fn0.4,1.5,A35,-0.2,pitch,heave_force,6,0.525,0.17500000000000002,0.975,0.975,0.975,1.0,0.0,0.0,5.062004128812338,4.1534392851793545,0.8205128205128206,0.0,-90.0,-3.5833745813223907,-0.9785296122384591,-2.604844969083931,0.0,diagnostic_pitch_generalized_force_coordinate_audit_not_hard_gate
ma2005_wigley_iii_coefficients,2,wigley_iii,Fn0.4,1.5,A35,-0.2,pitch,heave_force,7,0.6,0.19999999999999998,0.9,0.9,0.9,1.0,0.0,0.0,4.945799451459793,4.396266179075372,0.888888888888889,0.0,-90.0,-3.9721726297761415,-1.0602567538477041,-2.911915875928438,0.0,diagnostic_pitch_generalized_force_coordinate_audit_not_hard_gate
ma2005_wigley_iii_coefficients,2,wigley_iii,Fn0.4,1.5,A35,-0.2,pitch,heave_force,8,0.6749999999999999,0.22499999999999998,0.8250000000000001,0.8250000000000001,0.8250000000000001,1.0,0.0,0.0,4.751442844430901,4.607459727932995,0.9696969696969697,0.0,-90.0,-3.9264334203582005,-1.124562083313842,-2.8018713370443584,0.0,diagnostic_pitch_generalized_force_coordinate_audit_not_hard_gate
ma2005_wigley_iii_coefficients,2,wigley_iii,Fn0.4,1.5,A35,-0.2,pitch,heave_force,9,0.75,0.25,0.75,0.75,0.75,1.0,0.0,0.0,4.490464531713857,4.789828833828114,1.0666666666666667,0.0,-90.0,-3.781301908930428,-1.177464479233812,-2.603837429696616,0.0,diagnostic_pitch_generalized_force_coordinate_audit_not_hard_gate
