omega_e_sqrt_L_g,amplitude,incident_amplitude,diffraction_amplitude,condition,residual
2.0,16.825557053201184,15.152151857302709,2.5412911471505826,6364954.632249405,2.123226563805194e-15
3.0,10.026257460309987,8.856570386297957,1.7913138576108323,6364954.632249405,2.2904604238029423e-15
4.0,4.056622973596187,2.4031086788129286,1.78535924633412,6364954.632249405,1.8889376473728592e-15
