component,omega_rad_s,speed_mps,row_dof,col_dof,row_index,col_index,added_mass_coefficient,damping_coefficient,added_mass_value,damping_value,dynamic_operator_real,dynamic_operator_imag,assembly_method,section_solver,status
main_radiation,1.0,2.0,heave,heave,2,2,A33,B33,3715.987447975705,20150.825844433475,-3715.987447975705,20150.825844433475,continuous_gradient,pdstrip_style,experimental_pdstrip_like_forward_speed_assembly_not_validated
main_radiation,1.0,2.0,heave,pitch,2,4,A35,B35,-43691.961914233856,16119.966485856445,43691.961914233856,16119.966485856445,continuous_gradient,pdstrip_style,experimental_pdstrip_like_forward_speed_assembly_not_validated
main_radiation,1.0,2.0,pitch,heave,4,2,A53,B53,-3390.310225366908,8687.991589905036,3390.310225366908,8687.991589905036,continuous_gradient,pdstrip_style,experimental_pdstrip_like_forward_speed_assembly_not_validated
main_radiation,1.0,2.0,pitch,pitch,4,4,A55,B55,21126.68435453144,135463.4420492344,-21126.68435453144,135463.4420492344,continuous_gradient,pdstrip_style,experimental_pdstrip_like_forward_speed_assembly_not_validated
forward_gradient,1.0,2.0,heave,heave,2,2,A33,B33,-4342.446993625395,841.9650228781826,4342.446993625395,841.9650228781826,continuous_gradient,pdstrip_style,experimental_pdstrip_like_forward_speed_assembly_not_validated
forward_gradient,1.0,2.0,heave,pitch,2,4,A35,B35,-19703.600885358832,-6161.182948203894,19703.600885358832,-6161.182948203894,continuous_gradient,pdstrip_style,experimental_pdstrip_like_forward_speed_assembly_not_validated
forward_gradient,1.0,2.0,pitch,heave,4,2,A53,B53,19936.494588784662,-5336.657785110587,-19936.494588784662,-5336.657785110587,continuous_gradient,pdstrip_style,experimental_pdstrip_like_forward_speed_assembly_not_validated
forward_gradient,1.0,2.0,pitch,pitch,4,4,A55,B55,-79153.9413425223,65513.823206249785,79153.9413425223,65513.823206249785,continuous_gradient,pdstrip_style,experimental_pdstrip_like_forward_speed_assembly_not_validated
total,1.0,2.0,heave,heave,2,2,A33,B33,-626.4595456496904,20992.790867311658,626.4595456496904,20992.790867311658,continuous_gradient,pdstrip_style,experimental_pdstrip_like_forward_speed_assembly_not_validated
total,1.0,2.0,heave,pitch,2,4,A35,B35,-63395.56279959269,9958.78353765255,63395.56279959269,9958.78353765255,continuous_gradient,pdstrip_style,experimental_pdstrip_like_forward_speed_assembly_not_validated
total,1.0,2.0,pitch,heave,4,2,A53,B53,16546.184363417753,3351.333804794449,-16546.184363417753,3351.333804794449,continuous_gradient,pdstrip_style,experimental_pdstrip_like_forward_speed_assembly_not_validated
total,1.0,2.0,pitch,pitch,4,4,A55,B55,-58027.25698799086,200977.2652554842,58027.25698799086,200977.2652554842,continuous_gradient,pdstrip_style,experimental_pdstrip_like_forward_speed_assembly_not_validated
