matrix_contract,grid_label,omega_e_sqrt_l_over_g,solver_omega_rad_s,solver_frequency_role,encounter_omega_rad_s,encounter_frequency_role,speed_mps,fn_l,row_dof,col_dof,source_row_index_zero_based,source_col_index_zero_based,added_mass_coefficient,radiation_damping_coefficient,added_mass_dimensional,added_mass_unit,added_mass_nondimensional,radiation_damping_dimensional,radiation_damping_unit,radiation_damping_nondimensional,complex_force_real,complex_force_imag,force_harmonic_convention,matrix_reconstruction_relative_residual,provider_route,force_assembly_route,station_x_origin,pitch_moment_origin,geometry_vertical_axis,reported_heave_force_axis,pitch_lever_expression,added_mass_reference_value,added_mass_reference_status,damping_reference_value,damping_reference_status,empirical_output_scaling_used
heave_pitch_2x2_v1,base,2.0,3.616010693199528,A1_encounter_circular_frequency,3.616010693199528,same_as_solver_frequency_for_radiation_problem,2.1696064159197173,0.4,heave,heave,2,2,A33,B33,86.04114714281398,kg,1.0761869561327577,270.2063333621579,kg/s,1.869292853892487,1125.0338875041023,-977.0689908077994,F=omega^2*A-i*omega*B,6.903509147763881e-17,matched_bie_station_sweep,eq32_stokes_body_plus_end,aft_perpendicular,longitudinal_center_of_gravity,positive_down,positive_up,LCG-x_station,1.07,PASS,,NO_REFERENCE_AT_FREQUENCY,False
heave_pitch_2x2_v1,base,2.0,3.616010693199528,A1_encounter_circular_frequency,3.616010693199528,same_as_solver_frequency_for_radiation_problem,2.1696064159197173,0.4,heave,pitch,2,4,A35,B35,-40.57433090794679,kg*m,-0.1691654405167679,92.4337944732264,kg*m/s,0.2131529503361466,-530.5310162645551,-334.24158922819413,F=omega^2*A-i*omega*B,6.903509147763881e-17,matched_bie_station_sweep,eq32_stokes_body_plus_end,aft_perpendicular,longitudinal_center_of_gravity,positive_down,positive_up,LCG-x_station,,NO_REFERENCE_AT_FREQUENCY,,NO_REFERENCE_AT_FREQUENCY,False
heave_pitch_2x2_v1,base,2.0,3.616010693199528,A1_encounter_circular_frequency,3.616010693199528,same_as_solver_frequency_for_radiation_problem,2.1696064159197173,0.4,pitch,heave,4,2,A53,B53,44.72292709054241,kg*m,0.1864620683366371,-76.25574611879075,kg*m/s,-0.1758462622673404,584.7761239366237,275.7415933834558,F=omega^2*A-i*omega*B,6.903509147763881e-17,matched_bie_station_sweep,eq32_stokes_body_plus_end,aft_perpendicular,longitudinal_center_of_gravity,positive_down,positive_up,LCG-x_station,0.19,PASS,,NO_REFERENCE_AT_FREQUENCY,False
heave_pitch_2x2_v1,base,2.0,3.616010693199528,A1_encounter_circular_frequency,3.616010693199528,same_as_solver_frequency_for_radiation_problem,2.1696064159197173,0.4,pitch,pitch,4,4,A55,B55,34.84442074190103,kg*m^2,0.04842529461733171,107.39414199976314,kg*m^2/s,0.082550537374795,455.6093848914183,-388.3383658581321,F=omega^2*A-i*omega*B,6.903509147763881e-17,matched_bie_station_sweep,eq32_stokes_body_plus_end,aft_perpendicular,longitudinal_center_of_gravity,positive_down,positive_up,LCG-x_station,,NO_REFERENCE_AT_FREQUENCY,,NO_REFERENCE_AT_FREQUENCY,False
heave_pitch_2x2_v1,base,2.23,4.031851922917474,A1_encounter_circular_frequency,4.031851922917474,same_as_solver_frequency_for_radiation_problem,2.1696064159197173,0.4,heave,heave,2,2,A33,B33,75.74058184803516,kg,0.9473493664544735,294.46261501127344,kg/s,2.0370982986594792,1231.2260171946702,-1187.2296605605106,F=omega^2*A-i*omega*B,0.0,matched_bie_station_sweep,eq32_stokes_body_plus_end,aft_perpendicular,longitudinal_center_of_gravity,positive_down,positive_up,LCG-x_station,0.941,PASS,2.05,PASS,False
heave_pitch_2x2_v1,base,2.23,4.031851922917474,A1_encounter_circular_frequency,4.031851922917474,same_as_solver_frequency_for_radiation_problem,2.1696064159197173,0.4,heave,pitch,2,4,A35,B35,-31.017957607379675,kg*m,-0.12932231647854772,71.92709227926535,kg*m/s,0.16586435746578018,-504.22264358981704,-289.99938531601856,F=omega^2*A-i*omega*B,0.0,matched_bie_station_sweep,eq32_stokes_body_plus_end,aft_perpendicular,longitudinal_center_of_gravity,positive_down,positive_up,LCG-x_station,-0.125,PASS,0.163,PASS,False
heave_pitch_2x2_v1,base,2.23,4.031851922917474,A1_encounter_circular_frequency,4.031851922917474,same_as_solver_frequency_for_radiation_problem,2.1696064159197173,0.4,pitch,heave,4,2,A53,B53,34.66733620892902,kg*m,0.1445375701852367,-52.51084048593615,kg*m/s,-0.12109035053678434,563.5463214807021,211.71593318723438,F=omega^2*A-i*omega*B,0.0,matched_bie_station_sweep,eq32_stokes_body_plus_end,aft_perpendicular,longitudinal_center_of_gravity,positive_down,positive_up,LCG-x_station,0.145,PASS,-0.106,PASS,False
heave_pitch_2x2_v1,base,2.23,4.031851922917474,A1_encounter_circular_frequency,4.031851922917474,same_as_solver_frequency_for_radiation_problem,2.1696064159197173,0.4,pitch,pitch,4,4,A55,B55,32.03039315150736,kg*m^2,0.04451447870406137,91.94644946335204,kg*m^2/s,0.070676376491009,520.6806236085563,-370.71446907425025,F=omega^2*A-i*omega*B,0.0,matched_bie_station_sweep,eq32_stokes_body_plus_end,aft_perpendicular,longitudinal_center_of_gravity,positive_down,positive_up,LCG-x_station,0.0458,PASS,0.0703,PASS,False
heave_pitch_2x2_v1,refined,2.0,3.616010693199528,A1_encounter_circular_frequency,3.616010693199528,same_as_solver_frequency_for_radiation_problem,2.1696064159197173,0.4,heave,heave,2,2,A33,B33,85.86937017040044,kg,1.0740384011307123,270.71215710834315,kg/s,1.8727921527516513,1122.78781197541,-978.8980548828795,F=omega^2*A-i*omega*B,0.0,matched_bie_station_sweep,eq32_stokes_body_plus_end,aft_perpendicular,longitudinal_center_of_gravity,positive_down,positive_up,LCG-x_station,1.07,PASS,,NO_REFERENCE_AT_FREQUENCY,False
heave_pitch_2x2_v1,refined,2.0,3.616010693199528,A1_encounter_circular_frequency,3.616010693199528,same_as_solver_frequency_for_radiation_problem,2.1696064159197173,0.4,heave,pitch,2,4,A35,B35,-40.28014639636448,kg*m,-0.167938905133894,91.87647290702331,kg*m/s,0.21186776306455235,-526.6843968772102,-332.226308485253,F=omega^2*A-i*omega*B,0.0,matched_bie_station_sweep,eq32_stokes_body_plus_end,aft_perpendicular,longitudinal_center_of_gravity,positive_down,positive_up,LCG-x_station,,NO_REFERENCE_AT_FREQUENCY,,NO_REFERENCE_AT_FREQUENCY,False
