iteration,pseudo_time,kinematic_rms,dipole_coefficient,root_angle_deg,accepted_time_step,maximum_displacement_ratio
0,0.0,1.8035268119089887,5.632601274877086,26.255219754298288,,
1,2.356425341133833e-05,1.8065032812570923,5.6330483561388975,25.590775903626085,2.356425341133833e-05,0.00992130376819174
2,4.6973240007916996e-05,1.8038464114955346,5.6335193147316165,24.929774470326993,2.340898659657866e-05,0.00992784687269515
3,7.04164581741639e-05,1.8011869686933248,5.633987178003537,24.269876116972213,2.3443218166246915e-05,0.009933778263821384
4,9.38949677245498e-05,1.798525716125348,5.634451991308848,23.611068940299756,2.3478509550385902e-05,0.009939443096033822
5,0.00011740982904023392,1.7958631018896922,5.634913794826034,22.953340486639682,2.351486131568412e-05,0.009944844046041807
6,0.00014096209838359832,1.7931995576053192,5.635372630024875,22.29667800188828,2.3552269343364406e-05,0.009949983841570136
7,0.0001645528270809936,1.7905354988875506,5.635828539602867,21.641068475622074,2.359072869739529e-05,0.00995486521157643
8,0.0001881830607073275,1.78787132574216,5.636281567393083,20.98649868300675,2.3630233626333908e-05,0.009959490878904563
9,0.00021185383827264216,1.7852074229762733,5.636731758319927,20.332955224473654,2.3670777565314655e-05,0.009963863553414932
10,0.00023556619141160994,1.7825441606231893,5.637179158302689,19.680424563186143,2.3712353138967778e-05,0.009967985925747486
11,0.0002593211435769013,1.7798818943774626,5.637623814192896,19.028893060328695,2.3754952165291376e-05,0.009971860661588757
12,0.00028311970923742055,1.7772209660383405,5.638065773716393,18.378347008231447,2.3798565660519237e-05,0.009975490396630343
13,0.0003069628930824344,1.774561703957001,5.638505085372509,17.728772661376706,2.3843183845013803e-05,0.009978877731898001
14,0.0003308516892326572,1.7719044234868415,5.6389417983931605,17.080156265307984,2.3888796150222797e-05,0.009982025229721922
15,0.0003547870804593837,1.769249427432791,5.639375962650353,16.432484083467553,2.393539122672654e-05,0.009984935410233698
16,0.000378770037412785,1.7665970064979892,5.639807628592219,15.78574242201744,2.3982956953401316e-05,0.009987610748328319
17,0.0004028015178605138,1.7639474397264274,5.640236847185021,15.139917652658449,2.4031480447728772e-05,0.009990053671159207
18,0.000426882465937791,1.761300994937701,5.640663669822804,14.494996233500993,2.408094807727722e-05,0.00999226655609201
19,0.00045101381141015565,1.7586579291542346,5.641088148282688,13.850964728012517,2.4131345472364606e-05,0.009994251729141694
20,0.00047519646895008416,1.756018489018004,5.641510334640538,13.207809822100032,2.41826575399285e-05,0.009996011463844065
