eta,xi,pressure_coefficient
-0.9877165523502097,0.033748495050851764,5.744739166721562
-0.9631496570506293,0.1012454851525551,5.942224116986556
-0.9385827617510487,0.16874247525425845,6.051060161689269
-0.9140158664514682,0.23623946535596196,6.104924599938505
-0.8894489711518876,0.3037364554576653,6.14173864937853
-0.8648820758523071,0.37123344555936866,6.171507154471345
-0.8403151805527266,0.43873043566107217,6.198144663006963
-0.8157482852531461,0.5062274257627755,6.223517070929857
-0.7911813899535656,0.5737244158644789,6.248643794890812
-0.7666144946539849,0.6412214059661824,6.274147773664012
-0.7420475993544045,0.7087183960678858,6.30044985512275
-0.717480704054824,0.7762153861695891,6.327861692823843
-0.6929138087552434,0.8437123762712926,6.356633803403708
-0.6683469134556629,0.9112093663729959,6.386982223843253
-0.6437800181560823,0.9787063564746992,6.419104352964354
-0.6192131228565018,1.046203346576403,6.453189092003909
-0.5946462275569213,1.1137003366781062,6.489423898263607
-0.5700793322573408,1.1811973267798095,6.528000157807669
-0.5455124369577602,1.248694316881513,6.569117675360753
-0.5209455416581796,1.3161913069832163,6.612988765556896
-0.4963786463585992,1.3836882970849196,6.6598422664964705
-0.4718117510590186,1.4511852871866233,6.7099277147082095
-0.4472448557594381,1.5186822772883266,6.7635198855158825
-0.4226779604598576,1.58617926739003,6.820923897340526
-0.3981110651602771,1.6536762574917332,6.882481094735606
-0.37354416986069655,1.7211732475934367,6.948575960411915
-0.348977274561116,1.7886702376951402,7.019644362205192
-0.32441037926153554,1.8561672277968433,7.096183520894901
-0.299843483961955,1.923664217898547,7.178764196134872
-0.2752765886623744,1.9911612080002503,7.268045741434735
-0.250709693362794,2.058658198101954,7.364794891162999
-0.2261427980632134,2.1261551882036573,7.469909435906037
-0.20157590276363285,2.193652178305361,7.584448349580834
-0.1770090074640524,2.261149168407064,7.709670496733527
-0.1524421121644718,2.3286461585087674,7.847084828071331
-0.12787521686489117,2.396143148610471,7.998516027132414
-0.10330832156531067,2.463640138712174,8.166190927690476
-0.07874142626573016,2.5311371288138775,8.35285253992641
-0.05417453096614966,2.598634118915581,8.56190946598782
-0.0296076356665691,2.666131109017284,8.797626116565226
-0.005040740366988594,2.7336280991189876,9.065343989525541
0.01952615493259191,2.801125089220691,9.37166295253274
0.04409305023217247,2.868622079322395,9.724277564381044
0.06865994553175292,2.936119069424098,10.130215912799347
0.09322684083133337,3.0036160595258012,10.586763607853694
0.11779373613091393,3.071113049627505,11.031480886664575
0.1423606314304945,3.1386100397292083,10.894564036075558
0.16692752673007505,3.2061070298309113,8.331021513873438
