sweep,far_radius,pseudo_cfl,grid_mode,root_spacing_ratio,far_spacing_ratio,endpoint_decay,coarse_run,fine_run,coarse_level,fine_level,coarse_kinematic_integral,fine_kinematic_integral,kinematic_integral_relative_change,outer_panels
outer_panels,20.0,0.25,double_ended,0.04,0.25,4.0,self_similar_wedge_20deg_true_doubleended80_root004_r20_probe12_v140,self_similar_wedge_20deg_connected_true_double80_root004_r20_probe12_v143,80.0,80.0,0.00434290396217991,0.003616603479316304,0.20082391863453838,
far_radius,,0.25,double_ended,0.04,0.25,4.0,self_similar_wedge_20deg_true_doubleended80_root004_r20_probe12_v140,self_similar_wedge_20deg_connected_true_double80_root004_r20_probe12_v143,20.0,20.0,0.00434290396217991,0.003616603479316304,0.20082391863453838,80.0
pseudo_cfl,20.0,,double_ended,0.04,0.25,4.0,self_similar_wedge_20deg_true_doubleended80_root004_r20_probe12_v140,self_similar_wedge_20deg_connected_true_double80_root004_r20_probe12_v143,0.25,0.25,0.00434290396217991,0.003616603479316304,0.20082391863453838,80.0
