iteration,s_lambda,relative_change
0,1.687853135654558,0.0
1,2.21398908856454,0.3117190363283258
2,2.5738199504348573,0.16252603218727563
3,2.794073017499911,0.08557438799393909
4,2.922862492226117,0.04609381140706366
5,2.996617824223769,0.02523393837165365
6,3.038425225606657,0.013951529302445432
7,3.0619959210051517,0.00775753676603593
8,3.075246379457508,0.004327392587775427
9,3.0826833859162246,0.002418344919742177
10,3.086853841263233,0.0013528652880999
11,3.0891913607936803,0.000757249824789495
