eta,xi,pressure_coefficient,potential,normal_derivative,segment
-0.9837861963073086,0.04454705952913969,7.538811237748365,-3.288082247874838,-0.9396926207859084,body
-0.9513585889219258,0.13364117858741884,7.556257260349329,-3.317685271851478,-0.9396926207859084,body
-0.918930981536543,0.222735297645698,7.563914364753148,-3.337989515118482,-0.9396926207859084,body
-0.8865033741511601,0.31182941670397735,7.573507170566883,-3.35312735049533,-0.9396926207859084,body
-0.8540757667657773,0.4009235357622565,7.5857905956131235,-3.3641393439204657,-0.9396926207859084,body
-0.8216481593803946,0.4900176548205356,7.600953724882745,-3.371542516301403,-0.9396926207859084,body
-0.7892205519950117,0.579111773878815,7.6190855844379115,-3.375644085363859,-0.9396926207859084,body
-0.7567929446096289,0.6682058929370942,7.640255243646706,-3.3766440992534026,-0.9396926207859084,body
-0.7243653372242461,0.7573000119953732,7.664532832744954,-3.3746796181034435,-0.9396926207859084,body
-0.6919377298388633,0.8463941310536527,7.69199725240822,-3.3698468571769236,-0.9396926207859084,body
-0.6595101224534805,0.9354882501119319,7.7227401102216495,-3.3622134313800185,-0.9396926207859084,body
-0.6270825150680978,1.024582369170211,7.756868407571092,-3.351825602526997,-0.9396926207859084,body
-0.5946549076827149,1.1136764882284904,7.794506799372445,-3.338712776696323,-0.9396926207859084,body
-0.5622273002973321,1.2027706072867694,7.835799767753155,-3.322890380229725,-0.9396926207859084,body
-0.5297996929119493,1.2918647263450487,7.880913896830896,-3.30436172074391,-0.9396926207859084,body
-0.4973720855265664,1.380958845403328,7.93004038237175,-3.2831191758516933,-0.9396926207859084,body
-0.4649444781411836,1.4700529644616072,7.983397892397255,-3.2591449103230503,-0.9396926207859084,body
-0.4325168707558008,1.5591470835198864,8.041235893813708,-3.232411241570202,-0.9396926207859084,body
-0.40008926337041795,1.6482412025781656,8.103838569532254,-3.2028807247411315,-0.9396926207859084,body
-0.3676616559850352,1.7373353216364449,8.171529469169359,-3.170505997721331,-0.9396926207859084,body
-0.33523404859965245,1.826429440694724,8.244677064179491,-3.1352294051321667,-0.9396926207859084,body
-0.3028064412142696,1.9155235597530034,8.323701417686955,-3.0969824045085748,-0.9396926207859084,body
-0.2703788338288868,2.0046176788112824,8.409082232049283,-3.0556847445047954,-0.9396926207859084,body
-0.23795122644350397,2.0937117978695614,8.50136860829772,-3.011243392358047,-0.9396926207859084,body
-0.20552361905812117,2.182805916927841,8.601190946504207,-2.9635511744612533,-0.9396926207859084,body
-0.1730960116727383,2.2719000359861203,8.709275543592309,-2.9124850783661227,-0.9396926207859084,body
-0.14066840428735544,2.3609941550443994,8.826462617216027,-2.8579041452915614,-0.9396926207859084,body
-0.10824079690197275,2.4500882741026784,8.953728718722155,-2.7996468572564215,-0.9396926207859084,body
-0.07581318951658989,2.539182393160958,9.092214820270764,-2.7375278895384594,-0.9396926207859084,body
-0.04338558213120702,2.6282765122192373,9.243261807982503,-2.6713340532968015,-0.9396926207859084,body
-0.010957974745824384,2.7173706312775163,9.408455739331746,-2.600819188905666,-0.9396926207859084,body
0.021469632639558478,2.8064647503357953,9.589686109180608,-2.5256976786406353,-0.9396926207859084,body
0.05389724002494134,2.895558869394075,9.789221635702837,-2.4456361133399525,-0.9396926207859084,body
0.08632484741032409,2.984652988452354,10.009809901800937,-2.360242448121843,-0.9396926207859084,body
0.11875245479570695,3.0737471075106333,10.254809830296875,-2.2690516783714862,-0.9396926207859084,body
0.1511800621810898,3.1628412265689123,10.528369797338076,-2.1715065928499153,-0.9396926207859084,body
0.18360766956647268,3.2519353456271913,10.835669663988728,-2.06693139952924,-0.9396926207859084,body
0.21603527695185543,3.341029464685471,11.183252555215816,-1.95449475959077,-0.9396926207859084,body
0.24846288433723818,3.4301235837437503,11.579481576275581,-1.833156604239542,-0.9396926207859084,body
0.28089049172262104,3.5192177028020293,12.035164479332703,-1.7015892520689277,-0.9396926207859084,body
0.3133180991080038,3.6083118218603083,12.564380530758804,-1.558056134921629,-0.9396926207859084,body
0.34574570649338654,3.6974059409185873,13.18546032236929,-1.4002172247979154,-0.9396926207859084,body
0.3781733138787694,3.7865000599768672,13.921688758826061,-1.2248004481307433,-0.9396926207859084,body
0.41060092126415226,3.8755941790351462,14.799732517154549,-1.0270113641198428,-0.9396926207859084,body
0.4430285286495351,3.9646882980934253,15.837139861088772,-0.799391273758753,-0.9396926207859084,body
0.475456136034918,4.053782417151705,16.979615346977276,-0.5294212150761768,-0.9396926207859084,body
0.5078837434203007,4.142876536209984,17.797983682483046,-0.194243630071546,-0.9396926207859084,body
0.5403113508056835,4.231970655268263,16.22896415223572,0.24825499307453452,-0.9396926207859084,body
0.5593483345609049,4.284274338270258,12.379497011747745,0.5567201918568458,-0.9396926207859084,shallow_jet_body
0.5649946946859647,4.299787585215969,10.685663295648617,0.6667615629762145,-0.9396926207859084,shallow_jet_body
