node,y_over_Vt,z_over_Vt,supplied_psi_over_V2,similarity_psi_over_V2,difference_over_V2
0,4.448403090024299,0.6190863147866427,-46.81264138290688,-39.706658650382465,-7.105982732524417
1,4.525025031612039,0.33560685547845825,-3.5613972935163787,-2.742953572885515,-0.8184437206308637
2,4.793502316408756,0.20542339847960928,-1.55989943985968,-3.242362939336221,1.6824634994765413
3,5.08538853511536,0.16702880667185646,-1.6239733188634289,-3.039316733322596,1.415343414459167
4,5.381458051654203,0.15775872889947049,-1.1542215346876985,-1.4626221387187517,0.3084006040310532
5,5.676709543808863,0.14146797967599228,-0.7358645952655943,-0.6349048442040459,-0.10095975106154842
6,5.9703660756699435,0.10726730876672456,-0.4835270119952155,-0.49605009060687355,0.012523078611658023
7,6.312606911628791,0.1104194172679808,-0.556525556761061,-0.5794016466675062,0.022876089906445185
8,6.706360471574703,0.07043152585508718,-0.2417561456358049,-0.18761169283259893,-0.054144452803205956
9,7.164285087882634,0.08145916787371679,-0.3847896946908119,-0.4317858616450726,0.046996166954260676
10,7.692623497017125,0.04514546976445739,-0.13488035667328743,-0.1034312555248683,-0.03144910114841913
11,8.304758681999031,0.07120253815915797,-0.27159701842551986,-0.3064927055637754,0.03489568713825553
12,9.01126332950845,0.015521476317753018,-0.06301489439159765,-0.01977470151907096,-0.043240192872526687
13,9.830053728903094,0.05985616354177693,-0.19249907352104015,-0.23778804735680434,0.04528897383576419
14,10.776564331321092,-7.798091344886345e-05,-0.027567146039214466,0.008340632661973355,-0.03590777870118782
15,11.872221339144383,0.05611647094550356,-0.13637571845713414,-0.17207987327318214,0.035704154816047995
16,13.138890143968963,-0.02134059036317203,-0.00494431468155889,0.031909971754024324,-0.036854286435583215
17,14.604901229109077,0.0566281671171275,-0.0942116238726181,-0.14599785438242116,0.05178623050980306
18,16.301069132205495,-0.02670777463856118,-0.001837238632011195,0.058861557223508776,-0.060698795855519974
19,18.26429786264726,0.04050977327318068,-0.05468279965113236,-0.11145657074200313,0.05677377109087077
20,20.535809998558864,-0.01476475023709057,-0.007737359320119491,0.041877629513464666,-0.04961498883358416
21,23.16384966934084,0.020295215454558844,-0.02739330962944564,-0.06274353422719875,0.03535022459775311
22,26.203953199360022,-0.003704559938117416,-0.009798886869899501,0.013829161800315931,-0.02362804867021543
23,29.72065265116383,0.00821523715108471,-0.013673937664951735,-0.027536123788854283,0.013862186123902548
24,33.7885869299668,0.0006995658547086878,-0.007964834647466319,-0.00041637159157528227,-0.007548463055891037
25,38.494155228093234,0.0033089535234889908,-0.007469743851506588,-0.011212471748781053,0.0037427278972744643
26,43.937297083321525,0.0013784297795500502,-0.005369106195138552,-0.003648923418993272,-0.0017201827761452802
27,50.23362367963559,0.0015729294100732517,-0.004378039935772067,-0.005103767677721252,0.000725727741949185
28,57.516866876630694,0.0010423577758211348,-0.003347476805783651,-0.0030644073547212184,-0.00028306945106243257
29,65.94172081768382,0.0008772462253108556,-0.0026288967009301905,-0.0027284619540175296,9.956525308733909e-05
30,75.68712705726729,0.0006751412032787896,-0.0020760708346971076,-0.002044114979856084,-3.1955854841023666e-05
31,86.96007534558957,0.0005600051775907747,-0.0017036067876935992,-0.001711554779757786,7.947992064186778e-06
32,99.99999999999996,0.0005844330626853449,-0.0017358410895636923,-0.001719126340378599,-1.6714749185093225e-05
