"id","url","local_path","status","bytes","attempts","last_error"
"lit_stf_1970","https://trid.trb.org/View/495","D:\Projects\20260601-Potential-flow-ship\early_stage_materials\literature\textbooks_surveys\STF_1970_TRID495.html","ok","49658","2",""
"lit_faltinsen_sea_loads","https://www.osti.gov/biblio/5464335","D:\Projects\20260601-Potential-flow-ship\early_stage_materials\literature\textbooks_surveys\Faltinsen_Sea_Loads_OSTI.html","ok","47964","2",""
"lit_faltinsen_hsmv_preview","https://api.pageplace.de/preview/DT0400.9780511133633_A23689594/preview-9780511133633_A23689594.pdf","D:\Projects\20260601-Potential-flow-ship\early_stage_materials\literature\textbooks_surveys\Faltinsen_HSMV_preview.pdf","ok","683657","2",""
"lit_ma_2005","https://doi.org/10.1016/j.oceaneng.2004.08.012","D:\Projects\20260601-Potential-flow-ship\early_stage_materials\literature\high_speed_displacement\Ma_2005_2.5D.pdf","paywall","0","32",""
"lit_arribas_2006","https://doi.org/10.1016/j.oceaneng.2005.09.008","D:\Projects\20260601-Potential-flow-ship\early_stage_materials\literature\semi_displacement\Arribas_2006.pdf","paywall","0","32",""
"lit_kring_1994","https://dspace.mit.edu/bitstream/handle/1721.1/11939/31384162-MIT.pdf?sequence=2&isAllowed=y","D:\Projects\20260601-Potential-flow-ship\early_stage_materials\literature\textbooks_surveys\Kring_1994_MIT.pdf","failed","0","118","curl=22; web=Exception calling ""DownloadFile"" with ""2"" argument(s): ""The remote server returned an error: (500) Internal Server Error."""
"lit_donatini_2022","https://doi.org/10.1016/j.oceaneng.2022.112222","D:\Projects\20260601-Potential-flow-ship\early_stage_materials\literature\textbooks_surveys\Donatini_2022_Capytaine_forward_speed.pdf","paywall","0","31",""
"lit_bailey_npl","https://api.semanticscholar.org/graph/v1/paper/search?query=Bailey+NPL+hull&limit=1","D:\Projects\20260601-Potential-flow-ship\early_stage_materials\data\npl_series\Bailey_NPL_metadata.json","ok","234","1",""
"lit_mercier_savitsky_1973","https://trid.trb.org/view/14059","D:\Projects\20260601-Potential-flow-ship\early_stage_materials\literature\planing_craft\Mercier_Savitsky_1973_TRID14059.html","ok","51188","2",""
"lit_compton_1986","https://onepetro.org/mtsn/article-pdf/23/04/345/2199243/sname-mtsn-1986-23-4-345.pdf","D:\Projects\20260601-Potential-flow-ship\early_stage_materials\literature\planing_craft\Compton_1986_MTSN.pdf","paywall","0","58",""
"lit_savitsky_preplaning","https://doi.org/10.1063/1.5143123","D:\Projects\20260601-Potential-flow-ship\early_stage_materials\literature\planing_craft\Savitsky_preplaning_AIP.pdf","paywall","0","29","curl=22; web=Exception calling ""DownloadFile"" with ""2"" argument(s): ""The remote server returned an error: (404) Not Found."""
"lit_savitsky_1964","https://onepetro.org/MTSN/article/1/04/71/172383/Hydrodynamic-Design-of-Planing-Hulls","D:\Projects\20260601-Potential-flow-ship\early_stage_materials\literature\planing_craft\Savitsky_1964_planing.html","ok","72658","38",""
"lit_fridsma","https://trid.trb.org/view/2061","D:\Projects\20260601-Potential-flow-ship\early_stage_materials\literature\planing_craft\Fridsma_TRID2061.html","ok","50206","1",""
"lit_savitsky_brown_1976","https://trid.trb.org/View/3500","D:\Projects\20260601-Potential-flow-ship\early_stage_materials\literature\planing_craft\Savitsky_Brown_1976_TRID.html","ok","50021","3",""
"lit_zhao_water_entry","https://nap.nationalacademies.org/read/5870/chapter/29","D:\Projects\20260601-Potential-flow-ship\early_stage_materials\literature\high_speed_displacement\Zhao_water_entry_NAP_ch29.html","ok","672994","1",""
"lit_sun_faltinsen_2010","https://doi.org/10.2514/1.44717","D:\Projects\20260601-Potential-flow-ship\early_stage_materials\literature\planing_craft\Sun_Faltinsen_2010_planing.pdf","paywall","0","28","curl=22; web=Exception calling ""DownloadFile"" with ""2"" argument(s): ""The remote server returned an error: (404) Not Found."""
"lit_planing_review_2024","https://doi.org/10.1016/j.oceaneng.2024.114383","D:\Projects\20260601-Potential-flow-ship\early_stage_materials\literature\planing_craft\Planing_hull_review_2024.pdf","paywall","0","54","curl=22; web=Exception calling ""DownloadFile"" with ""2"" argument(s): ""The remote server returned an error: (403) Forbidden."""
"lit_fossen_2012","https://doi.org/10.1016/j.oceaneng.2012.09.012","D:\Projects\20260601-Potential-flow-ship\early_stage_materials\literature\wind_waves_maneuvering\Fossen_2012_wind_waves.pdf","paywall","0","108","curl=22; web=Exception calling ""DownloadFile"" with ""2"" argument(s): ""The remote server returned an error: (403) Forbidden."""
"lit_molland_book","https://www.routledge.com/Maritime-Engineering-Ship-Design/Molland/p/book/9780750665275","D:\Projects\20260601-Potential-flow-ship\early_stage_materials\literature\textbooks_surveys\Molland_Ship_Design_metadata.html","failed","0","26","curl=22; web=Exception calling ""DownloadFile"" with ""2"" argument(s): ""The request was aborted: The connection was closed unexpectedly."""
"code_pdstrip","https://github.com/eriove/pdstrip.git","D:\Projects\20260601-Potential-flow-ship\early_stage_materials\code\potential_flow_seakeeping\pdstrip","ok","0","0",""
"code_hams","https://github.com/YingyiLiu/HAMS.git","D:\Projects\20260601-Potential-flow-ship\early_stage_materials\code\potential_flow_seakeeping\HAMS","ok","0","0",""
"code_bemrosetta","https://github.com/BEMRosetta/BEMRosetta.git","D:\Projects\20260601-Potential-flow-ship\early_stage_materials\code\potential_flow_seakeeping\BEMRosetta","ok","0","0",""
"code_ow3d","https://gitlab.gbar.dtu.dk/oceanwave3d/ow3d-seakeeping.git","D:\Projects\20260601-Potential-flow-ship\early_stage_materials\code\potential_flow_seakeeping\ow3d-seakeeping","ok","0","0",""
"code_openplaning","https://github.com/elcf/python-openplaning.git","D:\Projects\20260601-Potential-flow-ship\early_stage_materials\code\planing_semiempirical\python-openplaning","ok","0","0",""
"code_binder_openplaning","https://github.com/elcf/binder-openplaning.git","D:\Projects\20260601-Potential-flow-ship\early_stage_materials\code\planing_semiempirical\binder-openplaning","ok","0","0",""
"code_mmgdynamics","https://github.com/nikpau/mmgdynamics.git","D:\Projects\20260601-Potential-flow-ship\early_stage_materials\code\maneuvering_gnc\mmgdynamics","ok","0","0",""
"code_shipmmg","https://github.com/ShipMMG/shipmmg.git","D:\Projects\20260601-Potential-flow-ship\early_stage_materials\code\maneuvering_gnc\shipmmg","ok","0","0",""
"code_nemoh","https://github.com/LHEEA/Nemoh.git","D:\Projects\20260601-Potential-flow-ship\early_stage_materials\code\potential_flow_seakeeping\Nemoh","ok","0","0",""
"code_capytaine","https://github.com/capytaine/capytaine.git","D:\Projects\20260601-Potential-flow-ship\early_stage_materials\code\potential_flow_seakeeping\capytaine","ok","0","0",""
"code_mss_tools","https://github.com/cybergalactic/MSS.git","D:\Projects\20260601-Potential-flow-ship\early_stage_materials\code\maneuvering_gnc\MSS","ok","0","0",""
"code_python_vehicle","https://github.com/cybergalactic/PythonVehicleSimulator.git","D:\Projects\20260601-Potential-flow-ship\early_stage_materials\code\maneuvering_gnc\PythonVehicleSimulator","ok","0","0",""
"data_kcs_index","https://t2015.nmri.go.jp/kcs.html","D:\Projects\20260601-Potential-flow-ship\early_stage_materials\data\kcs_benchmark\kcs_index.html","ok","3430","1",""
"data_kcs_hull_zip","https://t2015.nmri.go.jp/file/Geometry_IGES_files/kcs/KCS_hull_SVA.zip","D:\Projects\20260601-Potential-flow-ship\early_stage_materials\data\kcs_benchmark\KCS_hull_SVA.zip","ok","74086","1",""
"data_kcs_rudder_zip","https://t2015.nmri.go.jp/file/Geometry_IGES_files/kcs/KCS_Rudder.zip","D:\Projects\20260601-Potential-flow-ship\early_stage_materials\data\kcs_benchmark\KCS_Rudder.zip","ok","215590","1",""
"data_kcs_prop_zip","https://t2015.nmri.go.jp/file/Geometry_IGES_files/kcs/KCS_prop_MOERI.zip","D:\Projects\20260601-Potential-flow-ship\early_stage_materials\data\kcs_benchmark\KCS_prop_MOERI.zip","ok","42568","1",""
"data_kcs_case211_zip","https://t2015.nmri.go.jp/file/Geometry_IGES_files/kcs/KCS_hull_Case2-11.zip","D:\Projects\20260601-Potential-flow-ship\early_stage_materials\data\kcs_benchmark\KCS_hull_Case2-11.zip","ok","558122","1",""
"data_delft372_report","https://neptech.co/wp-content/uploads/2025/06/CFD_Report-DELFT_372-Calm-Water-EN.pdf","D:\Projects\20260601-Potential-flow-ship\early_stage_materials\data\delft_372\Delft372_CFD_validation_report.pdf","ok","3724040","1",""
"data_delft372_strath","https://strathprints.strath.ac.uk/82218/1/Duman_Bal_OE_2022_Turn_and_zigzag_manoeuvres_of_Delft_catamaran_372_using_CFD_based_system_simulation_method.pdf","D:\Projects\20260601-Potential-flow-ship\early_stage_materials\data\delft_372\Delft372_manoeuvring_CFD_paper.pdf","failed","0","26","curl=22; web=Exception calling ""DownloadFile"" with ""2"" argument(s): ""The remote server returned an error: (404) Not Found."""
"pip_capytaine","","D:\Projects\20260601-Potential-flow-ship\early_stage_materials\code\potential_flow_seakeeping\capytaine_wheels","failed","0","26",""
"fossen_mss_index","https://www.fossen.biz/MSS/","D:\Projects\20260601-Potential-flow-ship\early_stage_materials\code\maneuvering_gnc\fossen_MSS_mirror\index.html","ok","30215","1",""
"fossen_pvs","https://www.fossen.biz/pythonVehicleSim/","D:\Projects\20260601-Potential-flow-ship\early_stage_materials\code\maneuvering_gnc\fossen_MSS_mirror\PythonVehicleSim_index.html","ok","14880","1",""
