component,sigma,in_phase_center_from_cg_m,in_phase_center_from_transom_m,in_phase_center_from_transom_over_beam,damping_center_from_cg_m,damping_center_from_transom_m,damping_center_from_transom_over_beam,restoring_subtraction,response_calibration_used
raw_bem,0.85,0.17049664003858123,0.6379566400385812,2.0061529560961673,0.05662015045567989,0.5240801504556799,1.6480507875964776,external:sun2007_fig7_4_restoring/restoring_matrices.csv,False
resolved_station_bem,0.85,0.19705849865437217,0.6645184986543722,2.089680813378529,0.07222650031990478,0.5396865003199047,1.6971273594965557,external:sun2007_fig7_4_restoring/restoring_matrices.csv,False
transom_extrapolation,0.85,-0.43332489583614675,0.034135104163853236,0.10734309485488439,-0.4325205055795454,0.034939494420454575,0.10987262396369363,external:sun2007_fig7_4_restoring/restoring_matrices.csv,False
pre_chine_bem,0.85,0.41541909070692445,0.8828790907069244,2.776349341845674,0.37281297703034755,0.8402729770303475,2.6423678522966902,external:sun2007_fig7_4_restoring/restoring_matrices.csv,False
post_chine_bem,0.85,-0.08812361067755158,0.3793363893224484,1.192881727429083,-0.07068028626164202,0.39677971373835796,1.247734948862761,external:sun2007_fig7_4_restoring/restoring_matrices.csv,False
longitudinal_bin_aft_post_chine,0.85,-0.36181101879185396,0.10564898120814603,0.33222950065454726,-0.34317141177736005,0.12428858822263994,0.39084461705232687,external:sun2007_fig7_4_restoring/restoring_matrices.csv,False
longitudinal_bin_middle_post_chine,0.85,-0.11465424826048248,0.3528057517395175,1.1094520494953382,-0.11099027964727048,0.3564697203527295,1.1209739633733633,external:sun2007_fig7_4_restoring/restoring_matrices.csv,False
longitudinal_bin_forward_post_chine,0.85,0.1301424523574834,0.5976024523574834,1.8792529948348535,0.11534428768466849,0.5828042876846685,1.8327178858008444,external:sun2007_fig7_4_restoring/restoring_matrices.csv,False
longitudinal_bin_pre_chine,0.85,0.41541909070692445,0.8828790907069244,2.776349341845674,0.37281297703034755,0.8402729770303475,2.6423678522966902,external:sun2007_fig7_4_restoring/restoring_matrices.csv,False
bem,0.85,0.17049664003858123,0.6379566400385812,2.0061529560961673,0.05662015045567989,0.5240801504556799,1.6480507875964776,external:sun2007_fig7_4_restoring/restoring_matrices.csv,False
front,0.85,0.7658341984664796,1.2332941984664796,3.878283642976351,0.622390972957926,1.089850972957926,3.4272043174777544,external:sun2007_fig7_4_restoring/restoring_matrices.csv,False
transom,0.85,nan,nan,nan,nan,nan,nan,external:sun2007_fig7_4_restoring/restoring_matrices.csv,False
total,0.85,0.14601714435413535,0.6134771443541354,1.9291734099186646,0.11195512519399735,0.5794151251939973,1.8220601421194884,external:sun2007_fig7_4_restoring/restoring_matrices.csv,False
