xi,eta,node_index
4.583865867483036,-0.08306757758758809,0
4.58182652098834,-0.08525166282196389,1
4.579940293795002,-0.08772205748035689,2
4.577820784917444,-0.09016228075132725,3
4.5759057789420154,-0.0929235275229102,4
4.57411190273919,-0.09592031687584558,5
4.572228634143269,-0.09902280089175806,6
4.570452464899265,-0.10234866460297724,7
4.568878782128286,-0.10593459828044405,8
4.5673968974224,-0.10972124157184632,9
4.566002965434747,-0.11370569886491202,10
4.564913836199599,-0.11794921094183189,11
4.564054299859866,-0.12241299690609593,12
4.563430503460707,-0.1270871243770694,13
4.563145670665097,-0.13196932065267009,14
4.563158730034219,-0.13703998470454973,15
4.563481453516993,-0.1422862914141496,16
4.564230862148651,-0.14768172626196752,17
4.565319222752911,-0.15321960240559807,18
4.566740009599969,-0.15889039322091933,19
4.568565784998324,-0.16466263284029523,20
4.5708125772606385,-0.1705141428725311,21
4.573459179150911,-0.17643774287528197,22
4.576513599815308,-0.18241669835709562,23
4.579981174529453,-0.1884354562085645,24
4.583823305204473,-0.19450654074463786,25
4.588067514814471,-0.20060458651045954,26
4.592727132916532,-0.20671087601509772,27
4.59776676789073,-0.21284532984233823,28
4.603171570864952,-0.2190171470790128,29
4.608985230014294,-0.2251843035754196,30
4.615201289740544,-0.23134794669962894,31
4.6218001019046016,-0.23752568599969784,32
4.6287998279529425,-0.24369712528505913,33
4.636198655397852,-0.24986345011485564,34
4.643976924053388,-0.256049898025075,35
4.65215247106177,-0.2622370292325432,36
4.660738445357507,-0.2684097585458843,37
4.669717408749195,-0.27459620368924736,38
4.679089984283983,-0.28080173878980114,39
4.688878436619127,-0.2869988939394898,40
4.699085268599543,-0.2931897079971883,41
4.709704638057303,-0.29939149445980995,42
4.7207487406675375,-0.30559211050581564,43
4.732223569577879,-0.3117899356558225,44
4.744120972078609,-0.31801080679924454,45
4.7564505774041566,-0.3242484983195887,46
4.769232810222184,-0.33047436333891805,47
4.782466466976928,-0.3367029627866126,48
4.796146714115102,-0.34295875784904745,49
4.810288469950506,-0.3492242582074847,50
4.8249026730435665,-0.3554898236845703,51
4.839986140917972,-0.3617791211242721,52
4.855549909194507,-0.36808308658063643,53
4.8716085714367106,-0.3743829919349058,54
4.888160475161304,-0.38070123711734166,55
4.905207237794315,-0.38705353598232245,56
4.922766722222461,-0.3934121937640745,57
4.940845228146212,-0.39978012808222413,58
4.959441657772212,-0.40618218165588377,59
4.978567497285921,-0.412607669291148,60
4.998236731045447,-0.4190375098529041,61
5.01844856440715,-0.42549750632282585,62
5.039209116008075,-0.4319931996713504,63
5.060534859546302,-0.4384965896280807,64
5.082429962807106,-0.44501888786471494,65
5.104894793468029,-0.45158508198708214,66
