station,x,exponent,count,potential,field,normalized_rms,passed,solve_residual
12,0.2557645563861015,1.0,48,linear_z,body_phi,6.903129017609333e-06,True,3.15581377592722e-16
12,0.2557645563861015,1.0,48,linear_z,free_q,0.00023910656022548178,True,3.15581377592722e-16
12,0.2557645563861015,1.0,48,quadratic,body_phi,2.137801592448067e-06,True,3.551629625506336e-16
12,0.2557645563861015,1.0,48,quadratic,free_q,3.582599561570024e-05,True,3.551629625506336e-16
12,0.2557645563861015,1.0,72,linear_z,body_phi,7.003725981141161e-06,True,3.176005928678629e-16
12,0.2557645563861015,1.0,72,linear_z,free_q,0.0003571298426024387,True,3.176005928678629e-16
12,0.2557645563861015,1.0,72,quadratic,body_phi,2.742614930308321e-06,True,3.560773912691179e-16
12,0.2557645563861015,1.0,72,quadratic,free_q,5.639989040184509e-05,True,3.560773912691179e-16
12,0.2557645563861015,1.0,96,linear_z,body_phi,7.123874698112433e-06,True,3.6626102764935116e-16
12,0.2557645563861015,1.0,96,linear_z,free_q,0.00045215935080025776,True,3.6626102764935116e-16
12,0.2557645563861015,1.0,96,quadratic,body_phi,3.2724493454597567e-06,True,4.217023089256089e-16
12,0.2557645563861015,1.0,96,quadratic,free_q,7.949959528138897e-05,True,4.217023089256089e-16
12,0.2557645563861015,1.5,48,linear_z,body_phi,8.4908736749929e-06,True,2.9940988253810394e-16
12,0.2557645563861015,1.5,48,linear_z,free_q,0.00024254458341056782,True,2.9940988253810394e-16
12,0.2557645563861015,1.5,48,quadratic,body_phi,5.503347758517728e-06,True,3.3749060747150494e-16
12,0.2557645563861015,1.5,48,quadratic,free_q,0.0002184131034361528,True,3.3749060747150494e-16
12,0.2557645563861015,1.5,72,linear_z,body_phi,9.221483403481734e-06,True,3.628412975618523e-16
12,0.2557645563861015,1.5,72,linear_z,free_q,0.0004531455541673383,True,3.628412975618523e-16
12,0.2557645563861015,1.5,72,quadratic,body_phi,7.010121786125538e-06,True,3.512647533098256e-16
12,0.2557645563861015,1.5,72,quadratic,free_q,0.0004324009022955857,True,3.512647533098256e-16
12,0.2557645563861015,1.5,96,linear_z,body_phi,9.693261222719793e-06,True,3.6056908175646135e-16
12,0.2557645563861015,1.5,96,linear_z,free_q,0.0006616692226229271,True,3.6056908175646135e-16
12,0.2557645563861015,1.5,96,quadratic,body_phi,7.939528483367255e-06,True,3.232904874129595e-16
12,0.2557645563861015,1.5,96,quadratic,free_q,0.0006462098689258464,True,3.232904874129595e-16
42,0.8951311907918157,1.0,48,linear_z,body_phi,6.903129017609333e-06,True,3.15581377592722e-16
42,0.8951311907918157,1.0,48,linear_z,free_q,0.00023910656022548178,True,3.15581377592722e-16
42,0.8951311907918157,1.0,48,quadratic,body_phi,2.137801592448067e-06,True,3.551629625506336e-16
42,0.8951311907918157,1.0,48,quadratic,free_q,3.582599561570024e-05,True,3.551629625506336e-16
42,0.8951311907918157,1.0,72,linear_z,body_phi,7.003725981141161e-06,True,3.176005928678629e-16
42,0.8951311907918157,1.0,72,linear_z,free_q,0.0003571298426024387,True,3.176005928678629e-16
42,0.8951311907918157,1.0,72,quadratic,body_phi,2.742614930308321e-06,True,3.560773912691179e-16
42,0.8951311907918157,1.0,72,quadratic,free_q,5.639989040184509e-05,True,3.560773912691179e-16
42,0.8951311907918157,1.0,96,linear_z,body_phi,7.123874698112433e-06,True,3.6626102764935116e-16
42,0.8951311907918157,1.0,96,linear_z,free_q,0.00045215935080025776,True,3.6626102764935116e-16
42,0.8951311907918157,1.0,96,quadratic,body_phi,3.2724493454597567e-06,True,4.217023089256089e-16
42,0.8951311907918157,1.0,96,quadratic,free_q,7.949959528138897e-05,True,4.217023089256089e-16
42,0.8951311907918157,1.5,48,linear_z,body_phi,8.4908736749929e-06,True,2.9940988253810394e-16
42,0.8951311907918157,1.5,48,linear_z,free_q,0.00024254458341056782,True,2.9940988253810394e-16
42,0.8951311907918157,1.5,48,quadratic,body_phi,5.503347758517728e-06,True,3.3749060747150494e-16
42,0.8951311907918157,1.5,48,quadratic,free_q,0.0002184131034361528,True,3.3749060747150494e-16
42,0.8951311907918157,1.5,72,linear_z,body_phi,9.221483403481734e-06,True,3.628412975618523e-16
42,0.8951311907918157,1.5,72,linear_z,free_q,0.0004531455541673383,True,3.628412975618523e-16
42,0.8951311907918157,1.5,72,quadratic,body_phi,7.010121786125538e-06,True,3.512647533098256e-16
42,0.8951311907918157,1.5,72,quadratic,free_q,0.0004324009022955857,True,3.512647533098256e-16
42,0.8951311907918157,1.5,96,linear_z,body_phi,9.693261222719793e-06,True,3.6056908175646135e-16
42,0.8951311907918157,1.5,96,linear_z,free_q,0.0006616692226229271,True,3.6056908175646135e-16
42,0.8951311907918157,1.5,96,quadratic,body_phi,7.939528483367255e-06,True,3.232904874129595e-16
42,0.8951311907918157,1.5,96,quadratic,free_q,0.0006462098689258464,True,3.232904874129595e-16
80,1.7049955943723871,1.0,48,linear_z,body_phi,9.72333798844133e-07,True,3.3167875718055603e-16
80,1.7049955943723871,1.0,48,linear_z,free_q,0.00018245712877919832,True,3.3167875718055603e-16
80,1.7049955943723871,1.0,48,quadratic,body_phi,1.4018961028749336e-07,True,3.243848862067343e-16
80,1.7049955943723871,1.0,48,quadratic,free_q,1.9912776771324798e-05,True,3.243848862067343e-16
80,1.7049955943723871,1.0,72,linear_z,body_phi,9.54335825132163e-07,True,3.8064019683311087e-16
80,1.7049955943723871,1.0,72,linear_z,free_q,0.0002806984305202021,True,3.8064019683311087e-16
80,1.7049955943723871,1.0,72,quadratic,body_phi,1.262429659377435e-07,True,2.9721682839654126e-16
80,1.7049955943723871,1.0,72,quadratic,free_q,2.6097178807151497e-05,True,2.9721682839654126e-16
80,1.7049955943723871,1.0,96,linear_z,body_phi,9.501620733510301e-07,True,3.6086590545529263e-16
80,1.7049955943723871,1.0,96,linear_z,free_q,0.00036330456724042163,True,3.6086590545529263e-16
80,1.7049955943723871,1.0,96,quadratic,body_phi,1.1944600683738264e-07,True,3.58110139150546e-16
80,1.7049955943723871,1.0,96,quadratic,free_q,3.1479345223409824e-05,True,3.58110139150546e-16
80,1.7049955943723871,1.5,48,linear_z,body_phi,9.933436332096331e-07,True,3.572539578939189e-16
80,1.7049955943723871,1.5,48,linear_z,free_q,0.00011408902317816156,True,3.572539578939189e-16
80,1.7049955943723871,1.5,48,quadratic,body_phi,1.3530341619614764e-07,True,2.9713565432671755e-16
80,1.7049955943723871,1.5,48,quadratic,free_q,1.5479342858569035e-05,True,2.9713565432671755e-16
80,1.7049955943723871,1.5,72,linear_z,body_phi,1.007557099338082e-06,True,3.555963460755317e-16
