case_order,case_label,interval_index,lower_x_m,upper_x_m,channel,interval_contribution
0,sub8,0,0.0,0.2332,cumulative_sine_vertical_force_n,-0.21007275330768396
0,sub8,0,0.0,0.2332,cumulative_sine_pitch_moment_nm,0.05386916190048053
0,sub8,0,0.0,0.2332,cumulative_cosine_vertical_force_n,4.945724712576304
0,sub8,0,0.0,0.2332,cumulative_cosine_pitch_moment_nm,-1.7121610183330644
0,sub8,1,0.2332,0.4664,cumulative_sine_vertical_force_n,-1.2166666482349255
0,sub8,1,0.2332,0.4664,cumulative_sine_pitch_moment_nm,0.13085485683071893
0,sub8,1,0.2332,0.4664,cumulative_cosine_vertical_force_n,6.668113588885976
0,sub8,1,0.2332,0.4664,cumulative_cosine_pitch_moment_nm,-0.7373355729653879
0,sub8,2,0.4664,0.6996,cumulative_sine_vertical_force_n,0.14219515986720288
0,sub8,2,0.4664,0.6996,cumulative_sine_pitch_moment_nm,0.12398059033341682
0,sub8,2,0.4664,0.6996,cumulative_cosine_vertical_force_n,8.97503577419733
0,sub8,2,0.4664,0.6996,cumulative_cosine_pitch_moment_nm,1.0664448043584867
0,sub8,3,0.6996,1.0985454545454545,cumulative_sine_vertical_force_n,12.241246364509067
0,sub8,3,0.6996,1.0985454545454545,cumulative_sine_pitch_moment_nm,5.230583148573895
0,sub8,3,0.6996,1.0985454545454545,cumulative_cosine_vertical_force_n,9.364276118860904
0,sub8,3,0.6996,1.0985454545454545,cumulative_cosine_pitch_moment_nm,3.49170186090136
1,sub16,0,0.0,0.2332,cumulative_sine_vertical_force_n,-0.1887801473804876
1,sub16,0,0.0,0.2332,cumulative_sine_pitch_moment_nm,0.04637274290896187
1,sub16,0,0.0,0.2332,cumulative_cosine_vertical_force_n,4.9679355032490005
1,sub16,0,0.0,0.2332,cumulative_cosine_pitch_moment_nm,-1.720506393363284
1,sub16,1,0.2332,0.4664,cumulative_sine_vertical_force_n,-1.2339988459168767
1,sub16,1,0.2332,0.4664,cumulative_sine_pitch_moment_nm,0.1309738971962713
1,sub16,1,0.2332,0.4664,cumulative_cosine_vertical_force_n,6.670285296783238
1,sub16,1,0.2332,0.4664,cumulative_cosine_pitch_moment_nm,-0.7373205261789422
1,sub16,2,0.4664,0.6996,cumulative_sine_vertical_force_n,-0.08797657829180694
1,sub16,2,0.4664,0.6996,cumulative_sine_pitch_moment_nm,0.09094934081031167
1,sub16,2,0.4664,0.6996,cumulative_cosine_vertical_force_n,9.019506073450023
1,sub16,2,0.4664,0.6996,cumulative_cosine_pitch_moment_nm,1.0753891368085953
1,sub16,3,0.6996,1.0985454545454545,cumulative_sine_vertical_force_n,12.130477346164003
1,sub16,3,0.6996,1.0985454545454545,cumulative_sine_pitch_moment_nm,5.211172244933005
1,sub16,3,0.6996,1.0985454545454545,cumulative_cosine_vertical_force_n,9.476938845949096
1,sub16,3,0.6996,1.0985454545454545,cumulative_cosine_pitch_moment_nm,3.5245880064127686
2,sub32,0,0.0,0.2332,cumulative_sine_vertical_force_n,-0.16322588530020585
2,sub32,0,0.0,0.2332,cumulative_sine_pitch_moment_nm,0.03751345806472422
2,sub32,0,0.0,0.2332,cumulative_cosine_vertical_force_n,4.9879567203013195
2,sub32,0,0.0,0.2332,cumulative_cosine_pitch_moment_nm,-1.7276432217142015
2,sub32,1,0.2332,0.4664,cumulative_sine_vertical_force_n,-1.2236875267948604
2,sub32,1,0.2332,0.4664,cumulative_sine_pitch_moment_nm,0.12873711742025087
2,sub32,1,0.2332,0.4664,cumulative_cosine_vertical_force_n,6.695099736608903
2,sub32,1,0.2332,0.4664,cumulative_cosine_pitch_moment_nm,-0.7395593048787277
2,sub32,2,0.4664,0.6996,cumulative_sine_vertical_force_n,-0.16813966050219475
2,sub32,2,0.4664,0.6996,cumulative_sine_pitch_moment_nm,0.07905728358170652
2,sub32,2,0.4664,0.6996,cumulative_cosine_vertical_force_n,9.118940421353614
2,sub32,2,0.4664,0.6996,cumulative_cosine_pitch_moment_nm,1.0888197812836915
2,sub32,3,0.6996,1.0985454545454545,cumulative_sine_vertical_force_n,12.185668633167927
2,sub32,3,0.6996,1.0985454545454545,cumulative_sine_pitch_moment_nm,5.234831829716871
2,sub32,3,0.6996,1.0985454545454545,cumulative_cosine_vertical_force_n,9.478204698609002
2,sub32,3,0.6996,1.0985454545454545,cumulative_cosine_pitch_moment_nm,3.5151530884925397
