coarse_case,fine_case,interval_index,lower_x_m,upper_x_m,channel,coarse_contribution,fine_contribution,fine_minus_coarse,a53_nondimensional_change
sub8,sub16,0,0.0,0.2332,cumulative_sine_vertical_force_n,-0.21007275330768396,-0.1887801473804876,0.021292605927196367,
sub8,sub16,0,0.0,0.2332,cumulative_sine_pitch_moment_nm,0.05386916190048053,0.04637274290896187,-0.007496418991518657,0.0010594150168070414
sub8,sub16,0,0.0,0.2332,cumulative_cosine_vertical_force_n,4.945724712576304,4.9679355032490005,0.02221079067269649,
sub8,sub16,0,0.0,0.2332,cumulative_cosine_pitch_moment_nm,-1.7121610183330644,-1.720506393363284,-0.008345375030219593,
sub8,sub16,1,0.2332,0.4664,cumulative_sine_vertical_force_n,-1.2166666482349255,-1.2339988459168767,-0.017332197681951156,
sub8,sub16,1,0.2332,0.4664,cumulative_sine_pitch_moment_nm,0.13085485683071893,0.1309738971962713,0.00011904036555238084,-1.682311928069583e-05
sub8,sub16,1,0.2332,0.4664,cumulative_cosine_vertical_force_n,6.668113588885976,6.670285296783238,0.002171707897261399,
sub8,sub16,1,0.2332,0.4664,cumulative_cosine_pitch_moment_nm,-0.7373355729653879,-0.7373205261789422,1.5046786445704896e-05,
sub8,sub16,2,0.4664,0.6996,cumulative_sine_vertical_force_n,0.14219515986720288,-0.08797657829180694,-0.23017173815900982,
sub8,sub16,2,0.4664,0.6996,cumulative_sine_pitch_moment_nm,0.12398059033341682,0.09094934081031167,-0.033031249523105155,0.004668069088490053
sub8,sub16,2,0.4664,0.6996,cumulative_cosine_vertical_force_n,8.97503577419733,9.019506073450023,0.04447029925269241,
sub8,sub16,2,0.4664,0.6996,cumulative_cosine_pitch_moment_nm,1.0664448043584867,1.0753891368085953,0.008944332450108616,
sub8,sub16,3,0.6996,1.0985454545454545,cumulative_sine_vertical_force_n,12.241246364509067,12.130477346164003,-0.11076901834506359,
sub8,sub16,3,0.6996,1.0985454545454545,cumulative_sine_pitch_moment_nm,5.230583148573895,5.211172244933005,-0.01941090364088982,0.002743203498926514
sub8,sub16,3,0.6996,1.0985454545454545,cumulative_cosine_vertical_force_n,9.364276118860904,9.476938845949096,0.11266272708819258,
sub8,sub16,3,0.6996,1.0985454545454545,cumulative_cosine_pitch_moment_nm,3.49170186090136,3.5245880064127686,0.03288614551140867,
sub16,sub32,0,0.0,0.2332,cumulative_sine_vertical_force_n,-0.1887801473804876,-0.16322588530020585,0.025554262080281748,
sub16,sub32,0,0.0,0.2332,cumulative_sine_pitch_moment_nm,0.04637274290896187,0.03751345806472422,-0.008859284844237654,0.0012520190524002465
sub16,sub32,0,0.0,0.2332,cumulative_cosine_vertical_force_n,4.9679355032490005,4.9879567203013195,0.020021217052319074,
sub16,sub32,0,0.0,0.2332,cumulative_cosine_pitch_moment_nm,-1.720506393363284,-1.7276432217142015,-0.007136828350917446,
sub16,sub32,1,0.2332,0.4664,cumulative_sine_vertical_force_n,-1.2339988459168767,-1.2236875267948604,0.010311319122016327,
sub16,sub32,1,0.2332,0.4664,cumulative_sine_pitch_moment_nm,0.1309738971962713,0.12873711742025087,-0.0022367797760204366,0.00031610800926247073
sub16,sub32,1,0.2332,0.4664,cumulative_cosine_vertical_force_n,6.670285296783238,6.695099736608903,0.02481443982566489,
sub16,sub32,1,0.2332,0.4664,cumulative_cosine_pitch_moment_nm,-0.7373205261789422,-0.7395593048787277,-0.002238778699785504,
sub16,sub32,2,0.4664,0.6996,cumulative_sine_vertical_force_n,-0.08797657829180694,-0.16813966050219475,-0.08016308221038781,
sub16,sub32,2,0.4664,0.6996,cumulative_sine_pitch_moment_nm,0.09094934081031167,0.07905728358170652,-0.011892057228605146,0.0016806189759359668
sub16,sub32,2,0.4664,0.6996,cumulative_cosine_vertical_force_n,9.019506073450023,9.118940421353614,0.09943434790359085,
sub16,sub32,2,0.4664,0.6996,cumulative_cosine_pitch_moment_nm,1.0753891368085953,1.0888197812836915,0.013430644475096232,
sub16,sub32,3,0.6996,1.0985454545454545,cumulative_sine_vertical_force_n,12.130477346164003,12.185668633167927,0.055191287003923506,
sub16,sub32,3,0.6996,1.0985454545454545,cumulative_sine_pitch_moment_nm,5.211172244933005,5.234831829716871,0.023659584783866094,-0.0033436390681745067
sub16,sub32,3,0.6996,1.0985454545454545,cumulative_cosine_vertical_force_n,9.476938845949096,9.478204698609002,0.0012658526599054198,
sub16,sub32,3,0.6996,1.0985454545454545,cumulative_cosine_pitch_moment_nm,3.5245880064127686,3.5151530884925397,-0.00943491792022888,
