component,sigma,omega_rad_s,coefficient,value_dimensional,value_nondimensional,harmonic_fit_residual_nrmse,restoring_subtraction,response_calibration_used
raw_bem,1.4,7.774541989381373,A33,-35.496651797995604,-1.1038397530622346,0.003855764303742305,zero_diagnostic_only,False
raw_bem,1.4,7.774541989381373,A35,-1.6510324222092498,-0.16145337276944036,1.168842588944775e-05,zero_diagnostic_only,False
raw_bem,1.4,7.774541989381373,A53,-0.45068828652079096,-0.044072510598607395,0.007870370481395193,zero_diagnostic_only,False
raw_bem,1.4,7.774541989381373,A55,-2.591123360830919,-0.7968058058786295,1.704045647101625e-05,zero_diagnostic_only,False
raw_bem,1.4,7.774541989381373,B33,-187.33214380657103,-1.0490209592684425,0.003855764303742305,zero_diagnostic_only,False
raw_bem,1.4,7.774541989381373,B35,-341.0415729154251,-6.005540013476773,1.168842588944775e-05,zero_diagnostic_only,False
raw_bem,1.4,7.774541989381373,B53,48.371185443109155,0.8517879131115114,0.007870370481395193,zero_diagnostic_only,False
raw_bem,1.4,7.774541989381373,B55,51.69079138656923,2.862403165817329,1.704045647101625e-05,zero_diagnostic_only,False
bem,1.4,7.774541989381373,A33,-35.025486784263535,-1.0891879296911375,0.003738761218763041,zero_diagnostic_only,False
bem,1.4,7.774541989381373,A35,-2.5395877333293644,-0.24834461121076512,1.1852673298629789e-05,zero_diagnostic_only,False
bem,1.4,7.774541989381373,A53,-0.6485368342970764,-0.06341998973125437,0.008090495047945491,zero_diagnostic_only,False
bem,1.4,7.774541989381373,A55,-2.1766848977227786,-0.6693603208137712,1.748641318572584e-05,zero_diagnostic_only,False
bem,1.4,7.774541989381373,B33,-171.60039308136902,-0.960926434210514,0.003738761218763041,zero_diagnostic_only,False
bem,1.4,7.774541989381373,B35,-317.2908929980428,-5.58730461369315,1.1852673298629789e-05,zero_diagnostic_only,False
bem,1.4,7.774541989381373,B53,41.23384105467763,0.7261035076935268,0.008090495047945491,zero_diagnostic_only,False
bem,1.4,7.774541989381373,B55,40.86642540978755,2.2629985405680486,1.748641318572584e-05,zero_diagnostic_only,False
front,1.4,7.774541989381373,A33,-16.053141843084255,-0.49920472017430545,0.00139932285492688,zero_diagnostic_only,False
front,1.4,7.774541989381373,A35,-5.63821337193096,-0.5513571708506649,0.000335722749104276,zero_diagnostic_only,False
front,1.4,7.774541989381373,A53,-10.109234302153041,-0.9885753618424514,0.0017818550474129687,zero_diagnostic_only,False
front,1.4,7.774541989381373,A55,-3.7694104243948976,-1.1591451631751442,0.00041678434405735727,zero_diagnostic_only,False
front,1.4,7.774541989381373,B33,64.54986070491154,0.3614657656788927,0.00139932285492688,zero_diagnostic_only,False
front,1.4,7.774541989381373,B35,28.752651103160286,0.5063171484269101,0.000335722749104276,zero_diagnostic_only,False
front,1.4,7.774541989381373,B53,37.90944146919106,0.6675628008795329,0.0017818550474129687,zero_diagnostic_only,False
front,1.4,7.774541989381373,B55,16.87942129902712,0.9347063116556095,0.00041678434405735727,zero_diagnostic_only,False
transom,1.4,7.774541989381373,A33,-0.08253385436758012,-0.002566556134444446,9.0266551996982e-15,zero_diagnostic_only,False
transom,1.4,7.774541989381373,A35,1.1008272052861776,0.10764916711446924,2.575988271485602e-07,zero_diagnostic_only,False
transom,1.4,7.774541989381373,A53,0.037006936033742374,0.0036188838923681605,1.0214140760996277e-14,zero_diagnostic_only,False
transom,1.4,7.774541989381373,A55,-0.4935943229888851,-0.1517869925653221,2.575988270302927e-07,zero_diagnostic_only,False
transom,1.4,7.774541989381373,B33,-1.5205763414792925e-15,-8.51491057523228e-18,9.0266551996982e-15,zero_diagnostic_only,False
transom,1.4,7.774541989381373,B35,-3.3206360418843064e-08,-5.847443304126094e-10,2.575988271485602e-07,zero_diagnostic_only,False
transom,1.4,7.774541989381373,B53,1.6206891512475499e-15,2.853937560755558e-17,1.0214140760996277e-14,zero_diagnostic_only,False
transom,1.4,7.774541989381373,B55,1.4889232818599932e-08,8.244986391836394e-10,2.575988270302927e-07,zero_diagnostic_only,False
total,1.4,7.774541989381373,A33,-51.16116248171539,-1.5909592059998878,0.0028009697259814234,zero_diagnostic_only,False
total,1.4,7.774541989381373,A35,-7.076973899974149,-0.692052614946961,6.38832498806645e-05,zero_diagnostic_only,False
total,1.4,7.774541989381373,A53,-10.720764200416369,-1.048376467681337,0.003581635415863616,zero_diagnostic_only,False
total,1.4,7.774541989381373,A55,-6.439689645106562,-1.9802924765542378,0.00017889308430116317,zero_diagnostic_only,False
total,1.4,7.774541989381373,B33,-107.05053237645747,-0.5994606685316212,0.0028009697259814234,zero_diagnostic_only,False
total,1.4,7.774541989381373,B35,-288.5382419280888,-5.080987465850982,6.38832498806645e-05,zero_diagnostic_only,False
total,1.4,7.774541989381373,B53,79.14328252386868,1.3936663085730594,0.003581635415863616,zero_diagnostic_only,False
total,1.4,7.774541989381373,B55,57.74584672370391,3.1977048530481573,0.00017889308430116317,zero_diagnostic_only,False
