component,sigma,damping_center_from_cg_m,damping_center_from_transom_m,damping_center_from_transom_over_beam,response_calibration_used
bem,1.4,0.08084819411008745,0.5483081941100875,1.7242396041197718,False
front,1.4,0.6216450647803198,1.0891050647803198,3.4248586942777353,False
longitudinal_bin_aft_post_chine,1.4,-0.3466095492356036,0.12085045076439638,0.3800328640389823,False
longitudinal_bin_forward_post_chine,1.4,0.1218160000300178,0.5892760000300178,1.8530691824843326,False
longitudinal_bin_middle_post_chine,1.4,-0.11142605656155675,0.35603394343844325,1.119603595718375,False
longitudinal_bin_pre_chine,1.4,0.3708932115831336,0.8383532115831336,2.636330854035011,False
post_chine_bem,1.4,-0.06554800125143312,0.40191199874856687,1.2638742099011537,False
pre_chine_bem,1.4,0.3708932115831336,0.8383532115831336,2.636330854035011,False
raw_bem,1.4,0.08084819411008745,0.5483081941100875,1.7242396041197718,False
resolved_station_bem,1.4,0.09706874373197699,0.564528743731977,1.77524762179867,False
total,1.4,0.13456752059698215,0.6020275205969822,1.893168303764095,False
transom,1.4,nan,nan,nan,False
transom_extrapolation,1.4,-0.4322073200960322,0.0352526799039678,0.1108574839747415,False
