station,x,exponent,count,potential,field,normalized_rms,passed,solve_residual
12,0.2557645563861015,1.0,48,linear_z,body_phi,6.903129017650843e-06,True,3.2022065453146606e-16
12,0.2557645563861015,1.0,48,linear_z,free_q,0.00023910656022526402,True,3.2022065453146606e-16
12,0.2557645563861015,1.0,48,quadratic,body_phi,2.1378015923906376e-06,True,3.422493900682455e-16
12,0.2557645563861015,1.0,48,quadratic,free_q,3.582599561870898e-05,True,3.422493900682455e-16
12,0.2557645563861015,1.0,72,linear_z,body_phi,7.003725981175539e-06,True,3.2132577884949746e-16
12,0.2557645563861015,1.0,72,linear_z,free_q,0.0003571298426003124,True,3.2132577884949746e-16
12,0.2557645563861015,1.0,72,quadratic,body_phi,2.742614930258091e-06,True,3.5766088252795917e-16
12,0.2557645563861015,1.0,72,quadratic,free_q,5.639989040521453e-05,True,3.5766088252795917e-16
12,0.2557645563861015,1.0,96,linear_z,body_phi,7.1238746981254075e-06,True,3.4932483896990606e-16
12,0.2557645563861015,1.0,96,linear_z,free_q,0.00045215935080017216,True,3.4932483896990606e-16
12,0.2557645563861015,1.0,96,quadratic,body_phi,3.2724493453937e-06,True,3.9849585326823133e-16
12,0.2557645563861015,1.0,96,quadratic,free_q,7.949959528433184e-05,True,3.9849585326823133e-16
12,0.2557645563861015,1.5,48,linear_z,body_phi,8.490873675017708e-06,True,2.864157922033581e-16
12,0.2557645563861015,1.5,48,linear_z,free_q,0.00024254458340833306,True,2.864157922033581e-16
12,0.2557645563861015,1.5,48,quadratic,body_phi,5.50334775852473e-06,True,3.2077253232406353e-16
12,0.2557645563861015,1.5,48,quadratic,free_q,0.0002184131034362948,True,3.2077253232406353e-16
12,0.2557645563861015,1.5,72,linear_z,body_phi,9.22148340354539e-06,True,3.781644625268574e-16
12,0.2557645563861015,1.5,72,linear_z,free_q,0.00045314555416922983,True,3.781644625268574e-16
12,0.2557645563861015,1.5,72,quadratic,body_phi,7.0101217861104786e-06,True,3.623715048417984e-16
12,0.2557645563861015,1.5,72,quadratic,free_q,0.0004324009022962477,True,3.623715048417984e-16
12,0.2557645563861015,1.5,96,linear_z,body_phi,9.693261222742132e-06,True,3.541872178611745e-16
12,0.2557645563861015,1.5,96,linear_z,free_q,0.0006616692226225656,True,3.541872178611745e-16
12,0.2557645563861015,1.5,96,quadratic,body_phi,7.939528483322862e-06,True,3.496736606426365e-16
12,0.2557645563861015,1.5,96,quadratic,free_q,0.0006462098689271198,True,3.496736606426365e-16
42,0.8951311907918157,1.0,48,linear_z,body_phi,6.903129017650843e-06,True,3.2022065453146606e-16
42,0.8951311907918157,1.0,48,linear_z,free_q,0.00023910656022526402,True,3.2022065453146606e-16
42,0.8951311907918157,1.0,48,quadratic,body_phi,2.1378015923906376e-06,True,3.422493900682455e-16
42,0.8951311907918157,1.0,48,quadratic,free_q,3.582599561870898e-05,True,3.422493900682455e-16
42,0.8951311907918157,1.0,72,linear_z,body_phi,7.003725981175539e-06,True,3.2132577884949746e-16
42,0.8951311907918157,1.0,72,linear_z,free_q,0.0003571298426003124,True,3.2132577884949746e-16
42,0.8951311907918157,1.0,72,quadratic,body_phi,2.742614930258091e-06,True,3.5766088252795917e-16
42,0.8951311907918157,1.0,72,quadratic,free_q,5.639989040521453e-05,True,3.5766088252795917e-16
42,0.8951311907918157,1.0,96,linear_z,body_phi,7.1238746981254075e-06,True,3.4932483896990606e-16
42,0.8951311907918157,1.0,96,linear_z,free_q,0.00045215935080017216,True,3.4932483896990606e-16
42,0.8951311907918157,1.0,96,quadratic,body_phi,3.2724493453937e-06,True,3.9849585326823133e-16
42,0.8951311907918157,1.0,96,quadratic,free_q,7.949959528433184e-05,True,3.9849585326823133e-16
42,0.8951311907918157,1.5,48,linear_z,body_phi,8.490873675017708e-06,True,2.864157922033581e-16
42,0.8951311907918157,1.5,48,linear_z,free_q,0.00024254458340833306,True,2.864157922033581e-16
42,0.8951311907918157,1.5,48,quadratic,body_phi,5.50334775852473e-06,True,3.2077253232406353e-16
42,0.8951311907918157,1.5,48,quadratic,free_q,0.0002184131034362948,True,3.2077253232406353e-16
42,0.8951311907918157,1.5,72,linear_z,body_phi,9.22148340354539e-06,True,3.781644625268574e-16
42,0.8951311907918157,1.5,72,linear_z,free_q,0.00045314555416922983,True,3.781644625268574e-16
42,0.8951311907918157,1.5,72,quadratic,body_phi,7.0101217861104786e-06,True,3.623715048417984e-16
42,0.8951311907918157,1.5,72,quadratic,free_q,0.0004324009022962477,True,3.623715048417984e-16
42,0.8951311907918157,1.5,96,linear_z,body_phi,9.693261222742132e-06,True,3.541872178611745e-16
42,0.8951311907918157,1.5,96,linear_z,free_q,0.0006616692226225656,True,3.541872178611745e-16
42,0.8951311907918157,1.5,96,quadratic,body_phi,7.939528483322862e-06,True,3.496736606426365e-16
