station_index,x_m,omega_rad_s,waterplane_beam_m,draft_m,added_mass_per_m,damping_per_m,condition_number,residual_norm,body_panel_count,free_surface_panel_count,status
0,0.0,0.7853981633974483,1.6484864516727733,0.3,183.22923310079844,1.1219761926681266,19.99055663740436,2.605649199893969e-16,20,8,experimental_2d_free_surface_source_panel_not_validated
1,2.2,0.7853981633974483,1.8682846452291433,0.34,188.36485108868337,1.9596846953065314,20.376614459879068,2.3062691725264076e-16,20,8,experimental_2d_free_surface_source_panel_not_validated
2,4.4,0.7853981633974483,1.978183742007328,0.36,185.46823437627444,2.530767168095153,20.58490456875219,3.775930698448498e-16,20,8,experimental_2d_free_surface_source_panel_not_validated
3,6.6,0.7853981633974483,1.4850521120497775,0.3,169.86201427373538,0.700750324981296,19.55846999328013,3.287658742578714e-16,20,8,experimental_2d_free_surface_source_panel_not_validated
4,8.8,0.7853981633974483,0.8984147095616863,0.2,96.60222153286807,0.07465322962691061,18.62675307991808,3.3367444307907404e-16,20,8,experimental_2d_free_surface_source_panel_not_validated
5,11.0,0.7853981633974483,0.2256871758415598,0.06,11.16499099694172,0.0009726560999128868,17.990132716315227,4.0025871899725164e-16,20,8,experimental_2d_free_surface_source_panel_not_validated
0,0.0,1.0,1.6484864516727733,0.3,159.99796310909508,2.543727950506457,21.1921431217711,2.3182993531910313e-16,20,8,experimental_2d_free_surface_source_panel_not_validated
1,2.2,1.0,1.8682846452291433,0.34,147.1394008016663,4.5884463262068085,21.952170842037926,2.348546567246173e-16,20,8,experimental_2d_free_surface_source_panel_not_validated
2,4.4,1.0,1.978183742007328,0.36,131.76765508473653,6.030368773846899,22.371469367431413,2.3632645076082043e-16,20,8,experimental_2d_free_surface_source_panel_not_validated
3,6.6,1.0,1.4850521120497775,0.3,155.50560551413025,1.5548738720701345,20.510565549670858,1.9310064816018986e-16,20,8,experimental_2d_free_surface_source_panel_not_validated
4,8.8,1.0,0.8984147095616863,0.2,95.1186350214025,0.1557211640816904,18.93044072328747,2.1740590341699094e-16,20,8,experimental_2d_free_surface_source_panel_not_validated
5,11.0,1.0,0.2256871758415598,0.06,11.145836922112343,0.001991555350623522,17.959226666414093,2.4024386117385996e-16,20,8,experimental_2d_free_surface_source_panel_not_validated
0,0.0,1.0053096491487339,1.6484864516727733,0.3,159.32025567184036,2.591552287104831,21.22761149373407,2.1189329142446386e-16,20,8,experimental_2d_free_surface_source_panel_not_validated
1,2.2,1.0053096491487339,1.8682846452291433,0.34,145.9165815292381,4.679230304699815,21.99945432674356,1.8397242854666155e-16,20,8,experimental_2d_free_surface_source_panel_not_validated
2,4.4,1.0053096491487339,1.978183742007328,0.36,130.16031822886495,6.152952910565532,22.425569822252612,2.927135902386576e-16,20,8,experimental_2d_free_surface_source_panel_not_validated
3,6.6,1.0053096491487339,1.4850521120497775,0.3,155.0914331421421,1.5830971311714241,20.538358649909526,2.1639363323035357e-16,20,8,experimental_2d_free_surface_source_panel_not_validated
4,8.8,1.0053096491487339,0.8984147095616863,0.2,95.07717975849559,0.1582638440209911,18.939031902890918,2.5068130240721036e-16,20,8,experimental_2d_free_surface_source_panel_not_validated
5,11.0,1.0053096491487339,0.2256871758415598,0.06,11.14530683693231,0.0020229956984720273,17.95836979442918,2.0554271832415226e-16,20,8,experimental_2d_free_surface_source_panel_not_validated
0,0.0,1.3962634015954636,1.6484864516727733,0.3,90.9256275370295,9.116702861049436,24.904499476154626,4.0231837475588196e-16,20,8,experimental_2d_free_surface_source_panel_not_validated
1,2.2,1.3962634015954636,1.8682846452291433,0.34,15.9754450788634,18.260539635152803,27.159058812507272,2.394373402926466e-16,20,8,experimental_2d_free_surface_source_panel_not_validated
2,4.4,1.3962634015954636,1.978183742007328,0.36,45.7546607280341,0.0,28.504778068850253,3.3249370061450325e-16,20,8,experimental_2d_free_surface_source_panel_not_validated
3,6.6,1.3962634015954636,1.4850521120497775,0.3,114.64047882139485,5.213773804739629,23.326997453872732,3.5363384168181993e-16,20,8,experimental_2d_free_surface_source_panel_not_validated
4,8.8,1.3962634015954636,0.8984147095616863,0.2,91.36616238468707,0.43738231081395296,19.72941533399433,2.582244003498686e-16,20,8,experimental_2d_free_surface_source_panel_not_validated
5,11.0,1.3962634015954636,0.2256871758415598,0.06,11.099023571352745,0.0053148489366245865,17.883198618158872,3.7782856821366795e-16,20,8,experimental_2d_free_surface_source_panel_not_validated
0,0.0,2.284794657156213,1.6484864516727733,0.3,546.9927530875517,0.0,62.5359559081602,2.8447098202456397e-16,20,8,experimental_2d_free_surface_source_panel_not_validated
1,2.2,2.284794657156213,1.8682846452291433,0.34,2544.175252782121,0.0,142.26207374560286,4.714386774661485e-16,20,8,experimental_2d_free_surface_source_panel_not_validated
2,4.4,2.284794657156213,1.978183742007328,0.36,5698.942723494398,0.0,344.1005347299127,6.089556353761562e-16,20,8,experimental_2d_free_surface_source_panel_not_validated
3,6.6,2.284794657156213,1.4850521120497775,0.3,161.39270301656617,0.0,44.230460002303886,3.982751464580254e-16,20,8,experimental_2d_free_surface_source_panel_not_validated
4,8.8,2.284794657156213,0.8984147095616863,0.2,77.18296363911873,2.264899961506481,23.091961827066616,3.298280564387225e-16,20,8,experimental_2d_free_surface_source_panel_not_validated
5,11.0,2.284794657156213,0.2256871758415598,0.06,10.944591816638942,0.021785509390003798,17.62670313085193,2.650995639784504e-16,20,8,experimental_2d_free_surface_source_panel_not_validated
0,0.0,6.283185307179586,1.6484864516727733,0.3,479.0174014450374,30.097322600537503,9.113195871229681,3.5859065360426944e-16,20,8,experimental_2d_free_surface_source_panel_not_validated
1,2.2,6.283185307179586,1.8682846452291433,0.34,596.3597426783872,32.64662031131557,8.933467447624194,4.159593553275188e-16,20,8,experimental_2d_free_surface_source_panel_not_validated
2,4.4,6.283185307179586,1.978183742007328,0.36,660.3611372920163,34.11500331022063,8.893471375298411,3.569139493633686e-16,20,8,experimental_2d_free_surface_source_panel_not_validated
3,6.6,6.283185307179586,1.4850521120497775,0.3,398.40486858895724,28.54734417018578,9.273753806110975,3.2847159684733307e-16,20,8,experimental_2d_free_surface_source_panel_not_validated
4,8.8,6.283185307179586,0.8984147095616863,0.2,214.5366740970097,61.00870600163965,30.213416042747856,3.1788681018185976e-16,20,8,experimental_2d_free_surface_source_panel_not_validated
5,11.0,6.283185307179586,0.2256871758415598,0.06,9.77776057670325,0.25224824075765395,15.33782715223465,3.344731950193543e-16,20,8,experimental_2d_free_surface_source_panel_not_validated
