station_index,x_m,omega_rad_s,wavenumber_rad_m,transverse_wavenumber_rad_m,waterplane_beam_m,draft_m,vertical_force_abs_per_m,lateral_force_abs_per_m,roll_moment_abs_per_m,condition_number,residual_norm,body_panel_count,free_surface_panel_count,status
0,0.0,6.283185307179586,4.025678249387654,0.0,1.6484864516727733,0.3,986.6292175730078,7.160723346098895e-15,3.552713678800501e-15,9.113195871229681,4.070315592940919e-16,20,8,experimental_2d_free_surface_source_panel_not_validated
1,2.2,6.283185307179586,4.025678249387654,0.0,1.8682846452291433,0.34,2075.7908027052654,2.1319242461967033e-13,2.842517866562357e-13,8.933467447624194,3.711192497635301e-16,20,8,experimental_2d_free_surface_source_panel_not_validated
2,4.4,6.283185307179586,4.025678249387654,0.0,1.978183742007328,0.36,2665.100146172978,2.5582005530672365e-13,3.9798421684132254e-13,8.893471375298411,4.758152745431078e-16,20,8,experimental_2d_free_surface_source_panel_not_validated
3,6.6,6.283185307179586,4.025678249387654,0.0,1.4850521120497775,0.3,193.27085574216784,4.2863236558381085e-14,1.1374233532693354e-13,9.273753806110975,3.948478424013451e-16,20,8,experimental_2d_free_surface_source_panel_not_validated
4,8.8,6.283185307179586,4.025678249387654,0.0,0.8984147095616863,0.2,541.1178746098943,5.687116766346677e-14,4.271574971572196e-14,30.213416042747856,3.824562475999491e-16,20,8,experimental_2d_free_surface_source_panel_not_validated
5,11.0,6.283185307179586,4.025678249387654,0.0,0.2256871758415598,0.06,1673.8589885739418,2.842170943040401e-14,3.552713678800501e-15,15.33782715223465,3.554363592887642e-16,20,8,experimental_2d_free_surface_source_panel_not_validated
0,0.0,2.284794657156213,0.5323210908281195,0.0,1.6484864516727733,0.3,17969.99229774538,1.1374233532693354e-13,1.139086659085919e-13,62.5359559081602,2.5787251628636725e-16,20,8,experimental_2d_free_surface_source_panel_not_validated
1,2.2,2.284794657156213,0.5323210908281195,0.0,1.8682846452291433,0.34,29650.920182866652,4.556346636343676e-13,2.3437142008433856e-13,142.26207374560286,3.3639640930615967e-16,20,8,experimental_2d_free_surface_source_panel_not_validated
2,4.4,2.284794657156213,0.5323210908281195,0.0,1.978183742007328,0.36,55176.734246407104,9.374856803373542e-13,6.431098710768743e-13,344.1005347299127,5.75746749177894e-16,20,8,experimental_2d_free_surface_source_panel_not_validated
3,6.6,2.284794657156213,0.5323210908281195,0.0,1.4850521120497775,0.3,14583.37127760675,0.0,8.881784197001252e-16,44.230460002303886,3.033175524822454e-16,20,8,experimental_2d_free_surface_source_panel_not_validated
4,8.8,2.284794657156213,0.5323210908281195,0.0,0.8984147095616863,0.2,8185.965113320487,5.68434798471475e-14,2.842183140288669e-14,23.091961827066616,2.837601055339128e-16,20,8,experimental_2d_free_surface_source_panel_not_validated
5,11.0,2.284794657156213,0.5323210908281195,0.0,0.2256871758415598,0.06,2176.5115613085504,0.0,1.7763568394002505e-15,17.62670313085193,2.610904244304672e-16,20,8,experimental_2d_free_surface_source_panel_not_validated
0,0.0,1.3962634015954636,0.1987989258956866,0.0,1.6484864516727733,0.3,15915.02457921102,1.6653345369377348e-16,1.1368705456184373e-13,24.904499476154626,3.697963726054352e-16,20,8,experimental_2d_free_surface_source_panel_not_validated
1,2.2,1.3962634015954636,0.1987989258956866,0.0,1.8682846452291433,0.34,18130.831467561584,2.2737367544323206e-13,9.094947017729282e-13,27.159058812507272,3.2982284681824977e-16,20,8,experimental_2d_free_surface_source_panel_not_validated
