iteration,pseudo_time,kinematic_rms,dipole_coefficient,root_thickness,root_s_lambda,accepted_time_step,maximum_displacement_ratio
0,0.0,1.534321212778016,5.671502656482796,0.002996479125312762,3.205942934111482,,
1,4.578208585928129e-05,1.5527856306001584,5.672300904849181,0.002750319420409057,3.2059499562061475,4.578208585928129e-05,0.01986036530224921
2,9.137291367521493e-05,1.571822654797813,5.673104049743714,0.002502683031110154,3.205951542035446,4.5590827815933636e-05,0.019867866397128738
3,0.00013680737923435927,1.5915443715435,5.6739061882112924,0.0022534123799609306,3.205947721634772,4.543446555914432e-05,0.019877595933667638
4,0.00018208655402986385,1.611937907943292,5.67470766980089,0.002002522338364714,3.205938555601036,4.527917479550459e-05,0.019886648721992764
5,0.00022721268654221215,1.6329840214948501,5.675508861997934,0.0017500353442626115,3.20592411104657,4.51261325123483e-05,0.01989496192600002
6,0.00027218959014535765,1.6546579186534986,5.676310147980337,0.0014959809930545995,3.205904461316043,4.4976903603145485e-05,0.019902490999072254
7,0.00031702281540457034,1.6652205822867654,5.677111925835669,0.0012403966062871487,3.205879685718652,4.4833225259212666e-05,0.019909193976443678
8,0.00036171981673872996,1.6674790176947034,5.677914607594992,0.0009833277364457735,3.2058498691870314,4.469700133415962e-05,0.019915032631579777
9,0.00040629011032917436,1.6694650619635922,5.67871861757445,0.0007248285814804019,3.2058151018599794,4.4570293590444404e-05,0.019919973865497483
10,0.00045074541867320885,1.6711257813784808,5.6795243901328885,0.0004649622879134494,3.2057754785874866,4.445530834403446e-05,0.019923991216325064
11,0.0004950997968620228,1.6724065053974233,5.6803323665917,0.00020380112175977518,3.205731098358208,4.435437818881394e-05,0.01992706645813775
12,0.0005393697354168586,1.674120945515137,5.679701641232874,0.00020947142356073878,3.2055796886378483,4.4269938554835825e-05,0.014749004147794075
13,0.0005835514431921021,1.6758637794189555,5.679066303225686,0.00021485439898467754,3.2054227096200862,4.418170777524351e-05,0.014760994697236464
14,0.0006276468508632352,1.659825459662005,5.678425856591137,0.0002199020238772367,3.205260134528508,4.409540767113308e-05,0.014796567945257447
15,0.00067165784844843,1.6292459293352175,5.677780299360337,0.00022456547926393423,3.2050919411227192,4.401099758519477e-05,0.014884992112393577
16,0.000715586367169937,1.6013376474710954,5.677129632030249,0.00022879528668717268,3.2049181106792792,4.3928518721506934e-05,0.01497241611589977
17,0.0007594343750269498,1.5758134507179322,5.6764738577793565,0.00023254135910801918,3.204738628022725,4.3848007857012815e-05,0.015058829713324225
18,0.000803203872609816,1.552424857922714,5.675812982526345,0.0002357530474920901,3.204553481542537,4.376949758286612e-05,0.015144223897183368
19,0.0008468968891406977,1.530955938872776,5.675147014947409,0.0002383791869017351,3.2043626631905178,4.369301653088169e-05,0.015228590946813766
20,0.0008905154787532592,1.511218303327086,5.674475966504296,0.0002403681364779865,3.204166168460975,4.361858961256153e-05,0.015311924166564411
